"icd_10_pcs","description"
"0QS944Z","Reposition Left Femoral Shaft with Internal Fixation Device, Percutaneous Endoscopic Approach"
"0QS946Z","Reposition Left Femoral Shaft with Intramedullary Internal Fixation Device, Percutaneous Endoscopic Approach"
"0QSB04Z","Reposition Right Lower Femur with Internal Fixation Device, Open Approach"
"0QSB06Z","Reposition Right Lower Femur with Intramedullary Internal Fixation Device, Open Approach"
"0QSB34Z","Reposition Right Lower Femur with Internal Fixation Device, Percutaneous Approach"
"0QSB36Z","Reposition Right Lower Femur with Intramedullary Internal Fixation Device, Percutaneous Approach"
"0QSB44Z","Reposition Right Lower Femur with Internal Fixation Device, Percutaneous Endoscopic Approach"
"0QSB46Z","Reposition Right Lower Femur with Intramedullary Internal Fixation Device, Percutaneous Endoscopic Approach"
"0QSC04Z","Reposition Left Lower Femur with Internal Fixation Device, Open Approach"
"0QSC06Z","Reposition Left Lower Femur with Intramedullary Internal Fixation Device, Open Approach"
"0QSC34Z","Reposition Left Lower Femur with Internal Fixation Device, Percutaneous Approach"
"0QSC36Z","Reposition Left Lower Femur with Intramedullary Internal Fixation Device, Percutaneous Approach"
"0QSC44Z","Reposition Left Lower Femur with Internal Fixation Device, Percutaneous Endoscopic Approach"
"0QSC46Z","Reposition Left Lower Femur with Intramedullary Internal Fixation Device, Percutaneous Endoscopic Approach"
"0QW605Z","Revision of External Fixation Device in Right Upper Femur, Open Approach"
"0QW635Z","Revision of External Fixation Device in Right Upper Femur, Percutaneous Approach"
"0QW645Z","Revision of External Fixation Device in Right Upper Femur, Percutaneous Endoscopic Approach"
"0QW705Z","Revision of External Fixation Device in Left Upper Femur, Open Approach"
"0QW735Z","Revision of External Fixation Device in Left Upper Femur, Percutaneous Approach"
"0QW745Z","Revision of External Fixation Device in Left Upper Femur, Percutaneous Endoscopic Approach"
"0QW805Z","Revision of External Fixation Device in Right Femoral Shaft, Open Approach"
"0QW835Z","Revision of External Fixation Device in Right Femoral Shaft, Percutaneous Approach"
"0QW845Z","Revision of External Fixation Device in Right Femoral Shaft, Percutaneous Endoscopic Approach"
"0QW905Z","Revision of External Fixation Device in Left Femoral Shaft, Open Approach"
"0QW935Z","Revision of External Fixation Device in Left Femoral Shaft, Percutaneous Approach"
"0QW945Z","Revision of External Fixation Device in Left Femoral Shaft, Percutaneous Endoscopic Approach"
"0QWB05Z","Revision of External Fixation Device in Right Lower Femur, Open Approach"
"0QWB35Z","Revision of External Fixation Device in Right Lower Femur, Percutaneous Approach"
"0QWB45Z","Revision of External Fixation Device in Right Lower Femur, Percutaneous Endoscopic Approach"
"0QWC05Z","Revision of External Fixation Device in Left Lower Femur, Open Approach"
"0QWC35Z","Revision of External Fixation Device in Left Lower Femur, Percutaneous Approach"
"0QWC45Z","Revision of External Fixation Device in Left Lower Femur, Percutaneous Endoscopic Approach"
"0SS904Z","Reposition Right Hip Joint with Internal Fixation Device, Open Approach"
"0SS905Z","Reposition Right Hip Joint with External Fixation Device, Open Approach"
"0SS934Z","Reposition Right Hip Joint with Internal Fixation Device, Percutaneous Approach"
"0SS935Z","Reposition Right Hip Joint with External Fixation Device, Percutaneous Approach"
"0SS944Z","Reposition Right Hip Joint with Internal Fixation Device, Percutaneous Endoscopic Approach"
"0SS9X4Z","Reposition Right Hip Joint with Internal Fixation Device, External Approach"
"0SS9X5Z","Reposition Right Hip Joint with External Fixation Device, External Approach"
"0SSB04Z","Reposition Left Hip Joint with Internal Fixation Device, Open Approach"
"0SSB05Z","Reposition Left Hip Joint with External Fixation Device, Open Approach"
"0SSB34Z","Reposition Left Hip Joint with Internal Fixation Device, Percutaneous Approach"
"0SSB35Z","Reposition Left Hip Joint with External Fixation Device, Percutaneous Approach"
"0SSB44Z","Reposition Left Hip Joint with Internal Fixation Device, Percutaneous Endoscopic Approach"
"0SSB45Z","Reposition Left Hip Joint with External Fixation Device, Percutaneous Endoscopic Approach"
"0SSBX4Z","Reposition Left Hip Joint with Internal Fixation Device, External Approach"
"0SSBX5Z","Reposition Left Hip Joint with External Fixation Device, External Approach"
"0SS945Z","Reposition Right Hip Joint with External Fixation Device, Percutaneous Endoscopic Approach"
"0T13073","Bypass Right Kidney Pelvis to Right Kidney Pelvis with Autologous Tissue Substitute, Open Approach"
"0T13074","Bypass Right Kidney Pelvis to Left Kidney Pelvis with Autologous Tissue Substitute, Open Approach"
"0T13076","Bypass Right Kidney Pelvis to Right Ureter with Autologous Tissue Substitute, Open Approach"
"0T13077","Bypass Right Kidney Pelvis to Left Ureter with Autologous Tissue Substitute, Open Approach"
"0T13078","Bypass Right Kidney Pelvis to Colon with Autologous Tissue Substitute, Open Approach"
"0T13079","Bypass Right Kidney Pelvis to Colocutaneous with Autologous Tissue Substitute, Open Approach"
"0T1307A","Bypass Right Kidney Pelvis to Ileum with Autologous Tissue Substitute, Open Approach"
"0T1307B","Bypass Right Kidney Pelvis to Bladder with Autologous Tissue Substitute, Open Approach"
"0T1307C","Bypass Right Kidney Pelvis to Ileocutaneous with Autologous Tissue Substitute, Open Approach"
"0T1307D","Bypass Right Kidney Pelvis to Cutaneous with Autologous Tissue Substitute, Open Approach"
"0T130J3","Bypass Right Kidney Pelvis to Right Kidney Pelvis with Synthetic Substitute, Open Approach"
"0T130J4","Bypass Right Kidney Pelvis to Left Kidney Pelvis with Synthetic Substitute, Open Approach"
"0T130J6","Bypass Right Kidney Pelvis to Right Ureter with Synthetic Substitute, Open Approach"
"0T130J7","Bypass Right Kidney Pelvis to Left Ureter with Synthetic Substitute, Open Approach"
"0T130J8","Bypass Right Kidney Pelvis to Colon with Synthetic Substitute, Open Approach"
"0T130J9","Bypass Right Kidney Pelvis to Colocutaneous with Synthetic Substitute, Open Approach"
"0T130JA","Bypass Right Kidney Pelvis to Ileum with Synthetic Substitute, Open Approach"
"0T130JB","Bypass Right Kidney Pelvis to Bladder with Synthetic Substitute, Open Approach"
"0T130JC","Bypass Right Kidney Pelvis to Ileocutaneous with Synthetic Substitute, Open Approach"
"0T130JD","Bypass Right Kidney Pelvis to Cutaneous with Synthetic Substitute, Open Approach"
"0T130K3","Bypass Right Kidney Pelvis to Right Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach"
"0T130K4","Bypass Right Kidney Pelvis to Left Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach"
"0T130K6","Bypass Right Kidney Pelvis to Right Ureter with Nonautologous Tissue Substitute, Open Approach"
"0T130K7","Bypass Right Kidney Pelvis to Left Ureter with Nonautologous Tissue Substitute, Open Approach"
"0T130K8","Bypass Right Kidney Pelvis to Colon with Nonautologous Tissue Substitute, Open Approach"
"0T130K9","Bypass Right Kidney Pelvis to Colocutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T130KA","Bypass Right Kidney Pelvis to Ileum with Nonautologous Tissue Substitute, Open Approach"
"0T130KB","Bypass Right Kidney Pelvis to Bladder with Nonautologous Tissue Substitute, Open Approach"
"0T130KC","Bypass Right Kidney Pelvis to Ileocutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T130KD","Bypass Right Kidney Pelvis to Cutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T130Z3","Bypass Right Kidney Pelvis to Right Kidney Pelvis, Open Approach"
"0T130Z4","Bypass Right Kidney Pelvis to Left Kidney Pelvis, Open Approach"
"0T130Z6","Bypass Right Kidney Pelvis to Right Ureter, Open Approach"
"0T130Z7","Bypass Right Kidney Pelvis to Left Ureter, Open Approach"
"0T130Z8","Bypass Right Kidney Pelvis to Colon, Open Approach"
"0T130Z9","Bypass Right Kidney Pelvis to Colocutaneous, Open Approach"
"0T130ZA","Bypass Right Kidney Pelvis to Ileum, Open Approach"
"0T130ZB","Bypass Right Kidney Pelvis to Bladder, Open Approach"
"0T130ZC","Bypass Right Kidney Pelvis to Ileocutaneous, Open Approach"
"0T130ZD","Bypass Right Kidney Pelvis to Cutaneous, Open Approach"
"0T133JD","Bypass Right Kidney Pelvis to Cutaneous with Synthetic Substitute, Percutaneous Approach"
"0T13473","Bypass Right Kidney Pelvis to Right Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T13474","Bypass Right Kidney Pelvis to Left Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T13476","Bypass Right Kidney Pelvis to Right Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T13477","Bypass Right Kidney Pelvis to Left Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T13478","Bypass Right Kidney Pelvis to Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T13479","Bypass Right Kidney Pelvis to Colocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1347A","Bypass Right Kidney Pelvis to Ileum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1347B","Bypass Right Kidney Pelvis to Bladder with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1347C","Bypass Right Kidney Pelvis to Ileocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1347D","Bypass Right Kidney Pelvis to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T134J3","Bypass Right Kidney Pelvis to Right Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T134J4","Bypass Right Kidney Pelvis to Left Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T134J6","Bypass Right Kidney Pelvis to Right Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T134J7","Bypass Right Kidney Pelvis to Left Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T134J8","Bypass Right Kidney Pelvis to Colon with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T134J9","Bypass Right Kidney Pelvis to Colocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T134JA","Bypass Right Kidney Pelvis to Ileum with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T134JB","Bypass Right Kidney Pelvis to Bladder with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T134JC","Bypass Right Kidney Pelvis to Ileocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T134JD","Bypass Right Kidney Pelvis to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T134K3","Bypass Right Kidney Pelvis to Right Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T134K4","Bypass Right Kidney Pelvis to Left Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T134K6","Bypass Right Kidney Pelvis to Right Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T134K7","Bypass Right Kidney Pelvis to Left Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T134K8","Bypass Right Kidney Pelvis to Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T134K9","Bypass Right Kidney Pelvis to Colocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T134KA","Bypass Right Kidney Pelvis to Ileum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T134KB","Bypass Right Kidney Pelvis to Bladder with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T134KC","Bypass Right Kidney Pelvis to Ileocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T134KD","Bypass Right Kidney Pelvis to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T134Z3","Bypass Right Kidney Pelvis to Right Kidney Pelvis, Percutaneous Endoscopic Approach"
"0T134Z4","Bypass Right Kidney Pelvis to Left Kidney Pelvis, Percutaneous Endoscopic Approach"
"0T134Z6","Bypass Right Kidney Pelvis to Right Ureter, Percutaneous Endoscopic Approach"
"0T134Z7","Bypass Right Kidney Pelvis to Left Ureter, Percutaneous Endoscopic Approach"
"0T134Z8","Bypass Right Kidney Pelvis to Colon, Percutaneous Endoscopic Approach"
"0T134Z9","Bypass Right Kidney Pelvis to Colocutaneous, Percutaneous Endoscopic Approach"
"0T134ZA","Bypass Right Kidney Pelvis to Ileum, Percutaneous Endoscopic Approach"
"0T134ZB","Bypass Right Kidney Pelvis to Bladder, Percutaneous Endoscopic Approach"
"0T134ZC","Bypass Right Kidney Pelvis to Ileocutaneous, Percutaneous Endoscopic Approach"
"0T134ZD","Bypass Right Kidney Pelvis to Cutaneous, Percutaneous Endoscopic Approach"
"0T14073","Bypass Left Kidney Pelvis to Right Kidney Pelvis with Autologous Tissue Substitute, Open Approach"
"0T14074","Bypass Left Kidney Pelvis to Left Kidney Pelvis with Autologous Tissue Substitute, Open Approach"
"0T14076","Bypass Left Kidney Pelvis to Right Ureter with Autologous Tissue Substitute, Open Approach"
"0T14077","Bypass Left Kidney Pelvis to Left Ureter with Autologous Tissue Substitute, Open Approach"
"0T14078","Bypass Left Kidney Pelvis to Colon with Autologous Tissue Substitute, Open Approach"
"0T14079","Bypass Left Kidney Pelvis to Colocutaneous with Autologous Tissue Substitute, Open Approach"
"0T1407A","Bypass Left Kidney Pelvis to Ileum with Autologous Tissue Substitute, Open Approach"
"0T1407B","Bypass Left Kidney Pelvis to Bladder with Autologous Tissue Substitute, Open Approach"
"0T1407C","Bypass Left Kidney Pelvis to Ileocutaneous with Autologous Tissue Substitute, Open Approach"
"0T1407D","Bypass Left Kidney Pelvis to Cutaneous with Autologous Tissue Substitute, Open Approach"
"0T140J3","Bypass Left Kidney Pelvis to Right Kidney Pelvis with Synthetic Substitute, Open Approach"
"0T140J4","Bypass Left Kidney Pelvis to Left Kidney Pelvis with Synthetic Substitute, Open Approach"
"0T140J6","Bypass Left Kidney Pelvis to Right Ureter with Synthetic Substitute, Open Approach"
"0T140J7","Bypass Left Kidney Pelvis to Left Ureter with Synthetic Substitute, Open Approach"
"0T140J8","Bypass Left Kidney Pelvis to Colon with Synthetic Substitute, Open Approach"
"0T140J9","Bypass Left Kidney Pelvis to Colocutaneous with Synthetic Substitute, Open Approach"
"0T140JA","Bypass Left Kidney Pelvis to Ileum with Synthetic Substitute, Open Approach"
"0T140JB","Bypass Left Kidney Pelvis to Bladder with Synthetic Substitute, Open Approach"
"0T140JC","Bypass Left Kidney Pelvis to Ileocutaneous with Synthetic Substitute, Open Approach"
"0T140JD","Bypass Left Kidney Pelvis to Cutaneous with Synthetic Substitute, Open Approach"
"0T140K3","Bypass Left Kidney Pelvis to Right Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach"
"0T140K4","Bypass Left Kidney Pelvis to Left Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach"
"0T140K6","Bypass Left Kidney Pelvis to Right Ureter with Nonautologous Tissue Substitute, Open Approach"
"0T140K7","Bypass Left Kidney Pelvis to Left Ureter with Nonautologous Tissue Substitute, Open Approach"
"0T140K8","Bypass Left Kidney Pelvis to Colon with Nonautologous Tissue Substitute, Open Approach"
"0T140K9","Bypass Left Kidney Pelvis to Colocutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T140KA","Bypass Left Kidney Pelvis to Ileum with Nonautologous Tissue Substitute, Open Approach"
"0T140KB","Bypass Left Kidney Pelvis to Bladder with Nonautologous Tissue Substitute, Open Approach"
"0T140KC","Bypass Left Kidney Pelvis to Ileocutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T140KD","Bypass Left Kidney Pelvis to Cutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T140Z3","Bypass Left Kidney Pelvis to Right Kidney Pelvis, Open Approach"
"0T140Z4","Bypass Left Kidney Pelvis to Left Kidney Pelvis, Open Approach"
"0T140Z6","Bypass Left Kidney Pelvis to Right Ureter, Open Approach"
"0T140Z7","Bypass Left Kidney Pelvis to Left Ureter, Open Approach"
"0T140Z8","Bypass Left Kidney Pelvis to Colon, Open Approach"
"0T140Z9","Bypass Left Kidney Pelvis to Colocutaneous, Open Approach"
"0T140ZA","Bypass Left Kidney Pelvis to Ileum, Open Approach"
"0T140ZB","Bypass Left Kidney Pelvis to Bladder, Open Approach"
"0T140ZC","Bypass Left Kidney Pelvis to Ileocutaneous, Open Approach"
"0T140ZD","Bypass Left Kidney Pelvis to Cutaneous, Open Approach"
"0T143JD","Bypass Left Kidney Pelvis to Cutaneous with Synthetic Substitute, Percutaneous Approach"
"0T14473","Bypass Left Kidney Pelvis to Right Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T14474","Bypass Left Kidney Pelvis to Left Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T14476","Bypass Left Kidney Pelvis to Right Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T14477","Bypass Left Kidney Pelvis to Left Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T14478","Bypass Left Kidney Pelvis to Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T14479","Bypass Left Kidney Pelvis to Colocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1447A","Bypass Left Kidney Pelvis to Ileum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1447B","Bypass Left Kidney Pelvis to Bladder with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1447C","Bypass Left Kidney Pelvis to Ileocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1447D","Bypass Left Kidney Pelvis to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T144J3","Bypass Left Kidney Pelvis to Right Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T144J4","Bypass Left Kidney Pelvis to Left Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T144J6","Bypass Left Kidney Pelvis to Right Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T144J7","Bypass Left Kidney Pelvis to Left Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T144J8","Bypass Left Kidney Pelvis to Colon with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T144J9","Bypass Left Kidney Pelvis to Colocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T144JA","Bypass Left Kidney Pelvis to Ileum with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T144JB","Bypass Left Kidney Pelvis to Bladder with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T144JC","Bypass Left Kidney Pelvis to Ileocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T144JD","Bypass Left Kidney Pelvis to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T144K3","Bypass Left Kidney Pelvis to Right Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T144K4","Bypass Left Kidney Pelvis to Left Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T144K6","Bypass Left Kidney Pelvis to Right Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T144K7","Bypass Left Kidney Pelvis to Left Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T144K8","Bypass Left Kidney Pelvis to Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T144K9","Bypass Left Kidney Pelvis to Colocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T144KA","Bypass Left Kidney Pelvis to Ileum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T144KB","Bypass Left Kidney Pelvis to Bladder with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T144KC","Bypass Left Kidney Pelvis to Ileocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T144KD","Bypass Left Kidney Pelvis to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T144Z3","Bypass Left Kidney Pelvis to Right Kidney Pelvis, Percutaneous Endoscopic Approach"
"0T144Z4","Bypass Left Kidney Pelvis to Left Kidney Pelvis, Percutaneous Endoscopic Approach"
"0T144Z6","Bypass Left Kidney Pelvis to Right Ureter, Percutaneous Endoscopic Approach"
"0T144Z7","Bypass Left Kidney Pelvis to Left Ureter, Percutaneous Endoscopic Approach"
"0T144Z8","Bypass Left Kidney Pelvis to Colon, Percutaneous Endoscopic Approach"
"0T144Z9","Bypass Left Kidney Pelvis to Colocutaneous, Percutaneous Endoscopic Approach"
"0T144ZA","Bypass Left Kidney Pelvis to Ileum, Percutaneous Endoscopic Approach"
"0T144ZB","Bypass Left Kidney Pelvis to Bladder, Percutaneous Endoscopic Approach"
"0T144ZC","Bypass Left Kidney Pelvis to Ileocutaneous, Percutaneous Endoscopic Approach"
"0T144ZD","Bypass Left Kidney Pelvis to Cutaneous, Percutaneous Endoscopic Approach"
"0T16076","Bypass Right Ureter to Right Ureter with Autologous Tissue Substitute, Open Approach"
"0T16077","Bypass Right Ureter to Left Ureter with Autologous Tissue Substitute, Open Approach"
"0T16078","Bypass Right Ureter to Colon with Autologous Tissue Substitute, Open Approach"
"0T16079","Bypass Right Ureter to Colocutaneous with Autologous Tissue Substitute, Open Approach"
"0T1607A","Bypass Right Ureter to Ileum with Autologous Tissue Substitute, Open Approach"
"0T1607B","Bypass Right Ureter to Bladder with Autologous Tissue Substitute, Open Approach"
"0T1607C","Bypass Right Ureter to Ileocutaneous with Autologous Tissue Substitute, Open Approach"
"0T1607D","Bypass Right Ureter to Cutaneous with Autologous Tissue Substitute, Open Approach"
"0T160J6","Bypass Right Ureter to Right Ureter with Synthetic Substitute, Open Approach"
"0T160J7","Bypass Right Ureter to Left Ureter with Synthetic Substitute, Open Approach"
"0T160J8","Bypass Right Ureter to Colon with Synthetic Substitute, Open Approach"
"0T160J9","Bypass Right Ureter to Colocutaneous with Synthetic Substitute, Open Approach"
"0T160JA","Bypass Right Ureter to Ileum with Synthetic Substitute, Open Approach"
"0T160JB","Bypass Right Ureter to Bladder with Synthetic Substitute, Open Approach"
"0T160JC","Bypass Right Ureter to Ileocutaneous with Synthetic Substitute, Open Approach"
"0T160JD","Bypass Right Ureter to Cutaneous with Synthetic Substitute, Open Approach"
"0T160K6","Bypass Right Ureter to Right Ureter with Nonautologous Tissue Substitute, Open Approach"
"0T160K7","Bypass Right Ureter to Left Ureter with Nonautologous Tissue Substitute, Open Approach"
"0T160K8","Bypass Right Ureter to Colon with Nonautologous Tissue Substitute, Open Approach"
"0T160K9","Bypass Right Ureter to Colocutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T160KA","Bypass Right Ureter to Ileum with Nonautologous Tissue Substitute, Open Approach"
"0T160KB","Bypass Right Ureter to Bladder with Nonautologous Tissue Substitute, Open Approach"
"0T160KC","Bypass Right Ureter to Ileocutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T160KD","Bypass Right Ureter to Cutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T160Z6","Bypass Right Ureter to Right Ureter, Open Approach"
"0T160Z7","Bypass Right Ureter to Left Ureter, Open Approach"
"0T160Z8","Bypass Right Ureter to Colon, Open Approach"
"0T160Z9","Bypass Right Ureter to Colocutaneous, Open Approach"
"0T160ZA","Bypass Right Ureter to Ileum, Open Approach"
"0T160ZB","Bypass Right Ureter to Bladder, Open Approach"
"0T160ZC","Bypass Right Ureter to Ileocutaneous, Open Approach"
"0T160ZD","Bypass Right Ureter to Cutaneous, Open Approach"
"0T163JD","Bypass Right Ureter to Cutaneous with Synthetic Substitute, Percutaneous Approach"
"0T16476","Bypass Right Ureter to Right Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T16477","Bypass Right Ureter to Left Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T16478","Bypass Right Ureter to Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T16479","Bypass Right Ureter to Colocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1647A","Bypass Right Ureter to Ileum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1647B","Bypass Right Ureter to Bladder with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1647C","Bypass Right Ureter to Ileocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1647D","Bypass Right Ureter to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T164J6","Bypass Right Ureter to Right Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T164J7","Bypass Right Ureter to Left Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T164J8","Bypass Right Ureter to Colon with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T164J9","Bypass Right Ureter to Colocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T164JA","Bypass Right Ureter to Ileum with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T164JB","Bypass Right Ureter to Bladder with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T164JC","Bypass Right Ureter to Ileocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T164JD","Bypass Right Ureter to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T164K6","Bypass Right Ureter to Right Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T164K7","Bypass Right Ureter to Left Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T164K8","Bypass Right Ureter to Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T164K9","Bypass Right Ureter to Colocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T164KA","Bypass Right Ureter to Ileum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T164KB","Bypass Right Ureter to Bladder with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T164KC","Bypass Right Ureter to Ileocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T164KD","Bypass Right Ureter to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T164Z6","Bypass Right Ureter to Right Ureter, Percutaneous Endoscopic Approach"
"0T164Z7","Bypass Right Ureter to Left Ureter, Percutaneous Endoscopic Approach"
"0T164Z8","Bypass Right Ureter to Colon, Percutaneous Endoscopic Approach"
"0T164Z9","Bypass Right Ureter to Colocutaneous, Percutaneous Endoscopic Approach"
"0T164ZA","Bypass Right Ureter to Ileum, Percutaneous Endoscopic Approach"
"0T164ZB","Bypass Right Ureter to Bladder, Percutaneous Endoscopic Approach"
"0T164ZC","Bypass Right Ureter to Ileocutaneous, Percutaneous Endoscopic Approach"
"0T164ZD","Bypass Right Ureter to Cutaneous, Percutaneous Endoscopic Approach"
"0T17076","Bypass Left Ureter to Right Ureter with Autologous Tissue Substitute, Open Approach"
"0T17077","Bypass Left Ureter to Left Ureter with Autologous Tissue Substitute, Open Approach"
"0T17078","Bypass Left Ureter to Colon with Autologous Tissue Substitute, Open Approach"
"0T17079","Bypass Left Ureter to Colocutaneous with Autologous Tissue Substitute, Open Approach"
"0T1707A","Bypass Left Ureter to Ileum with Autologous Tissue Substitute, Open Approach"
"0T1707B","Bypass Left Ureter to Bladder with Autologous Tissue Substitute, Open Approach"
"0T1707C","Bypass Left Ureter to Ileocutaneous with Autologous Tissue Substitute, Open Approach"
"0T1707D","Bypass Left Ureter to Cutaneous with Autologous Tissue Substitute, Open Approach"
"0T170J6","Bypass Left Ureter to Right Ureter with Synthetic Substitute, Open Approach"
"0T170J7","Bypass Left Ureter to Left Ureter with Synthetic Substitute, Open Approach"
