"icd_10_cm","description"
"S95001A","Unspecified injury of dorsal artery of right foot, initial encounter"
"S95002A","Unspecified injury of dorsal artery of left foot, initial encounter"
"S95009A","Unspecified injury of dorsal artery of unspecified foot, initial encounter"
"S95011A","Laceration of dorsal artery of right foot, initial encounter"
"S95012A","Laceration of dorsal artery of left foot, initial encounter"
"S95019A","Laceration of dorsal artery of unspecified foot, initial encounter"
"S95091A","Other specified injury of dorsal artery of right foot, initial encounter"
"S95092A","Other specified injury of dorsal artery of left foot, initial encounter"
"S95099A","Other specified injury of dorsal artery of unspecified foot, initial encounter"
"S95101A","Unspecified injury of plantar artery of right foot, initial encounter"
"S95102A","Unspecified injury of plantar artery of left foot, initial encounter"
"S95109A","Unspecified injury of plantar artery of unspecified foot, initial encounter"
"S95111A","Laceration of plantar artery of right foot, initial encounter"
"S95112A","Laceration of plantar artery of left foot, initial encounter"
"S95119A","Laceration of plantar artery of unspecified foot, initial encounter"
"S95191A","Other specified injury of plantar artery of right foot, initial encounter"
"S95192A","Other specified injury of plantar artery of left foot, initial encounter"
"S95199A","Other specified injury of plantar artery of unspecified foot, initial encounter"
"S95201A","Unspecified injury of dorsal vein of right foot, initial encounter"
"S95202A","Unspecified injury of dorsal vein of left foot, initial encounter"
"S95209A","Unspecified injury of dorsal vein of unspecified foot, initial encounter"
"S95211A","Laceration of dorsal vein of right foot, initial encounter"
"S95212A","Laceration of dorsal vein of left foot, initial encounter"
"S95219A","Laceration of dorsal vein of unspecified foot, initial encounter"
"S95291A","Other specified injury of dorsal vein of right foot, initial encounter"
"S95292A","Other specified injury of dorsal vein of left foot, initial encounter"
"S95299A","Other specified injury of dorsal vein of unspecified foot, initial encounter"
"S95801A","Unspecified injury of other blood vessels at ankle and foot level, right leg, initial encounter"
"S95802A","Unspecified injury of other blood vessels at ankle and foot level, left leg, initial encounter"
"S95809A","Unspecified injury of other blood vessels at ankle and foot level, unspecified leg, initial encounter"
"S95811A","Laceration of other blood vessels at ankle and foot level, right leg, initial encounter"
"S95812A","Laceration of other blood vessels at ankle and foot level, left leg, initial encounter"
"S95819A","Laceration of other blood vessels at ankle and foot level, unspecified leg, initial encounter"
"S95891A","Other specified injury of other blood vessels at ankle and foot level, right leg, initial encounter"
"S95892A","Other specified injury of other blood vessels at ankle and foot level, left leg, initial encounter"
"S95899A","Other specified injury of other blood vessels at ankle and foot level, unspecified leg, initial encounter"
"S95901A","Unspecified injury of unspecified blood vessel at ankle and foot level, right leg, initial encounter"
"S95902A","Unspecified injury of unspecified blood vessel at ankle and foot level, left leg, initial encounter"
"S95909A","Unspecified injury of unspecified blood vessel at ankle and foot level, unspecified leg, initial encounter"
"S95911A","Laceration of unspecified blood vessel at ankle and foot level, right leg, initial encounter"
"S95912A","Laceration of unspecified blood vessel at ankle and foot level, left leg, initial encounter"
"S95919A","Laceration of unspecified blood vessel at ankle and foot level, unspecified leg, initial encounter"
"S95991A","Other specified injury of unspecified blood vessel at ankle and foot level, right leg, initial encounter"
"S95992A","Other specified injury of unspecified blood vessel at ankle and foot level, left leg, initial encounter"
"S95999A","Other specified injury of unspecified blood vessel at ankle and foot level, unspecified leg, initial encounter"
"S9700XA","Crushing injury of unspecified ankle, initial encounter"
"S9701XA","Crushing injury of right ankle, initial encounter"
"S9702XA","Crushing injury of left ankle, initial encounter"
"S97101A","Crushing injury of unspecified right toe(s), initial encounter"
"S97102A","Crushing injury of unspecified left toe(s), initial encounter"
"S97109A","Crushing injury of unspecified toe(s), initial encounter"
"S97111A","Crushing injury of right great toe, initial encounter"
"S97112A","Crushing injury of left great toe, initial encounter"
"S97119A","Crushing injury of unspecified great toe, initial encounter"
"S97121A","Crushing injury of right lesser toe(s), initial encounter"
"S97122A","Crushing injury of left lesser toe(s), initial encounter"
"S97129A","Crushing injury of unspecified lesser toe(s), initial encounter"
"S9780XA","Crushing injury of unspecified foot, initial encounter"
"S9781XA","Crushing injury of right foot, initial encounter"
"S9782XA","Crushing injury of left foot, initial encounter"
"S0100XA","Unspecified open wound of scalp, initial encounter"
"S0101XA","Laceration without foreign body of scalp, initial encounter"
"S0102XA","Laceration with foreign body of scalp, initial encounter"
"S0103XA","Puncture wound without foreign body of scalp, initial encounter"
"S0104XA","Puncture wound with foreign body of scalp, initial encounter"
"S0105XA","Open bite of scalp, initial encounter"
"S01101A","Unspecified open wound of right eyelid and periocular area, initial encounter"
"S01102A","Unspecified open wound of left eyelid and periocular area, initial encounter"
"S01109A","Unspecified open wound of unspecified eyelid and periocular area, initial encounter"
"S01111A","Laceration without foreign body of right eyelid and periocular area, initial encounter"
"S01112A","Laceration without foreign body of left eyelid and periocular area, initial encounter"
"S01119A","Laceration without foreign body of unspecified eyelid and periocular area, initial encounter"
"S01121A","Laceration with foreign body of right eyelid and periocular area, initial encounter"
"S01122A","Laceration with foreign body of left eyelid and periocular area, initial encounter"
"S01129A","Laceration with foreign body of unspecified eyelid and periocular area, initial encounter"
"S01131A","Puncture wound without foreign body of right eyelid and periocular area, initial encounter"
"S01132A","Puncture wound without foreign body of left eyelid and periocular area, initial encounter"
"S01139A","Puncture wound without foreign body of unspecified eyelid and periocular area, initial encounter"
"S01141A","Puncture wound with foreign body of right eyelid and periocular area, initial encounter"
"S01142A","Puncture wound with foreign body of left eyelid and periocular area, initial encounter"
"S01149A","Puncture wound with foreign body of unspecified eyelid and periocular area, initial encounter"
"S01151A","Open bite of right eyelid and periocular area, initial encounter"
"S01152A","Open bite of left eyelid and periocular area, initial encounter"
"S01159A","Open bite of unspecified eyelid and periocular area, initial encounter"
"S0120XA","Unspecified open wound of nose, initial encounter"
"S0121XA","Laceration without foreign body of nose, initial encounter"
"S0122XA","Laceration with foreign body of nose, initial encounter"
"S0123XA","Puncture wound without foreign body of nose, initial encounter"
"S0124XA","Puncture wound with foreign body of nose, initial encounter"
"S0125XA","Open bite of nose, initial encounter"
"S01301A","Unspecified open wound of right ear, initial encounter"
"S01302A","Unspecified open wound of left ear, initial encounter"
"S01309A","Unspecified open wound of unspecified ear, initial encounter"
"S01311A","Laceration without foreign body of right ear, initial encounter"
"S01312A","Laceration without foreign body of left ear, initial encounter"
"S01319A","Laceration without foreign body of unspecified ear, initial encounter"
"S01321A","Laceration with foreign body of right ear, initial encounter"
"S01322A","Laceration with foreign body of left ear, initial encounter"
"S01329A","Laceration with foreign body of unspecified ear, initial encounter"
"S01331A","Puncture wound without foreign body of right ear, initial encounter"
"S01332A","Puncture wound without foreign body of left ear, initial encounter"
"S01339A","Puncture wound without foreign body of unspecified ear, initial encounter"
"S01341A","Puncture wound with foreign body of right ear, initial encounter"
"S01342A","Puncture wound with foreign body of left ear, initial encounter"
"S01349A","Puncture wound with foreign body of unspecified ear, initial encounter"
"S01351A","Open bite of right ear, initial encounter"
"S01352A","Open bite of left ear, initial encounter"
"S01359A","Open bite of unspecified ear, initial encounter"
"S01401A","Unspecified open wound of right cheek and temporomandibular area, initial encounter"
"S01402A","Unspecified open wound of left cheek and temporomandibular area, initial encounter"
"S01409A","Unspecified open wound of unspecified cheek and temporomandibular area, initial encounter"
"S01411A","Laceration without foreign body of right cheek and temporomandibular area, initial encounter"
"S01412A","Laceration without foreign body of left cheek and temporomandibular area, initial encounter"
"S01419A","Laceration without foreign body of unspecified cheek and temporomandibular area, initial encounter"
"S01421A","Laceration with foreign body of right cheek and temporomandibular area, initial encounter"
"S01422A","Laceration with foreign body of left cheek and temporomandibular area, initial encounter"
"S01429A","Laceration with foreign body of unspecified cheek and temporomandibular area, initial encounter"
"S01431A","Puncture wound without foreign body of right cheek and temporomandibular area, initial encounter"
"S01432A","Puncture wound without foreign body of left cheek and temporomandibular area, initial encounter"
"S01439A","Puncture wound without foreign body of unspecified cheek and temporomandibular area, initial encounter"
"S01441A","Puncture wound with foreign body of right cheek and temporomandibular area, initial encounter"
"S01442A","Puncture wound with foreign body of left cheek and temporomandibular area, initial encounter"
"S01449A","Puncture wound with foreign body of unspecified cheek and temporomandibular area, initial encounter"
"S01451A","Open bite of right cheek and temporomandibular area, initial encounter"
"S01452A","Open bite of left cheek and temporomandibular area, initial encounter"
"S01459A","Open bite of unspecified cheek and temporomandibular area, initial encounter"
"S01501A","Unspecified open wound of lip, initial encounter"
"S01502A","Unspecified open wound of oral cavity, initial encounter"
"S01511A","Laceration without foreign body of lip, initial encounter"
"S01512A","Laceration without foreign body of oral cavity, initial encounter"
"S01521A","Laceration with foreign body of lip, initial encounter"
"S01522A","Laceration with foreign body of oral cavity, initial encounter"
"S01531A","Puncture wound without foreign body of lip, initial encounter"
"S01532A","Puncture wound without foreign body of oral cavity, initial encounter"
"S01541A","Puncture wound with foreign body of lip, initial encounter"
"S01542A","Puncture wound with foreign body of oral cavity, initial encounter"
"S01551A","Open bite of lip, initial encounter"
"S01552A","Open bite of oral cavity, initial encounter"
"S0180XA","Unspecified open wound of other part of head, initial encounter"
"S0181XA","Laceration without foreign body of other part of head, initial encounter"
"S0182XA","Laceration with foreign body of other part of head, initial encounter"
"S0183XA","Puncture wound without foreign body of other part of head, initial encounter"
"S0184XA","Puncture wound with foreign body of other part of head, initial encounter"
"S0185XA","Open bite of other part of head, initial encounter"
"S0190XA","Unspecified open wound of unspecified part of head, initial encounter"
"S0191XA","Laceration without foreign body of unspecified part of head, initial encounter"
"S0192XA","Laceration with foreign body of unspecified part of head, initial encounter"
"S0193XA","Puncture wound without foreign body of unspecified part of head, initial encounter"
"S0194XA","Puncture wound with foreign body of unspecified part of head, initial encounter"
"S0195XA","Open bite of unspecified part of head, initial encounter"
"S0520XA","Ocular laceration and rupture with prolapse or loss of intraocular tissue, unspecified eye, initial encounter"
"S0521XA","Ocular laceration and rupture with prolapse or loss of intraocular tissue, right eye, initial encounter"
"S0522XA","Ocular laceration and rupture with prolapse or loss of intraocular tissue, left eye, initial encounter"
"S0530XA","Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye, initial encounter"
"S0531XA","Ocular laceration without prolapse or loss of intraocular tissue, right eye, initial encounter"
"S0532XA","Ocular laceration without prolapse or loss of intraocular tissue, left eye, initial encounter"
"S0540XA","Penetrating wound of orbit with or without foreign body, unspecified eye, initial encounter"
"S0541XA","Penetrating wound of orbit with or without foreign body, right eye, initial encounter"
"S0542XA","Penetrating wound of orbit with or without foreign body, left eye, initial encounter"
"S0550XA","Penetrating wound with foreign body of unspecified eyeball, initial encounter"
"S0551XA","Penetrating wound with foreign body of right eyeball, initial encounter"
"S0552XA","Penetrating wound with foreign body of left eyeball, initial encounter"
"S0560XA","Penetrating wound without foreign body of unspecified eyeball, initial encounter"
"S0561XA","Penetrating wound without foreign body of right eyeball, initial encounter"
"S0562XA","Penetrating wound without foreign body of left eyeball, initial encounter"
"S0570XA","Avulsion of unspecified eye, initial encounter"
"S0571XA","Avulsion of right eye, initial encounter"
"S0572XA","Avulsion of left eye, initial encounter"
"S080XXA","Avulsion of scalp, initial encounter"
"S08111A","Complete traumatic amputation of right ear, initial encounter"
"S08112A","Complete traumatic amputation of left ear, initial encounter"
"S08119A","Complete traumatic amputation of unspecified ear, initial encounter"
"S08121A","Partial traumatic amputation of right ear, initial encounter"
"S08122A","Partial traumatic amputation of left ear, initial encounter"
"S08129A","Partial traumatic amputation of unspecified ear, initial encounter"
"S08811A","Complete traumatic amputation of nose, initial encounter"
"S08812A","Partial traumatic amputation of nose, initial encounter"
"S0889XA","Traumatic amputation of other parts of head, initial encounter"
"S0912XA","Laceration of muscle and tendon of head, initial encounter"
"S0920XA","Traumatic rupture of unspecified ear drum, initial encounter"
"S0921XA","Traumatic rupture of right ear drum, initial encounter"
"S0922XA","Traumatic rupture of left ear drum, initial encounter"
"S09311A","Primary blast injury of right ear, initial encounter"
"S09312A","Primary blast injury of left ear, initial encounter"
"S09313A","Primary blast injury of ear, bilateral, initial encounter"
"S09319A","Primary blast injury of unspecified ear, initial encounter"
"S11011A","Laceration without foreign body of larynx, initial encounter"
"S11012A","Laceration with foreign body of larynx, initial encounter"
"S11013A","Puncture wound without foreign body of larynx, initial encounter"
"S11014A","Puncture wound with foreign body of larynx, initial encounter"
"S11015A","Open bite of larynx, initial encounter"
"S11019A","Unspecified open wound of larynx, initial encounter"
"S11021A","Laceration without foreign body of trachea, initial encounter"
"S11022A","Laceration with foreign body of trachea, initial encounter"
"S11023A","Puncture wound without foreign body of trachea, initial encounter"
"S11024A","Puncture wound with foreign body of trachea, initial encounter"
"S11025A","Open bite of trachea, initial encounter"
"S11029A","Unspecified open wound of trachea, initial encounter"
"S11031A","Laceration without foreign body of vocal cord, initial encounter"
"S11032A","Laceration with foreign body of vocal cord, initial encounter"
"S11033A","Puncture wound without foreign body of vocal cord, initial encounter"
"S11034A","Puncture wound with foreign body of vocal cord, initial encounter"
"S11035A","Open bite of vocal cord, initial encounter"
"S11039A","Unspecified open wound of vocal cord, initial encounter"
"S1110XA","Unspecified open wound of thyroid gland, initial encounter"
"S1111XA","Laceration without foreign body of thyroid gland, initial encounter"
"S1112XA","Laceration with foreign body of thyroid gland, initial encounter"
"S1113XA","Puncture wound without foreign body of thyroid gland, initial encounter"
"S1114XA","Puncture wound with foreign body of thyroid gland, initial encounter"
"S1115XA","Open bite of thyroid gland, initial encounter"
"S1120XA","Unspecified open wound of pharynx and cervical esophagus, initial encounter"
"S1121XA","Laceration without foreign body of pharynx and cervical esophagus, initial encounter"
"S1122XA","Laceration with foreign body of pharynx and cervical esophagus, initial encounter"
"S1123XA","Puncture wound without foreign body of pharynx and cervical esophagus, initial encounter"
"S1124XA","Puncture wound with foreign body of pharynx and cervical esophagus, initial encounter"
"S1125XA","Open bite of pharynx and cervical esophagus, initial encounter"
"S1180XA","Unspecified open wound of other specified part of neck, initial encounter"
"S1181XA","Laceration without foreign body of other specified part of neck, initial encounter"
"S1182XA","Laceration with foreign body of other specified part of neck, initial encounter"
"S1183XA","Puncture wound without foreign body of other specified part of neck, initial encounter"
"S1184XA","Puncture wound with foreign body of other specified part of neck, initial encounter"
"S1185XA","Open bite of other specified part of neck, initial encounter"
"S1189XA","Other open wound of other specified part of neck, initial encounter"
"S1190XA","Unspecified open wound of unspecified part of neck, initial encounter"
"S1191XA","Laceration without foreign body of unspecified part of neck, initial encounter"
"S1192XA","Laceration with foreign body of unspecified part of neck, initial encounter"
"S1193XA","Puncture wound without foreign body of unspecified part of neck, initial encounter"
"S1194XA","Puncture wound with foreign body of unspecified part of neck, initial encounter"
"S1195XA","Open bite of unspecified part of neck, initial encounter"
"S162XXA","Laceration of muscle, fascia and tendon at neck level, initial encounter"
"S21001A","Unspecified open wound of right breast, initial encounter"
"S21002A","Unspecified open wound of left breast, initial encounter"
"S21009A","Unspecified open wound of unspecified breast, initial encounter"
"S21011A","Laceration without foreign body of right breast, initial encounter"
"S21012A","Laceration without foreign body of left breast, initial encounter"
"S21019A","Laceration without foreign body of unspecified breast, initial encounter"
"S21021A","Laceration with foreign body of right breast, initial encounter"
"S21022A","Laceration with foreign body of left breast, initial encounter"
"S21029A","Laceration with foreign body of unspecified breast, initial encounter"
"S21031A","Puncture wound without foreign body of right breast, initial encounter"
"S21032A","Puncture wound without foreign body of left breast, initial encounter"
"S21039A","Puncture wound without foreign body of unspecified breast, initial encounter"
"S21041A","Puncture wound with foreign body of right breast, initial encounter"
"S21042A","Puncture wound with foreign body of left breast, initial encounter"
"S21049A","Puncture wound with foreign body of unspecified breast, initial encounter"
"S21051A","Open bite of right breast, initial encounter"
"S21052A","Open bite of left breast, initial encounter"
"S21059A","Open bite of unspecified breast, initial encounter"
"S21101A","Unspecified open wound of right front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21102A","Unspecified open wound of left front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21109A","Unspecified open wound of unspecified front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21111A","Laceration without foreign body of right front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21112A","Laceration without foreign body of left front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21119A","Laceration without foreign body of unspecified front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21121A","Laceration with foreign body of right front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21122A","Laceration with foreign body of left front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21129A","Laceration with foreign body of unspecified front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21131A","Puncture wound without foreign body of right front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21132A","Puncture wound without foreign body of left front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21139A","Puncture wound without foreign body of unspecified front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21141A","Puncture wound with foreign body of right front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21142A","Puncture wound with foreign body of left front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21149A","Puncture wound with foreign body of unspecified front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21151A","Open bite of right front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21152A","Open bite of left front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21159A","Open bite of unspecified front wall of thorax without penetration into thoracic cavity, initial encounter"
"S21201A","Unspecified open wound of right back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21202A","Unspecified open wound of left back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21209A","Unspecified open wound of unspecified back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21211A","Laceration without foreign body of right back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21212A","Laceration without foreign body of left back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21219A","Laceration without foreign body of unspecified back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21221A","Laceration with foreign body of right back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21222A","Laceration with foreign body of left back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21229A","Laceration with foreign body of unspecified back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21231A","Puncture wound without foreign body of right back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21232A","Puncture wound without foreign body of left back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21239A","Puncture wound without foreign body of unspecified back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21241A","Puncture wound with foreign body of right back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21242A","Puncture wound with foreign body of left back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21249A","Puncture wound with foreign body of unspecified back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21251A","Open bite of right back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21252A","Open bite of left back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21259A","Open bite of unspecified back wall of thorax without penetration into thoracic cavity, initial encounter"
"S21301A","Unspecified open wound of right front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21302A","Unspecified open wound of left front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21309A","Unspecified open wound of unspecified front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21311A","Laceration without foreign body of right front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21312A","Laceration without foreign body of left front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21319A","Laceration without foreign body of unspecified front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21321A","Laceration with foreign body of right front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21322A","Laceration with foreign body of left front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21329A","Laceration with foreign body of unspecified front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21331A","Puncture wound without foreign body of right front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21332A","Puncture wound without foreign body of left front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21339A","Puncture wound without foreign body of unspecified front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21341A","Puncture wound with foreign body of right front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21342A","Puncture wound with foreign body of left front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21349A","Puncture wound with foreign body of unspecified front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21351A","Open bite of right front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21352A","Open bite of left front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21359A","Open bite of unspecified front wall of thorax with penetration into thoracic cavity, initial encounter"
"S21401A","Unspecified open wound of right back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21402A","Unspecified open wound of left back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21409A","Unspecified open wound of unspecified back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21411A","Laceration without foreign body of right back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21412A","Laceration without foreign body of left back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21419A","Laceration without foreign body of unspecified back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21421A","Laceration with foreign body of right back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21422A","Laceration with foreign body of left back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21429A","Laceration with foreign body of unspecified back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21431A","Puncture wound without foreign body of right back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21432A","Puncture wound without foreign body of left back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21439A","Puncture wound without foreign body of unspecified back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21441A","Puncture wound with foreign body of right back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21442A","Puncture wound with foreign body of left back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21449A","Puncture wound with foreign body of unspecified back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21451A","Open bite of right back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21452A","Open bite of left back wall of thorax with penetration into thoracic cavity, initial encounter"
"S21459A","Open bite of unspecified back wall of thorax with penetration into thoracic cavity, initial encounter"
"S2190XA","Unspecified open wound of unspecified part of thorax, initial encounter"
"S2191XA","Laceration without foreign body of unspecified part of thorax, initial encounter"
"S2192XA","Laceration with foreign body of unspecified part of thorax, initial encounter"
"S2193XA","Puncture wound without foreign body of unspecified part of thorax, initial encounter"
"S2194XA","Puncture wound with foreign body of unspecified part of thorax, initial encounter"
"S2195XA","Open bite of unspecified part of thorax, initial encounter"
"S281XXA","Traumatic amputation (partial) of part of thorax, except breast, initial encounter"
"S28211A","Complete traumatic amputation of right breast, initial encounter"
"S28212A","Complete traumatic amputation of left breast, initial encounter"
"S28219A","Complete traumatic amputation of unspecified breast, initial encounter"
"S28221A","Partial traumatic amputation of right breast, initial encounter"
"S28222A","Partial traumatic amputation of left breast, initial encounter"
"S28229A","Partial traumatic amputation of unspecified breast, initial encounter"
"S29021A","Laceration of muscle and tendon of front wall of thorax, initial encounter"
"S29022A","Laceration of muscle and tendon of back wall of thorax, initial encounter"
"S29029A","Laceration of muscle and tendon of unspecified wall of thorax, initial encounter"
"S31000A","Unspecified open wound of lower back and pelvis without penetration into retroperitoneum, initial encounter"
"S31001A","Unspecified open wound of lower back and pelvis with penetration into retroperitoneum, initial encounter"
"S31010A","Laceration without foreign body of lower back and pelvis without penetration into retroperitoneum, initial encounter"
"S31011A","Laceration without foreign body of lower back and pelvis with penetration into retroperitoneum, initial encounter"
"S31020A","Laceration with foreign body of lower back and pelvis without penetration into retroperitoneum, initial encounter"
"S31021A","Laceration with foreign body of lower back and pelvis with penetration into retroperitoneum, initial encounter"
"S31030A","Puncture wound without foreign body of lower back and pelvis without penetration into retroperitoneum, initial encounter"
"S31031A","Puncture wound without foreign body of lower back and pelvis with penetration into retroperitoneum, initial encounter"
"S31040A","Puncture wound with foreign body of lower back and pelvis without penetration into retroperitoneum, initial encounter"
"S31041A","Puncture wound with foreign body of lower back and pelvis with penetration into retroperitoneum, initial encounter"
"S31050A","Open bite of lower back and pelvis without penetration into retroperitoneum, initial encounter"
"S31051A","Open bite of lower back and pelvis with penetration into retroperitoneum, initial encounter"
"S31100A","Unspecified open wound of abdominal wall, right upper quadrant without penetration into peritoneal cavity, initial encounter"
"S31101A","Unspecified open wound of abdominal wall, left upper quadrant without penetration into peritoneal cavity, initial encounter"
"S31102A","Unspecified open wound of abdominal wall, epigastric region without penetration into peritoneal cavity, initial encounter"
"S31103A","Unspecified open wound of abdominal wall, right lower quadrant without penetration into peritoneal cavity, initial encounter"
"S31104A","Unspecified open wound of abdominal wall, left lower quadrant without penetration into peritoneal cavity, initial encounter"
"S31105A","Unspecified open wound of abdominal wall, periumbilic region without penetration into peritoneal cavity, initial encounter"
"S31109A","Unspecified open wound of abdominal wall, unspecified quadrant without penetration into peritoneal cavity, initial encounter"
"S31110A","Laceration without foreign body of abdominal wall, right upper quadrant without penetration into peritoneal cavity, initial encounter"
"S31111A","Laceration without foreign body of abdominal wall, left upper quadrant without penetration into peritoneal cavity, initial encounter"
"S31112A","Laceration without foreign body of abdominal wall, epigastric region without penetration into peritoneal cavity, initial encounter"
"S31113A","Laceration without foreign body of abdominal wall, right lower quadrant without penetration into peritoneal cavity, initial encounter"
"S31114A","Laceration without foreign body of abdominal wall, left lower quadrant without penetration into peritoneal cavity, initial encounter"
"S31115A","Laceration without foreign body of abdominal wall, periumbilic region without penetration into peritoneal cavity, initial encounter"
"S31119A","Laceration without foreign body of abdominal wall, unspecified quadrant without penetration into peritoneal cavity, initial encounter"
"S31120A","Laceration of abdominal wall with foreign body, right upper quadrant without penetration into peritoneal cavity, initial encounter"
"S31121A","Laceration of abdominal wall with foreign body, left upper quadrant without penetration into peritoneal cavity, initial encounter"
"S31122A","Laceration of abdominal wall with foreign body, epigastric region without penetration into peritoneal cavity, initial encounter"
"S31123A","Laceration of abdominal wall with foreign body, right lower quadrant without penetration into peritoneal cavity, initial encounter"
"S31124A","Laceration of abdominal wall with foreign body, left lower quadrant without penetration into peritoneal cavity, initial encounter"
"S31125A","Laceration of abdominal wall with foreign body, periumbilic region without penetration into peritoneal cavity, initial encounter"
"S31129A","Laceration of abdominal wall with foreign body, unspecified quadrant without penetration into peritoneal cavity, initial encounter"
"S31130A","Puncture wound of abdominal wall without foreign body, right upper quadrant without penetration into peritoneal cavity, initial encounter"
"S31131A","Puncture wound of abdominal wall without foreign body, left upper quadrant without penetration into peritoneal cavity, initial encounter"
"S31132A","Puncture wound of abdominal wall without foreign body, epigastric region without penetration into peritoneal cavity, initial encounter"
"S31133A","Puncture wound of abdominal wall without foreign body, right lower quadrant without penetration into peritoneal cavity, initial encounter"
"S31134A","Puncture wound of abdominal wall without foreign body, left lower quadrant without penetration into peritoneal cavity, initial encounter"
"S31135A","Puncture wound of abdominal wall without foreign body, periumbilic region without penetration into peritoneal cavity, initial encounter"
"S31139A","Puncture wound of abdominal wall without foreign body, unspecified quadrant without penetration into peritoneal cavity, initial encounter"
"S31140A","Puncture wound of abdominal wall with foreign body, right upper quadrant without penetration into peritoneal cavity, initial encounter"
"S31141A","Puncture wound of abdominal wall with foreign body, left upper quadrant without penetration into peritoneal cavity, initial encounter"
"S31142A","Puncture wound of abdominal wall with foreign body, epigastric region without penetration into peritoneal cavity, initial encounter"
"S31143A","Puncture wound of abdominal wall with foreign body, right lower quadrant without penetration into peritoneal cavity, initial encounter"
"S31144A","Puncture wound of abdominal wall with foreign body, left lower quadrant without penetration into peritoneal cavity, initial encounter"
"S31145A","Puncture wound of abdominal wall with foreign body, periumbilic region without penetration into peritoneal cavity, initial encounter"
"S31149A","Puncture wound of abdominal wall with foreign body, unspecified quadrant without penetration into peritoneal cavity, initial encounter"
"S31150A","Open bite of abdominal wall, right upper quadrant without penetration into peritoneal cavity, initial encounter"
"S31151A","Open bite of abdominal wall, left upper quadrant without penetration into peritoneal cavity, initial encounter"
