hcpcs,nitos,description,invasive_non_invasive,modality,body_region,focus_area
77013,I999,CT guide for tissue ablation,Invasive,Invasive,Invasive,None (Invasive procedures)
77014,I999,CT scan for therapy guide,Invasive,Invasive,Invasive,None (Invasive procedures)
77021,I999,MR guidance for needle place,Invasive,Invasive,Invasive,None (Invasive procedures)
77022,I999,MRI for tissue ablation,Invasive,Invasive,Invasive,None (Invasive procedures)
77031,I999,Stereotact guide for brst bx,Invasive,Invasive,Invasive,None (Invasive procedures)
77032,I999,Guidance for needle breast,Invasive,Invasive,Invasive,None (Invasive procedures)
77046,N480,"Magnetic resonance imaging, breast, without contrast material; unilateral",Non-Invasive,Magnetic resonance,Breast,None (Non-invasive procedures)
77047,N480,"Magnetic resonance imaging, breast, without contrast material; bilateral",Non-Invasive,Magnetic resonance,Breast,None (Non-invasive procedures)
77048,N480,"Magnetic resonance imaging, breast, without and with contrast material(s), including computer-aided detection (CAD real-time lesion detection, characterization and pharmacokinetic analysis), when performed; unilateral",Non-Invasive,Magnetic resonance,Breast,None (Non-invasive procedures)
77049,N480,"Magnetic resonance imaging, breast, without and with contrast material(s), including computer-aided detection (CAD real-time lesion detection, characterization and pharmacokinetic analysis), when performed; bilateral",Non-Invasive,Magnetic resonance,Breast,None (Non-invasive procedures)
77051,N280,Computer dx mammogram add-on,Non-Invasive,Computer-aided detection,Breast,None (Non-invasive procedures)
77052,N280,Comp screen mammogram add-on,Non-Invasive,Computer-aided detection,Breast,None (Non-invasive procedures)
77053,I999,X-ray of mammary duct,Invasive,Invasive,Invasive,None (Invasive procedures)
77054,I999,X-ray of mammary ducts,Invasive,Invasive,Invasive,None (Invasive procedures)
77055,N780,Mammogram one breast,Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
77056,N780,Mammogram both breasts,Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
77057,N780,Mammogram screening,Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
77058,N480,MRI one breast,Non-Invasive,Magnetic resonance,Breast,None (Non-invasive procedures)
77059,N480,MRI both breasts,Non-Invasive,Magnetic resonance,Breast,None (Non-invasive procedures)
77061,N780,Breast tomosynthesis uni,Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
77062,N780,Breast tomosynthesis bi,Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
77063,N780,Breast tomosynthesis bi,Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
77065,N780,Dx mammo incl cad uni,Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
77066,N780,Dx mammo incl cad bi,Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
77067,N780,Scr mammo bi incl cad,Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
77071,N774,X-ray stress view,Non-Invasive,Radiography,Extremity,Musculoskeletal
77072,N774,X-rays for bone age,Non-Invasive,Radiography,Extremity,Musculoskeletal
77073,N774,X-rays bone length studies,Non-Invasive,Radiography,Extremity,Musculoskeletal
77074,N704,X-rays bone survey limited,Non-Invasive,Radiography,None,Musculoskeletal
77075,N704,X-rays bone survey complete,Non-Invasive,Radiography,None,Musculoskeletal
77076,N704,X-rays bone survey infant,Non-Invasive,Radiography,None,Musculoskeletal
77077,N774,Joint survey single view,Non-Invasive,Radiography,Extremity,Musculoskeletal
77078,N304,CT bone density axial,Non-Invasive,Computerized tomography,None,Musculoskeletal
77079,N374,Ct bone density peripheral,Non-Invasive,Computerized tomography,Extremity,Musculoskeletal
77080,N704,DXA bone density axial,Non-Invasive,Radiography,None,Musculoskeletal
77081,N774,DXA bone density/peripheral,Non-Invasive,Radiography,Extremity,Musculoskeletal
77082,N730,DXA bone density vert fx,Non-Invasive,Radiography,Spine,None (Non-invasive procedures)
77083,N704,Radiographic absorptiometry,Non-Invasive,Radiography,None,Musculoskeletal
77084,N404,Magnetic image bone marrow,Non-Invasive,Magnetic resonance,None,Musculoskeletal
77085,N704,Dxa bone density study,Non-Invasive,Radiography,None,Musculoskeletal
77086,N774,Fracture assessment via dxa,Non-Invasive,Radiography,Extremity,Musculoskeletal
78000,N520,Thyroid single uptake,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78001,N520,Thyroid multiple uptakes,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78003,N520,Thyroid suppress/stimul,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78006,N520,Thyroid imaging with uptake,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78007,N520,Thyroid image mult uptakes,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78010,N520,Thyroid imaging,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78011,N520,Thyroid imaging with flow,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78012,N520,Thyroid uptake measurement,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78013,N520,Thyroid imaging w/blood flow,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78014,N520,Thyroid imaging w/blood flow,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78015,N500,Thyroid met imaging,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78016,N500,Thyroid met imaging/studies,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78017,N500,Multiple nuclear scans,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78018,N520,Thyroid met imaging body,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78020,N520,Thyroid met uptake,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78070,N520,Parathyroid planar imaging,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78071,N520,Parathyrd planar w/wo subtrj,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78072,N520,Parathyrd planar w/spect&ct,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78075,N563,Adrenal nuclear imaging,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78099,N500,Endocrine nuclear procedure,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78102,N504,Bone marrow imaging ltd,Non-Invasive,Nuclear medicine,None,Musculoskeletal
78103,N504,Bone marrow imaging mult,Non-Invasive,Nuclear medicine,None,Musculoskeletal
78104,N504,Bone marrow imaging body,Non-Invasive,Nuclear medicine,None,Musculoskeletal
78110,N500,Plasma volume single,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78111,N500,Plasma volume multiple,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78120,N500,Red cell mass single,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78121,N500,Red cell mass multiple,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78122,N500,Blood volume,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78130,N500,Red cell survival study,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78135,N500,Red cell survival kinetics,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78140,N500,Red cell sequestration,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78185,N560,Spleen imaging,Non-Invasive,Nuclear medicine,Abdomen/pelvis,None (Non-invasive procedures)
78191,N500,Platelet survival,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78192,N500,"Nuclear exam, WBC scan",Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78193,N500,"Nuclear exam, WBC scan",Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78195,N500,Lymph system imaging,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78199,N500,Blood/lymph nuclear exam,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78201,N560,Liver imaging,Non-Invasive,Nuclear medicine,Abdomen/pelvis,None (Non-invasive procedures)
78202,N560,Liver imaging with flow,Non-Invasive,Nuclear medicine,Abdomen/pelvis,None (Non-invasive procedures)
78205,N560,Liver imaging (3D),Non-Invasive,Nuclear medicine,Abdomen/pelvis,None (Non-invasive procedures)
78206,N560,Liver image (3D) with flow,Non-Invasive,Nuclear medicine,Abdomen/pelvis,None (Non-invasive procedures)
78215,N560,Liver and spleen imaging,Non-Invasive,Nuclear medicine,Abdomen/pelvis,None (Non-invasive procedures)
78216,N560,Liver & spleen image/flow,Non-Invasive,Nuclear medicine,Abdomen/pelvis,None (Non-invasive procedures)
78220,N560,Liver function study,Non-Invasive,Nuclear medicine,Abdomen/pelvis,None (Non-invasive procedures)
78223,N560,Hepatobiliary imaging,Non-Invasive,Nuclear medicine,Abdomen/pelvis,None (Non-invasive procedures)
78226,N560,Hepatobiliary system imaging,Non-Invasive,Nuclear medicine,Abdomen/pelvis,None (Non-invasive procedures)
78227,N560,Hepatobil syst image w/drug,Non-Invasive,Nuclear medicine,Abdomen/pelvis,None (Non-invasive procedures)
78230,N520,Salivary gland imaging,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78231,N520,Serial salivary imaging,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78232,N520,Salivary gland function exam,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78258,N552,Esophageal motility study,Non-Invasive,Nuclear medicine,Chest,Gastrointestinal
78261,N562, Gastric mucosa imaging,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Gastrointestinal
78262,N562,Gastroesophageal reflux exam,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Gastrointestinal
78264,N562,Gastric emptying study,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Gastrointestinal
78265,N562,Gastric emptying imag study,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Gastrointestinal
78266,N562,Gastric emptying imag study,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Gastrointestinal
78267,N562,Breath tst attain/anal c-14,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Gastrointestinal
78268,N562,Breath test analysis c-14,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Gastrointestinal
78270,N502,Vit B-12 absorption exam,Non-Invasive,Nuclear medicine,None,Gastrointestinal
78271,N502,Vit b-12 absrp exam int fac,Non-Invasive,Nuclear medicine,None,Gastrointestinal
78272,N502,Vit B-12 absorp combined,Non-Invasive,Nuclear medicine,None,Gastrointestinal
78276,N562,"Nuclear exam, GI blood loss",Non-Invasive,Nuclear medicine,Abdomen/pelvis,Gastrointestinal
78278,N562,Acute GI blood loss imaging,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Gastrointestinal
78280,N562,GI Blood loss exam,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Gastrointestinal
78282,N502,GI protein loss exam,Non-Invasive,Nuclear medicine,None,Gastrointestinal
78290,N562,Meckels divert exam,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Gastrointestinal
78291,N562,Leveen/shunt patency exam,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Gastrointestinal
78299,N562,GI nuclear procedure,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Gastrointestinal
78300,N574,Bone imaging limited area,Non-Invasive,Nuclear medicine,Extremity,Musculoskeletal
78305,N574,Bone imaging multiple areas,Non-Invasive,Nuclear medicine,Extremity,Musculoskeletal
78306,N504,Bone imaging whole body,Non-Invasive,Nuclear medicine,None,Musculoskeletal
78310,N506,Bone blood flow scan,Non-Invasive,Nuclear medicine,None,Vascular
78315,N574,Bone imaging 3 phase,Non-Invasive,Nuclear medicine,Extremity,Musculoskeletal
78320,N574,Bone imaging (3D),Non-Invasive,Nuclear medicine,Extremity,Musculoskeletal
78350,N504,Bone mineral single photon,Non-Invasive,Nuclear medicine,None,Musculoskeletal
78351,N504,Bone mineral dual photon,Non-Invasive,Nuclear medicine,None,Musculoskeletal
78399,N504,Musculoskeletal nuclear exam,Non-Invasive,Nuclear medicine,None,Musculoskeletal
78414,N540,Non-imaging heart function,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78428,N540,Cardiac shunt imaging,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78429,N540,"Myocardial imaging, positron emission tomography (PET), metabolic evaluation study (including ventricular wall motion[s] and/or ejection fraction[s], when performed), single study; with concurrently acquired computed tomography transmission scan",Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78430,N540,"Myocardial imaging, positron emission tomography (PET), perfusion study (including ventricular wall motion[s] and/or ejection fraction[s], when performed); single study, at rest or stress (exercise or pharmacologic), with concurrently acquired computed tomography transmission scan",Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78431,N540,"Myocardial imaging, positron emission tomography (PET), perfusion study (including ventricular wall motion[s] and/or ejection fraction[s], when performed); multiple studies at rest and stress (exercise or pharmacologic), with concurrently acquired computed tomography transmission scan",Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78432,N540,"Myocardial imaging, positron emission tomography (PET), combined perfusion with metabolic evaluation study (including ventricular wall motion[s] and/or ejection fraction[s], when performed), dual radiotracer (eg, myocardial viability);",Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78433,N540,"Myocardial imaging, positron emission tomography (PET), combined perfusion with metabolic evaluation study (including ventricular wall motion[s] and/or ejection fraction[s], when performed), dual radiotracer (eg, myocardial viability); with concurrently acquired computed tomography transmission scan",Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78434,N540,"Absolute quantitation of myocardial blood flow (AQMBF), positron emission tomography (PET), rest and pharmacologic stress (List separately in addition to code for primary procedure)",Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78445,N506,Vascular flow imaging,Non-Invasive,Nuclear medicine,None,Vascular
78451,N540,Ht muscle image spect sing,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78452,N540,Ht muscle image spect mult,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78453,N540,Ht muscle image planar sing,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78454,N540,Ht musc image planar mult,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78455,N506,Venous thrombosis study,Non-Invasive,Nuclear medicine,None,Vascular
78456,N506,Acute venous thrombus image,Non-Invasive,Nuclear medicine,None,Vascular
78457,N576,Venous thrombosis imaging,Non-Invasive,Nuclear medicine,Extremity,Vascular
78458,N576,Venous thrombosis images bilat,Non-Invasive,Nuclear medicine,Extremity,Vascular
78459,N540,Heart muscle imaging (PET),Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78460,N540,"Heart muscle blood, single",Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78461,N540,"Heart muscle blood, multiple",Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78464,N540,"Heart image (3d), single",Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78465,N540,"Heart image (3d), multiple",Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78466,N540,Heart infarct image,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78468,N540,Heart infarct image (ef),Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78469,N540,Heart infarct image (3D),Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78470,N540,Cardiac Output,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78472,N540,Gated heart planar single,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78473,N540,Gated heart multiple,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78476,N540,"Cardiac Blood Pool Imaging, Gated Equilibrium, At Rest; Quantitative Wall Motion Study Plus Ejection Fraction, With Exercise And/or Pharmacologic Intervention",Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78478,N540,Heart wall motion add-on,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78480,N540,Heart function add-on,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78481,N540,Heart first pass single,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78483,N540,Heart first pass multiple,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78491,N540,Heart image (PET) single,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78492,N540,Heart image (PET) multiple,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78494,N540,Heart image spect,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78496,N540,Heart first pass add-on,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78499,N540,Cardiovascular nuclear exam,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
78579,N550,Lung ventilation imaging,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78580,N550,Lung perfusion imaging,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78581,N550,Nuclear scan of lung,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78582,N550,Lung ventilat&perfus imaging,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78584,N550,Lung V/Q image single breath,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78585,N550,Lung V/Q imaging,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78586,N550,Aerosol lung image single,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78587,N550,Aerosol lung image multiple,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78588,N550,Perfusion lung image,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78591,N550,Vent image 1 breath 1 proj,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78593,N550,Vent image 1 proj gas,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78594,N550,Vent image mult proj gas,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78596,N550,Lung differential function,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78597,N550,Lung perfusion differential,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78598,N550,Lung perf&ventilat diferentl,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78599,N550,Respiratory nuclear exam,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
78600,N510,Brain image < 4 views,Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78601,N510,Brain image w/flow < 4 views,Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78605,N510,Brain image 4+ views,Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78606,N510,Brain image w/flow 4 + views,Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78607,N510,Brain imaging (3D),Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78608,N510,Brain imaging (PET),Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78609,N510,Brain imaging (PET),Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78610,N510,Brain flow imaging only,Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78615,N516,Cerebral vascular flow image,Non-Invasive,Nuclear medicine,Brain,Vascular
78630,N510,Cerebrospinal fluid scan,Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78635,N510,CSF ventriculography,Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78645,N510,CSF shunt evaluation,Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78647,N510,Cerebrospinal fluid scan,Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78650,N510,CSF leakage imaging,Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78652,N510,Cerebrospinal fluid scan (3D),Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
78655,N520,Nuclear exam of eye lesion,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78660,N520,Nuclear exam of tear flow,Non-Invasive,Nuclear medicine,Head/neck,None (Non-invasive procedures)
78699,N500,Nervous system nuclear exam,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78700,N563,Kidney imaging morphol,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78701,N563,Kidney imaging with flow,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78704,N563,Imaging renogram,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78707,N563,K flow/funct image w/o drug,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78708,N563,K flow/funct image w/drug,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78709,N563,K flow/funct image multiple,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78710,N563,Kidney imaging (3D),Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78715,N563,Renal vascular flow exam,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78725,N563,Kidney function study,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78726,N563,Nuclear exam of kidney,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78727,N563,Nuclear exam renal surgery,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78730,N563,Urinary bladder retention,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78740,N563,Ureteral reflux study,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78760,N563,Testicular imaging,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78761,N563,Testicular imaging w/flow,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78799,N563,Genitourinary nuclear exam,Non-Invasive,Nuclear medicine,Abdomen/pelvis,Genitourinary
78800,N500,Tumor imaging limited area,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78801,N500,Tumor imaging mult areas,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78802,N500,Tumor imaging whole body,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78803,N500,Tumor imaging (3D),Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78804,N500,Tumor imaging whole body,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78805,N500,Abscess imaging ltd area,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78806,N500,Abscess imaging whole body,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78807,N500,Nuclear localization/abscess,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78808,N500,Iv inj ra drug dx study,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78810,N500,Tumor imaging (PET),Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78811,N500,PET image ltd area,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78812,N500,PET image skull-thigh,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78813,N500,PET image full body,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78814,N500,PET image w/CT lmtd,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78815,N500,PET image w/CT skull-thigh,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78816,N500,PET image w/CT full body,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78830,N500,"Radiopharmaceutical localization of tumor, inflammatory process or distribution of radiopharmaceutical agent(s) (includes vascular flow and blood pool imaging, when performed); tomographic (SPECT) with concurrently acquired computed tomography (CT) transmission scan for anatomical review, localization and determination/detection of pathology, single area (eg, head, neck, chest, pelvis), single day imaging",Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78831,N500,"Radiopharmaceutical localization of tumor, inflammatory process or distribution of radiopharmaceutical agent(s) (includes vascular flow and blood pool imaging, when performed); tomographic (SPECT), minimum 2 areas (eg, pelvis and knees, abdomen and pelvis), single day imaging, or single area imaging over 2 or more days",Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78832,N500,"Radiopharmaceutical localization of tumor, inflammatory process or distribution of radiopharmaceutical agent(s) (includes vascular flow and blood pool imaging, when performed); tomographic (SPECT) with concurrently acquired computed tomography (CT) transmission scan for anatomical review, localization and determination/detection of pathology, minimum 2 areas (eg, pelvis and knees, abdomen and pelvis), single day imaging, or single area imaging over 2 or more days",Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78835,N500,Radiopharmaceutical quantification measurement(s) single area (List separately in addition to code for primary procedure),Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78890,N500,Nuclear medicine data proc,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78891,N500,Nuclear med data proc,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
78999,N500,Nuclear diagnostic exam,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
79403,N500,Hematopoietic nuclear tx,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
92611,N722,Motion fluoroscopy/swallow,Non-Invasive,Radiography,Head/neck,Gastrointestinal
93303,N640,Echo transthoracic,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93304,N640,Echo transthoracic,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93306,N640,Tte w/doppler complete,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93307,N640,Tte w/o doppler complete Echo exam of heart,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93308,N640,Tte f-up or lmtd Echo exam of heart,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93312,N640,Echo transesophageal,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93313,N640,Echo transesophageal,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93314,N640,Echo transesophageal,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93315,N640,Echo transesophageal,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93316,N640,Echo transesophageal,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93317,N640,Echo transesophageal,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93318,N640,Echo transesophageal intraop,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93320,N640,Doppler echo exam heart,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93321,N640,Doppler echo exam heart,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93325,N640,Doppler color flow add-on,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93350,N640,Stress tte only Echo transthoracic,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93351,N640,Stress tte complete,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93352,N640,Admin ecg contrast agent,Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93355,N640,Echo transesophageal (tee),Non-Invasive,Ultrasound,Cardiac,None (Non-invasive procedures)
93880,N626,Extracranial bilat study,Non-Invasive,Ultrasound,Head/neck,Vascular
93882,N626,Extracranial uni/ltd study,Non-Invasive,Ultrasound,Head/neck,Vascular
93886,N626,Intracranial study,Non-Invasive,Ultrasound,Head/neck,Vascular
93888,N626,Intracranial study,Non-Invasive,Ultrasound,Head/neck,Vascular
93890,N626,Tcd vasoreactivity study,Non-Invasive,Ultrasound,Head/neck,Vascular
93892,N616,Tcd emboli detect w/o inj,Non-Invasive,Ultrasound,Brain,Vascular
