bill_type_code,bill_type_description,deprecated,deprecated_date
"43H","Religious Nonmedical (Hospital) Outpatient CMS Initiated Adjustment Claim","0",
"43I","Religious Nonmedical (Hospital) Outpatient FI Adjustment Claim (Other than QIO or Provider)","0",
"43J","Religious Nonmedical (Hospital) Outpatient Initiated Adjustment Claim/Other","0",
"43K","Religious Nonmedical (Hospital) Outpatient OIG Initiated Adjustment Claim","0",
"43M","Religious Nonmedical (Hospital) Outpatient MSP Initiated Adjustment Claim","0",
"43O","Religious Nonmedical (Hospital) Outpatient Nonpayment/Zero Claims","0",
"43P","Religious Nonmedical (Hospital) Outpatient QIO Adjustment Claim","0",
"43Q","Religious Nonmedical (Hospital) Outpatient Reopening/Adjustment","0",
"43X","Religious Nonmedical (Hospital) Outpatient Void/Cancel a Prior Abbreviated Encounter Submission","0",
"43Y","Religious Nonmedical (Hospital) Outpatient Replacement of Prior Abbreviated Encounter Submission","0",
"43Z","Religious Nonmedical (Hospital) Outpatient New Abbreviated Encounter Submission","0",
"440","Religious Nonmedical (Hospital) Other (Part B) Non-payment/Zero Claim","0",
"441","Religious Nonmedical (Hospital) Other (Part B) Admit Through Discharge","0",
"442","Religious Nonmedical (Hospital) Other (Part B) Interim - First Claim","0",
"443","Religious Nonmedical (Hospital) Other (Part B) Interim-Continuing Claims","0",
"444","Religious Nonmedical (Hospital) Other (Part B) Interim - Last Claim","0",
"445","Religious Nonmedical (Hospital) Other (Part B) Late Charge Only","0",
"447","Religious Nonmedical (Hospital) Other (Part B) Replacement of Prior Claim","0",
"448","Religious Nonmedical (Hospital) Other (Part B) Void/Cancel of Prior Claim","0",
"449","Religious Nonmedical (Hospital) Other (Part B) Final claim for a Home Health PPS Period","0",
"44A","Religious Nonmedical (Hospital) Other (Part B) Admission/Election Notice for Hospice","0",
"44B","Religious Nonmedical (Hospital) Other (Part B) Hospice Termination/ Revocation Notice","0",
"44C","Religious Nonmedical (Hospital) Other (Part B) Hospice Change of Provider Notice","0",
"44D","Religious Nonmedical (Hospital) Other (Part B) Hospice Election Void/Cancel","0",
"44E","Religious Nonmedical (Hospital) Other (Part B) Hospice Change of Ownership","0",
"44F","Religious Nonmedical (Hospital) Other (Part B) Beneficiary Initiated Adjustment Claim","0",
"44G","Religious Nonmedical (Hospital) Other (Part B) CWF Initiated Adjustment Claim","0",
"44H","Religious Nonmedical (Hospital) Other (Part B) CMS Initiated Adjustment Claim","0",
"44I","Religious Nonmedical (Hospital) Other (Part B) FI Adjustment Claim (Other than QIO or Provider)","0",
"44J","Religious Nonmedical (Hospital) Other (Part B) Initiated Adjustment Claim/Other","0",
"44K","Religious Nonmedical (Hospital) Other (Part B) OIG Initiated Adjustment Claim","0",
"44M","Religious Nonmedical (Hospital) Other (Part B) MSP Initiated Adjustment Claim","0",
"44O","Religious Nonmedical (Hospital) Other (Part B) Nonpayment/Zero Claims","0",
"44P","Religious Nonmedical (Hospital) Other (Part B) QIO Adjustment Claim","0",
"44Q","Religious Nonmedical (Hospital) Other (Part B) Reopening/Adjustment","0",
"44X","Religious Nonmedical (Hospital) Other (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","0",
"44Y","Religious Nonmedical (Hospital) Other (Part B) Replacement of Prior Abbreviated Encounter Submission","0",
"44Z","Religious Nonmedical (Hospital) Other (Part B) New Abbreviated Encounter Submission","0",
"450","Religious Nonmedical (Hospital) Intermediate Care - Level I Non-payment/Zero Claim","0",
"451","Religious Nonmedical (Hospital) Intermediate Care - Level I Admit Through Discharge","0",
"452","Religious Nonmedical (Hospital) Intermediate Care - Level I Interim - First Claim","0",
"453","Religious Nonmedical (Hospital) Intermediate Care - Level I Interim-Continuing Claims","0",
"454","Religious Nonmedical (Hospital) Intermediate Care - Level I Interim - Last Claim","0",
"455","Religious Nonmedical (Hospital) Intermediate Care - Level I Late Charge Only","0",
"457","Religious Nonmedical (Hospital) Intermediate Care - Level I Replacement of Prior Claim","0",
"458","Religious Nonmedical (Hospital) Intermediate Care - Level I Void/Cancel of Prior Claim","0",
"459","Religious Nonmedical (Hospital) Intermediate Care - Level I Final claim for a Home Health PPS Period","0",
"45A","Religious Nonmedical (Hospital) Intermediate Care - Level I Admission/Election Notice for Hospice","0",
"45B","Religious Nonmedical (Hospital) Intermediate Care - Level I Hospice Termination/ Revocation Notice","0",
"45C","Religious Nonmedical (Hospital) Intermediate Care - Level I Hospice Change of Provider Notice","0",
"45D","Religious Nonmedical (Hospital) Intermediate Care - Level I Hospice Election Void/Cancel","0",
"45E","Religious Nonmedical (Hospital) Intermediate Care - Level I Hospice Change of Ownership","0",
"45F","Religious Nonmedical (Hospital) Intermediate Care - Level I Beneficiary Initiated Adjustment Claim","0",
"45G","Religious Nonmedical (Hospital) Intermediate Care - Level I CWF Initiated Adjustment Claim","0",
"45H","Religious Nonmedical (Hospital) Intermediate Care - Level I CMS Initiated Adjustment Claim","0",
"45I","Religious Nonmedical (Hospital) Intermediate Care - Level I FI Adjustment Claim (Other than QIO or Provider)","0",
"45J","Religious Nonmedical (Hospital) Intermediate Care - Level I Initiated Adjustment Claim/Other","0",
"45K","Religious Nonmedical (Hospital) Intermediate Care - Level I OIG Initiated Adjustment Claim","0",
"45M","Religious Nonmedical (Hospital) Intermediate Care - Level I MSP Initiated Adjustment Claim","0",
"45O","Religious Nonmedical (Hospital) Intermediate Care - Level I Nonpayment/Zero Claims","0",
"45P","Religious Nonmedical (Hospital) Intermediate Care - Level I QIO Adjustment Claim","0",
"45Q","Religious Nonmedical (Hospital) Intermediate Care - Level I Reopening/Adjustment","0",
"45X","Religious Nonmedical (Hospital) Intermediate Care - Level I Void/Cancel a Prior Abbreviated Encounter Submission","0",
"45Y","Religious Nonmedical (Hospital) Intermediate Care - Level I Replacement of Prior Abbreviated Encounter Submission","0",
"45Z","Religious Nonmedical (Hospital) Intermediate Care - Level I New Abbreviated Encounter Submission","0",
"460","Religious Nonmedical (Hospital) Intermediate Care - Level II Non-payment/Zero Claim","0",
"461","Religious Nonmedical (Hospital) Intermediate Care - Level II Admit Through Discharge","0",
"462","Religious Nonmedical (Hospital) Intermediate Care - Level II Interim - First Claim","0",
"463","Religious Nonmedical (Hospital) Intermediate Care - Level II Interim-Continuing Claims","0",
"464","Religious Nonmedical (Hospital) Intermediate Care - Level II Interim - Last Claim","0",
"465","Religious Nonmedical (Hospital) Intermediate Care - Level II Late Charge Only","0",
"467","Religious Nonmedical (Hospital) Intermediate Care - Level II Replacement of Prior Claim","0",
"468","Religious Nonmedical (Hospital) Intermediate Care - Level II Void/Cancel of Prior Claim","0",
"469","Religious Nonmedical (Hospital) Intermediate Care - Level II Final claim for a Home Health PPS Period","0",
"46A","Religious Nonmedical (Hospital) Intermediate Care - Level II Admission/Election Notice for Hospice","0",
"46B","Religious Nonmedical (Hospital) Intermediate Care - Level II Hospice Termination/ Revocation Notice","0",
"46C","Religious Nonmedical (Hospital) Intermediate Care - Level II Hospice Change of Provider Notice","0",
"46D","Religious Nonmedical (Hospital) Intermediate Care - Level II Hospice Election Void/Cancel","0",
"46E","Religious Nonmedical (Hospital) Intermediate Care - Level II Hospice Change of Ownership","0",
"46F","Religious Nonmedical (Hospital) Intermediate Care - Level II Beneficiary Initiated Adjustment Claim","0",
"46G","Religious Nonmedical (Hospital) Intermediate Care - Level II CWF Initiated Adjustment Claim","0",
"46H","Religious Nonmedical (Hospital) Intermediate Care - Level II CMS Initiated Adjustment Claim","0",
"46I","Religious Nonmedical (Hospital) Intermediate Care - Level II FI Adjustment Claim (Other than QIO or Provider)","0",
"46J","Religious Nonmedical (Hospital) Intermediate Care - Level II Initiated Adjustment Claim/Other","0",
"46K","Religious Nonmedical (Hospital) Intermediate Care - Level II OIG Initiated Adjustment Claim","0",
"46M","Religious Nonmedical (Hospital) Intermediate Care - Level II MSP Initiated Adjustment Claim","0",
"46O","Religious Nonmedical (Hospital) Intermediate Care - Level II Nonpayment/Zero Claims","0",
"46P","Religious Nonmedical (Hospital) Intermediate Care - Level II QIO Adjustment Claim","0",
"46Q","Religious Nonmedical (Hospital) Intermediate Care - Level II Reopening/Adjustment","0",
"46X","Religious Nonmedical (Hospital) Intermediate Care - Level II Void/Cancel a Prior Abbreviated Encounter Submission","0",
"46Y","Religious Nonmedical (Hospital) Intermediate Care - Level II Replacement of Prior Abbreviated Encounter Submission","0",
"46Z","Religious Nonmedical (Hospital) Intermediate Care - Level II New Abbreviated Encounter Submission","0",
"470","Religious Nonmedical (Hospital) Subacute Inpatient Non-payment/Zero Claim","0",
"471","Religious Nonmedical (Hospital) Subacute Inpatient Admit Through Discharge","0",
"472","Religious Nonmedical (Hospital) Subacute Inpatient Interim - First Claim","0",
"473","Religious Nonmedical (Hospital) Subacute Inpatient Interim-Continuing Claims","0",
"474","Religious Nonmedical (Hospital) Subacute Inpatient Interim - Last Claim","0",
"475","Religious Nonmedical (Hospital) Subacute Inpatient Late Charge Only","0",
"477","Religious Nonmedical (Hospital) Subacute Inpatient Replacement of Prior Claim","0",
"478","Religious Nonmedical (Hospital) Subacute Inpatient Void/Cancel of Prior Claim","0",
"479","Religious Nonmedical (Hospital) Subacute Inpatient Final claim for a Home Health PPS Period","0",
"47A","Religious Nonmedical (Hospital) Subacute Inpatient Admission/Election Notice for Hospice","0",
"47B","Religious Nonmedical (Hospital) Subacute Inpatient Hospice Termination/ Revocation Notice","0",
"47C","Religious Nonmedical (Hospital) Subacute Inpatient Hospice Change of Provider Notice","0",
"47D","Religious Nonmedical (Hospital) Subacute Inpatient Hospice Election Void/Cancel","0",
"47E","Religious Nonmedical (Hospital) Subacute Inpatient Hospice Change of Ownership","0",
"47F","Religious Nonmedical (Hospital) Subacute Inpatient Beneficiary Initiated Adjustment Claim","0",
"47G","Religious Nonmedical (Hospital) Subacute Inpatient CWF Initiated Adjustment Claim","0",
"47H","Religious Nonmedical (Hospital) Subacute Inpatient CMS Initiated Adjustment Claim","0",
"47I","Religious Nonmedical (Hospital) Subacute Inpatient FI Adjustment Claim (Other than QIO or Provider)","0",
"47J","Religious Nonmedical (Hospital) Subacute Inpatient Initiated Adjustment Claim/Other","0",
"47K","Religious Nonmedical (Hospital) Subacute Inpatient OIG Initiated Adjustment Claim","0",
"47M","Religious Nonmedical (Hospital) Subacute Inpatient MSP Initiated Adjustment Claim","0",
"47O","Religious Nonmedical (Hospital) Subacute Inpatient Nonpayment/Zero Claims","0",
"47P","Religious Nonmedical (Hospital) Subacute Inpatient QIO Adjustment Claim","0",
"47Q","Religious Nonmedical (Hospital) Subacute Inpatient Reopening/Adjustment","0",
"47X","Religious Nonmedical (Hospital) Subacute Inpatient Void/Cancel a Prior Abbreviated Encounter Submission","0",
"47Y","Religious Nonmedical (Hospital) Subacute Inpatient Replacement of Prior Abbreviated Encounter Submission","0",
"47Z","Religious Nonmedical (Hospital) Subacute Inpatient New Abbreviated Encounter Submission","0",
"480","Religious Nonmedical (Hospital) Swing BedsNon-payment/Zero Claim","0",
"481","Religious Nonmedical (Hospital) Swing BedsAdmit Through Discharge","0",
"482","Religious Nonmedical (Hospital) Swing BedsInterim - First Claim","0",
"483","Religious Nonmedical (Hospital) Swing BedsInterim-Continuing Claims","0",
"484","Religious Nonmedical (Hospital) Swing BedsInterim - Last Claim","0",
"485","Religious Nonmedical (Hospital) Swing BedsLate Charge Only","0",
"487","Religious Nonmedical (Hospital) Swing BedsReplacement of Prior Claim","0",
"488","Religious Nonmedical (Hospital) Swing BedsVoid/Cancel of Prior Claim","0",
"489","Religious Nonmedical (Hospital) Swing BedsFinal claim for a Home Health PPS Period","0",
"48A","Religious Nonmedical (Hospital) Swing BedsAdmission/Election Notice for Hospice","0",
"48B","Religious Nonmedical (Hospital) Swing BedsHospice Termination/ Revocation Notice","0",
"48C","Religious Nonmedical (Hospital) Swing BedsHospice Change of Provider Notice","0",
"48D","Religious Nonmedical (Hospital) Swing BedsHospice Election Void/Cancel","0",
"48E","Religious Nonmedical (Hospital) Swing BedsHospice Change of Ownership","0",
"48F","Religious Nonmedical (Hospital) Swing BedsBeneficiary Initiated Adjustment Claim","0",
"48G","Religious Nonmedical (Hospital) Swing BedsCWF Initiated Adjustment Claim","0",
"48H","Religious Nonmedical (Hospital) Swing BedsCMS Initiated Adjustment Claim","0",
"48I","Religious Nonmedical (Hospital) Swing BedsFI Adjustment Claim (Other than QIO or Provider)","0",
"48J","Religious Nonmedical (Hospital) Swing BedsInitiated Adjustment Claim/Other","0",
"48K","Religious Nonmedical (Hospital) Swing BedsOIG Initiated Adjustment Claim","0",
"48M","Religious Nonmedical (Hospital) Swing BedsMSP Initiated Adjustment Claim","0",
"48O","Religious Nonmedical (Hospital) Swing BedsNonpayment/Zero Claims","0",
"48P","Religious Nonmedical (Hospital) Swing BedsQIO Adjustment Claim","0",
"48Q","Religious Nonmedical (Hospital) Swing BedsReopening/Adjustment","0",
"48X","Religious Nonmedical (Hospital) Swing BedsVoid/Cancel a Prior Abbreviated Encounter Submission","0",
"48Y","Religious Nonmedical (Hospital) Swing BedsReplacement of Prior Abbreviated Encounter Submission","0",
"48Z","Religious Nonmedical (Hospital) Swing BedsNew Abbreviated Encounter Submission","0",
"510","Religious Nonmedical (Extended Care) Inpatient (Part A) Non-payment/Zero Claim","1","2005-10-01"
"511","Religious Nonmedical (Extended Care) Inpatient (Part A) Admit Through Discharge","1","2005-10-01"
"512","Religious Nonmedical (Extended Care) Inpatient (Part A) Interim - First Claim","1","2005-10-01"
"513","Religious Nonmedical (Extended Care) Inpatient (Part A) Interim-Continuing Claims","1","2005-10-01"
"514","Religious Nonmedical (Extended Care) Inpatient (Part A) Interim - Last Claim","1","2005-10-01"
"515","Religious Nonmedical (Extended Care) Inpatient (Part A) Late Charge Only","1","2005-10-01"
"517","Religious Nonmedical (Extended Care) Inpatient (Part A) Replacement of Prior Claim","1","2005-10-01"
"518","Religious Nonmedical (Extended Care) Inpatient (Part A) Void/Cancel of Prior Claim","1","2005-10-01"
"519","Religious Nonmedical (Extended Care) Inpatient (Part A) Final claim for a Home Health PPS Period","1","2005-10-01"
"51A","Religious Nonmedical (Extended Care) Inpatient (Part A) Admission/Election Notice for Hospice","1","2005-10-01"
"51B","Religious Nonmedical (Extended Care) Inpatient (Part A) Hospice Termination/ Revocation Notice","1","2005-10-01"
"51C","Religious Nonmedical (Extended Care) Inpatient (Part A) Hospice Change of Provider Notice","1","2005-10-01"
"51D","Religious Nonmedical (Extended Care) Inpatient (Part A) Hospice Election Void/Cancel","1","2005-10-01"
"51E","Religious Nonmedical (Extended Care) Inpatient (Part A) Hospice Change of Ownership","1","2005-10-01"
"51F","Religious Nonmedical (Extended Care) Inpatient (Part A) Beneficiary Initiated Adjustment Claim","1","2005-10-01"
"51G","Religious Nonmedical (Extended Care) Inpatient (Part A) CWF Initiated Adjustment Claim","1","2005-10-01"
"51H","Religious Nonmedical (Extended Care) Inpatient (Part A) CMS Initiated Adjustment Claim","1","2005-10-01"
"51I","Religious Nonmedical (Extended Care) Inpatient (Part A) FI Adjustment Claim (Other than QIO or Provider)","1","2005-10-01"
"51J","Religious Nonmedical (Extended Care) Inpatient (Part A) Initiated Adjustment Claim/Other","1","2005-10-01"
"51K","Religious Nonmedical (Extended Care) Inpatient (Part A) OIG Initiated Adjustment Claim","1","2005-10-01"
"51M","Religious Nonmedical (Extended Care) Inpatient (Part A) MSP Initiated Adjustment Claim","1","2005-10-01"
"51O","Religious Nonmedical (Extended Care) Inpatient (Part A) Nonpayment/Zero Claims","1","2005-10-01"
"51P","Religious Nonmedical (Extended Care) Inpatient (Part A) QIO Adjustment Claim","1","2005-10-01"
"51Q","Religious Nonmedical (Extended Care) Inpatient (Part A) Reopening/Adjustment","1","2005-10-01"
"51X","Religious Nonmedical (Extended Care) Inpatient (Part A) Void/Cancel a Prior Abbreviated Encounter Submission","1","2005-10-01"
"51Y","Religious Nonmedical (Extended Care) Inpatient (Part A) Replacement of Prior Abbreviated Encounter Submission","1","2005-10-01"
"51Z","Religious Nonmedical (Extended Care) Inpatient (Part A) New Abbreviated Encounter Submission","1","2005-10-01"
"520","Religious Nonmedical (Extended Care) Inpatient (Part B) Non-payment/Zero Claim","1","2005-10-01"
"521","Religious Nonmedical (Extended Care) Inpatient (Part B) Admit Through Discharge","1","2005-10-01"
"522","Religious Nonmedical (Extended Care) Inpatient (Part B) Interim - First Claim","1","2005-10-01"
"523","Religious Nonmedical (Extended Care) Inpatient (Part B) Interim-Continuing Claims","1","2005-10-01"
"524","Religious Nonmedical (Extended Care) Inpatient (Part B) Interim - Last Claim","1","2005-10-01"
"525","Religious Nonmedical (Extended Care) Inpatient (Part B) Late Charge Only","1","2005-10-01"
"527","Religious Nonmedical (Extended Care) Inpatient (Part B) Replacement of Prior Claim","1","2005-10-01"
"528","Religious Nonmedical (Extended Care) Inpatient (Part B) Void/Cancel of Prior Claim","1","2005-10-01"
"529","Religious Nonmedical (Extended Care) Inpatient (Part B) Final claim for a Home Health PPS Period","1","2005-10-01"
"52A","Religious Nonmedical (Extended Care) Inpatient (Part B) Admission/Election Notice for Hospice","1","2005-10-01"
"52B","Religious Nonmedical (Extended Care) Inpatient (Part B) Hospice Termination/ Revocation Notice","1","2005-10-01"
"52C","Religious Nonmedical (Extended Care) Inpatient (Part B) Hospice Change of Provider Notice","1","2005-10-01"
"52D","Religious Nonmedical (Extended Care) Inpatient (Part B) Hospice Election Void/Cancel","1","2005-10-01"
"52E","Religious Nonmedical (Extended Care) Inpatient (Part B) Hospice Change of Ownership","1","2005-10-01"
"52F","Religious Nonmedical (Extended Care) Inpatient (Part B) Beneficiary Initiated Adjustment Claim","1","2005-10-01"
"52G","Religious Nonmedical (Extended Care) Inpatient (Part B) CWF Initiated Adjustment Claim","1","2005-10-01"
"52H","Religious Nonmedical (Extended Care) Inpatient (Part B) CMS Initiated Adjustment Claim","1","2005-10-01"
"52I","Religious Nonmedical (Extended Care) Inpatient (Part B) FI Adjustment Claim (Other than QIO or Provider)","1","2005-10-01"
"52J","Religious Nonmedical (Extended Care) Inpatient (Part B) Initiated Adjustment Claim/Other","1","2005-10-01"
"52K","Religious Nonmedical (Extended Care) Inpatient (Part B) OIG Initiated Adjustment Claim","1","2005-10-01"
"52M","Religious Nonmedical (Extended Care) Inpatient (Part B) MSP Initiated Adjustment Claim","1","2005-10-01"
"52O","Religious Nonmedical (Extended Care) Inpatient (Part B) Nonpayment/Zero Claims","1","2005-10-01"
"52P","Religious Nonmedical (Extended Care) Inpatient (Part B) QIO Adjustment Claim","1","2005-10-01"
"52Q","Religious Nonmedical (Extended Care) Inpatient (Part B) Reopening/Adjustment","1","2005-10-01"
"52X","Religious Nonmedical (Extended Care) Inpatient (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","1","2005-10-01"
"52Y","Religious Nonmedical (Extended Care) Inpatient (Part B) Replacement of Prior Abbreviated Encounter Submission","1","2005-10-01"
"52Z","Religious Nonmedical (Extended Care) Inpatient (Part B) New Abbreviated Encounter Submission","1","2005-10-01"
"530","Religious Nonmedical (Extended Care) Outpatient Non-payment/Zero Claim","1","2005-10-01"
"531","Religious Nonmedical (Extended Care) Outpatient Admit Through Discharge","1","2005-10-01"
"532","Religious Nonmedical (Extended Care) Outpatient Interim - First Claim","1","2005-10-01"
"533","Religious Nonmedical (Extended Care) Outpatient Interim-Continuing Claims","1","2005-10-01"
"534","Religious Nonmedical (Extended Care) Outpatient Interim - Last Claim","1","2005-10-01"
"535","Religious Nonmedical (Extended Care) Outpatient Late Charge Only","1","2005-10-01"
"537","Religious Nonmedical (Extended Care) Outpatient Replacement of Prior Claim","1","2005-10-01"
"538","Religious Nonmedical (Extended Care) Outpatient Void/Cancel of Prior Claim","1","2005-10-01"
"539","Religious Nonmedical (Extended Care) Outpatient Final claim for a Home Health PPS Period","1","2005-10-01"
"53A","Religious Nonmedical (Extended Care) Outpatient Admission/Election Notice for Hospice","1","2005-10-01"
"53B","Religious Nonmedical (Extended Care) Outpatient Hospice Termination/ Revocation Notice","1","2005-10-01"
"53C","Religious Nonmedical (Extended Care) Outpatient Hospice Change of Provider Notice","1","2005-10-01"
"53D","Religious Nonmedical (Extended Care) Outpatient Hospice Election Void/Cancel","1","2005-10-01"
"53E","Religious Nonmedical (Extended Care) Outpatient Hospice Change of Ownership","1","2005-10-01"
"53F","Religious Nonmedical (Extended Care) Outpatient Beneficiary Initiated Adjustment Claim","1","2005-10-01"
"53G","Religious Nonmedical (Extended Care) Outpatient CWF Initiated Adjustment Claim","1","2005-10-01"
"53H","Religious Nonmedical (Extended Care) Outpatient CMS Initiated Adjustment Claim","1","2005-10-01"
"53I","Religious Nonmedical (Extended Care) Outpatient FI Adjustment Claim (Other than QIO or Provider)","1","2005-10-01"
"53J","Religious Nonmedical (Extended Care) Outpatient Initiated Adjustment Claim/Other","1","2005-10-01"
"53K","Religious Nonmedical (Extended Care) Outpatient OIG Initiated Adjustment Claim","1","2005-10-01"
"53M","Religious Nonmedical (Extended Care) Outpatient MSP Initiated Adjustment Claim","1","2005-10-01"
"53O","Religious Nonmedical (Extended Care) Outpatient Nonpayment/Zero Claims","1","2005-10-01"
"53P","Religious Nonmedical (Extended Care) Outpatient QIO Adjustment Claim","1","2005-10-01"
"53Q","Religious Nonmedical (Extended Care) Outpatient Reopening/Adjustment","1","2005-10-01"
"53X","Religious Nonmedical (Extended Care) Outpatient Void/Cancel a Prior Abbreviated Encounter Submission","1","2005-10-01"
"53Y","Religious Nonmedical (Extended Care) Outpatient Replacement of Prior Abbreviated Encounter Submission","1","2005-10-01"
"53Z","Religious Nonmedical (Extended Care) Outpatient New Abbreviated Encounter Submission","1","2005-10-01"
"540","Religious Nonmedical (Extended Care) Other (Part B) Non-payment/Zero Claim","1","2005-10-01"
"541","Religious Nonmedical (Extended Care) Other (Part B) Admit Through Discharge","1","2005-10-01"
"542","Religious Nonmedical (Extended Care) Other (Part B) Interim - First Claim","1","2005-10-01"
"543","Religious Nonmedical (Extended Care) Other (Part B) Interim-Continuing Claims","1","2005-10-01"
"544","Religious Nonmedical (Extended Care) Other (Part B) Interim - Last Claim","1","2005-10-01"
"545","Religious Nonmedical (Extended Care) Other (Part B) Late Charge Only","1","2005-10-01"
"547","Religious Nonmedical (Extended Care) Other (Part B) Replacement of Prior Claim","1","2005-10-01"
"548","Religious Nonmedical (Extended Care) Other (Part B) Void/Cancel of Prior Claim","1","2005-10-01"
"549","Religious Nonmedical (Extended Care) Other (Part B) Final claim for a Home Health PPS Period","1","2005-10-01"
"54A","Religious Nonmedical (Extended Care) Other (Part B) Admission/Election Notice for Hospice","1","2005-10-01"
"54B","Religious Nonmedical (Extended Care) Other (Part B) Hospice Termination/ Revocation Notice","1","2005-10-01"
"54C","Religious Nonmedical (Extended Care) Other (Part B) Hospice Change of Provider Notice","1","2005-10-01"
"54D","Religious Nonmedical (Extended Care) Other (Part B) Hospice Election Void/Cancel","1","2005-10-01"
"54E","Religious Nonmedical (Extended Care) Other (Part B) Hospice Change of Ownership","1","2005-10-01"
"54F","Religious Nonmedical (Extended Care) Other (Part B) Beneficiary Initiated Adjustment Claim","1","2005-10-01"
"54G","Religious Nonmedical (Extended Care) Other (Part B) CWF Initiated Adjustment Claim","1","2005-10-01"
"54H","Religious Nonmedical (Extended Care) Other (Part B) CMS Initiated Adjustment Claim","1","2005-10-01"
"54I","Religious Nonmedical (Extended Care) Other (Part B) FI Adjustment Claim (Other than QIO or Provider)","1","2005-10-01"
"54J","Religious Nonmedical (Extended Care) Other (Part B) Initiated Adjustment Claim/Other","1","2005-10-01"
"54K","Religious Nonmedical (Extended Care) Other (Part B) OIG Initiated Adjustment Claim","1","2005-10-01"
"54M","Religious Nonmedical (Extended Care) Other (Part B) MSP Initiated Adjustment Claim","1","2005-10-01"
"54O","Religious Nonmedical (Extended Care) Other (Part B) Nonpayment/Zero Claims","1","2005-10-01"
"54P","Religious Nonmedical (Extended Care) Other (Part B) QIO Adjustment Claim","1","2005-10-01"
"54Q","Religious Nonmedical (Extended Care) Other (Part B) Reopening/Adjustment","1","2005-10-01"
"54X","Religious Nonmedical (Extended Care) Other (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","1","2005-10-01"
"54Y","Religious Nonmedical (Extended Care) Other (Part B) Replacement of Prior Abbreviated Encounter Submission","1","2005-10-01"
"54Z","Religious Nonmedical (Extended Care) Other (Part B) New Abbreviated Encounter Submission","1","2005-10-01"
"550","Religious Nonmedical (Extended Care) Intermediate Care - Level I Non-payment/Zero Claim","1","2005-10-01"
"551","Religious Nonmedical (Extended Care) Intermediate Care - Level I Admit Through Discharge","1","2005-10-01"
"552","Religious Nonmedical (Extended Care) Intermediate Care - Level I Interim - First Claim","1","2005-10-01"
"553","Religious Nonmedical (Extended Care) Intermediate Care - Level I Interim-Continuing Claims","1","2005-10-01"
"554","Religious Nonmedical (Extended Care) Intermediate Care - Level I Interim - Last Claim","1","2005-10-01"
"555","Religious Nonmedical (Extended Care) Intermediate Care - Level I Late Charge Only","1","2005-10-01"
"557","Religious Nonmedical (Extended Care) Intermediate Care - Level I Replacement of Prior Claim","1","2005-10-01"
"558","Religious Nonmedical (Extended Care) Intermediate Care - Level I Void/Cancel of Prior Claim","1","2005-10-01"
"559","Religious Nonmedical (Extended Care) Intermediate Care - Level I Final claim for a Home Health PPS Period","1","2005-10-01"
"55A","Religious Nonmedical (Extended Care) Intermediate Care - Level I Admission/Election Notice for Hospice","1","2005-10-01"
"55B","Religious Nonmedical (Extended Care) Intermediate Care - Level I Hospice Termination/ Revocation Notice","1","2005-10-01"
"55C","Religious Nonmedical (Extended Care) Intermediate Care - Level I Hospice Change of Provider Notice","1","2005-10-01"
"55D","Religious Nonmedical (Extended Care) Intermediate Care - Level I Hospice Election Void/Cancel","1","2005-10-01"
"55E","Religious Nonmedical (Extended Care) Intermediate Care - Level I Hospice Change of Ownership","1","2005-10-01"
"55F","Religious Nonmedical (Extended Care) Intermediate Care - Level I Beneficiary Initiated Adjustment Claim","1","2005-10-01"
"55G","Religious Nonmedical (Extended Care) Intermediate Care - Level I CWF Initiated Adjustment Claim","1","2005-10-01"
"55H","Religious Nonmedical (Extended Care) Intermediate Care - Level I CMS Initiated Adjustment Claim","1","2005-10-01"
"55I","Religious Nonmedical (Extended Care) Intermediate Care - Level I FI Adjustment Claim (Other than QIO or Provider)","1","2005-10-01"
"55J","Religious Nonmedical (Extended Care) Intermediate Care - Level I Initiated Adjustment Claim/Other","1","2005-10-01"
"55K","Religious Nonmedical (Extended Care) Intermediate Care - Level I OIG Initiated Adjustment Claim","1","2005-10-01"
"55M","Religious Nonmedical (Extended Care) Intermediate Care - Level I MSP Initiated Adjustment Claim","1","2005-10-01"
"55O","Religious Nonmedical (Extended Care) Intermediate Care - Level I Nonpayment/Zero Claims","1","2005-10-01"
"55P","Religious Nonmedical (Extended Care) Intermediate Care - Level I QIO Adjustment Claim","1","2005-10-01"
"55Q","Religious Nonmedical (Extended Care) Intermediate Care - Level I Reopening/Adjustment","1","2005-10-01"
"55X","Religious Nonmedical (Extended Care) Intermediate Care - Level I Void/Cancel a Prior Abbreviated Encounter Submission","1","2005-10-01"
"55Y","Religious Nonmedical (Extended Care) Intermediate Care - Level I Replacement of Prior Abbreviated Encounter Submission","1","2005-10-01"
"55Z","Religious Nonmedical (Extended Care) Intermediate Care - Level I New Abbreviated Encounter Submission","1","2005-10-01"
"560","Religious Nonmedical (Extended Care) Intermediate Care - Level II Non-payment/Zero Claim","1","2005-10-01"
"561","Religious Nonmedical (Extended Care) Intermediate Care - Level II Admit Through Discharge","1","2005-10-01"
"562","Religious Nonmedical (Extended Care) Intermediate Care - Level II Interim - First Claim","1","2005-10-01"
