hcpcs,seqnum,recid,long_description,short_description
G9713,0010,3,Patients who use hospice services any time during the measurement period,Pt use hosp during msmt per
G9714,0010,3,Patient is using hospice services any time during the measurement period,Pt is w/hosp during msmt per
G9715,0010,3,Patients who use hospice services any time during the measurement period,Pt w/hosp anytime msmt per
G9716,0010,3,"Bmi is documented as being outside of normal parameters, follow-up plan is not completed for documented medical reason",Bmi doc onl fup not cmpltd
G9717,0010,3,Documentation stating the patient has had a diagnosis of depression or has had a diagnosis of  bipolar disorder,Doc pt dx dep/bipol
G9718,0010,3,Hospice services for patient provided any time during the measurement period,Hospice anytime msmt per
G9719,0010,3,"Patient is not ambulatory, bed ridden, immobile, confined to chair, wheelchair bound, dependent on helper pushing wheelchair, independent in wheelchair or minimal help in wheelchair",Pt not ambul/immob/wc
G9720,0010,3,Hospice services for patient occurred any time during the measurement period,Hospice anytime msmt per
G9721,0010,3,"Patient not ambulatory, bed ridden, immobile, confined to chair, wheelchair bound, dependent on helper pushing wheelchair, independent in wheelchair or minimal help in wheelchair",Pt not ambul/immob/wc
G9722,0010,3,"Documented history of renal failure or baseline serum creatinine >= 4.0 mg/dl; renal transplant recipients are not considered to have preoperative renal failure, unless, since transplantation the cr has been or is 4.0 or higher",Doc hx renal fail or cr+ >=4
G9723,0010,3,Hospice services for patient received any time during the measurement period,Hosp recd by pt dur msmt per
G9724,0010,3,Patients who had documentation of use of anticoagulant medications overlapping the measurement year,Pt w/doc use anticoag mst yr
G9725,0010,3,Patients who use hospice services any time during the measurement period,Pt w/hosp anytime msmt per
G9726,0010,3,Patient refused to participate,Refused to participate
G9727,0010,3,"Patient unable to complete the lepf prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unable cmplt lepf prom
G9728,0010,3,Patient refused to participate,Refused to participate
G9729,0010,3,"Patient unable to complete the lepf prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unbl cmplt lepf prom
G9730,0010,3,Patient refused to participate,Refused to participate
G9731,0010,3,"Patient unable to complete the lepf prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unbl cmplt lepf prom
G9732,0010,3,Patient refused to participate,Refused to participate
G9733,0010,3,"Patient unable to complete the low back fs prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unbl cmplt lb fs prom
G9734,0010,3,Patient refused to participate,Refused to participate
G9735,0010,3,"Patient unable to complete the shoulder fs prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unbl cmplt shld fs prom
G9736,0010,3,Patient refused to participate,Refused to participate
G9737,0010,3,"Patient unable to complete the elbow/wrist/hand fs prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unbl cmplt ewh fs prom
G9738,0010,3,Patient refused to participate,Refused to participate
G9739,0010,3,"Patient unable to complete the general orthopedic fs prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unbl cmplt go fs prom
G9740,0010,3,Hospice services given to patient any time during the measurement period,Hosp srv to pt dur msmt per
G9741,0010,3,Patients who use hospice services any time during the measurement period,Pt w/hosp anytime msmt per
G9742,0010,3,Psychiatric symptoms assessed,Psych sympt assessed
G9743,0010,3,"Psychiatric symptoms not assessed, reason not otherwise specified","Psych symp not assessed, rns"
G9744,0010,3,Patient not eligible due to active diagnosis of hypertension,Pt not eli d/t act dig htn
G9745,0010,3,Documented reason for not screening or recommending a follow-up for high blood pressure,Doc rsn no hbp scrn or f/u
G9746,0010,3,"Patient has mitral stenosis or prosthetic heart valves or patient has transient or reversible cause of af (e.g., pneumonia, hyperthyroidism, pregnancy, cardiac surgery)","Mit sten, valve or trans af"
G9747,0010,3,Patient is undergoing palliative dialysis with a catheter,Pall dialysis with catheter
G9748,0010,3,Patient approved by a qualified transplant program and scheduled to receive a living donor kidney transplant,App transpl lvg kidney donor
G9749,0010,3,Patient is undergoing palliative dialysis with a catheter,Pall dialysis with catheter
G9750,0010,3,Patient approved by a qualified transplant program and scheduled to receive a living donor kidney transplant,App transpl lvg kidney donor
G9751,0010,3,Patient died at any time during the 24-month measurement period,Pt died w/in 24 mos rpt time
G9752,0010,3,Emergency surgery,Urgent surgery
G9753,0010,3,"Documentation of medical reason for not conducting a search for dicom format images for prior patient ct imaging studies completed at non-affiliated external healthcare facilities or entities within the past 12 months that are available through a secure, authorized, media-free, shared archive (e.g., trauma, acute myocardial infarction, stroke, aortic aneurysm where time is of the essence)","Doc no dicom, ct other fac"
G9754,0010,3,A finding of an incidental pulmonary nodule,Incid pulm nodule
G9755,0010,3,"Documentation of medical reason(s) for not including a recommended interval and modality for follow-up or for no follow-up, and source of recommendations (e.g., patients with unexplained fever, immunocompromised patients who are at risk for infection)",Doc med rsn no fllw up
G9756,0010,3,Surgical procedures that included the use of silicone oil,Surg proc w/silicone oil
G9757,0010,3,Surgical procedures that included the use of silicone oil,Surg proc w/silicone oil
G9758,0010,3,Patient in hospice at any time during the measurement period,Pt in hos
G9759,0010,3,History of preoperative posterior capsule rupture,Hx preop post cap rup
G9760,0010,3,Patients who use hospice services any time during the measurement period,Pt w/hosp anytime msmt per
G9761,0010,3,Patients who use hospice services any time during the measurement period,Pt w/hosp anytime msmt per
G9762,0010,3,Patient had at least two hpv vaccines (with at least 146 days between the two) or three hpv vaccines on or between the patient's 9th and 13th birthdays,Pt had >= 2-3 hpv vaccines
G9763,0010,3,Patient did not have at least two hpv vaccines (with at least 146 days between the two) or three hpv vaccines on or between the patient's 9th and 13th birthdays,Pt not have 2-3 hpv vaccines
G9764,0010,3,Patient has been treated with a systemic medication for psoriasis vulgaris,Pt treatd w/oral syst or bio
G9765,0010,3,"Documentation that the patient declined change in medication or alternative therapies were unavailable, has documented contraindications, or has not been treated with a systemic medication for at least six consecutive months (e.g., experienced adverse effects or lack of efficacy with all other therapy options) in order to achieve better disease control as measured by pga, bsa, pasi, or dlqi",Doc pat declined therapy
G9766,0010,3,Patients who are transferred from one institution to another with a known diagnosis of cva for endovascular stroke treatment,Cva stroke dx tx transf fac
G9767,0010,3,Hospitalized patients with newly diagnosed cva considered for endovascular stroke treatment,Hosp new dx cva consid evst
G9768,0010,3,Patients who utilize hospice services any time during the measurement period,Pt w/hosp anytime msmt per
G9769,0010,3,Patient had a bone mineral density test in the past two years or received osteoporosis medication or therapy in the past 12 months,Bn den 2yr/got ost med/ther
G9770,0010,3,Peripheral nerve block (pnb),Perip nerve block
G9771,0010,3,At least 1 body temperature measurement equal to or greater than 35.5 degrees celsius (or 95.9 degrees fahrenheit) achieved within the 30 minutes immediately before or the 15 minutes immediately after anesthesia end time,"Anes end, 1 temp >35.5(95.9)"
G9772,0010,3,"Documentation of medical reason(s) for not achieving at least 1 body temperature measurement equal to or greater than 35.5 degrees celsius (or 95.9 degrees fahrenheit) within the 30 minutes immediately before or the 15 minutes immediately after anesthesia end time (e.g., emergency cases, intentional hypothermia, etc.)",Doc med rsn no temp >= 35.5
G9773,0010,3,"At least 1 body temperature measurement equal to or greater than 35.5 degrees celsius (or 95.9 degrees fahrenheit) not achieved within the 30 minutes immediately before or the 15 minutes immediately after anesthesia end time, reason not given",1 bod temp >=35.5
G9774,0010,3,Patients who have had a hysterectomy,Pt had hyst
G9775,0010,3,Patient received at least 2 prophylactic pharmacologic anti-emetic agents of different classes preoperatively and/or intraoperatively,Recd 2 anti-emet pre/intraop
G9776,0010,3,"Documentation of medical reason for not receiving at least 2 prophylactic pharmacologic anti-emetic agents of different classes preoperatively and/or intraoperatively  (e.g., intolerance or other medical reason)",Doc med rsn no proph antiem
G9777,0010,3,Patient did not receive at least 2 prophylactic pharmacologic anti-emetic agents of different classes preoperatively and/or intraoperatively,Pt no antiemet pre/intraop
G9778,0010,3,Patients who have a diagnosis of pregnancy at any time during the measurement period,Pts dx w/pregn
G9779,0010,3,Patients who are breastfeeding at any time during the measurement period,Pts breastfeeding
G9780,0010,3,Patients who have a diagnosis of rhabdomyolysis at any time during the measurement period,Pts dx w/rhabdomyolysis
G9781,0010,3,"Documentation of medical reason(s) for not currently being a statin therapy user or receiving an order (prescription) for statin therapy (e.g., patients with statin-associated muscle symptoms or an allergy to statin medication therapy, patients who are receiving palliative or hospice care, patients with active liver disease or hepatic disease or insufficiency, and patients with end stage renal disease [esrd])",Doc rsn no statin
G9782,0010,3,History of or active diagnosis of familial hypercholesterolemia,Hx dx fam/pure hypercholes
G9783,0010,3,Documentation of patients with diabetes who have a most recent fasting or direct ldl- c laboratory test result < 70 mg/dl and are not taking statin therapy,"Doc dx dm, fast <70, no stat"
G9784,0010,3,Pathologists/dermatopathologists providing a second opinion on a biopsy,Path/derm prov 2nd biop opin
G9785,0010,3,"Pathology report diagnosing cutaneous basal cell carcinoma, squamous cell carcinoma, or melanoma (to include in situ disease) sent from the pathologist/ dermatopathologist to the biopsying clinician for review within 7 days from the time when the tissue specimen was received by the pathologist",Path report sent
G9786,0010,3,"Pathology report diagnosing cutaneous basal cell carcinoma, squamous cell carcinoma, or melanoma (to include in situ disease) was not sent from the pathologist/ dermatopathologist to the biopsying clinician for review within 7 days from the time when the tissue specimen was received by the pathologist",Path report not sent
G9787,0010,3,Patient alive as of the last day of the measurement year,Pt alive
G9788,0010,3,Most recent bp is less than or equal to 140/90 mm hg,Most rct bp </= 140/90
G9789,0010,3,"Blood pressure recorded during inpatient stays, emergency room visits, urgent care visits, and patient self-reported bp's (home and health fair bp results)","Record bp ip, er, urg/self"
G9790,0010,3,"Most recent bp is greater than 140/90 mm hg, or blood pressure not documented",Most rct bp >/= 140/90
G9791,0010,3,Most recent tobacco status is tobacco free,Most rct tob stat free
G9792,0010,3,Most recent tobacco status is not tobacco free,Most rct tob stat not free
G9793,0010,3,Patient is currently on a daily aspirin or other antiplatelet,Pt on daily asa/antiplat
G9794,0010,3,"Documentation of medical reason(s) for not on a daily aspirin or other antiplatelet (e.g., history of gastrointestinal bleed, intra-cranial bleed, idiopathic thrombocytopenic purpura (itp), gastric bypass or documentation of active anticoagulant use during the measurement period)",Doc med rsn no daily aspirin
G9795,0010,3,Patient is not currently on a daily aspirin or other antiplatelet,Pt no daily asa/antiplat
G9796,0010,3,Patient is currently on a statin therapy,Pt not currently on statin
G9797,0010,3,Patient is not on a statin therapy,Pt currently on statin
G9798,0010,3,Discharge(s) for ami between july 1 of the year prior measurement period to june 30 of the measurement period,D/c ami btw 7/1-6/30 meas pd
G9799,0010,3,Patients with a medication dispensing event indicator of a history of asthma any time during the patient's history through the end of the measure period,Med disp evt indic hx asth
G9800,0010,3,Patients who are identified as having an intolerance or allergy to beta-blocker therapy,Pt id intol/alleg beta-block
G9801,0010,3,Hospitalizations in which the patient was transferred directly to a non-acute care facility for any diagnosis,Nonacut transf from inpt
G9802,0010,3,Patients who use hospice services any time during the measurement period,Pt w/hosp anytime msmt per
G9803,0010,3,Patient prescribed at least a 135 day treatment within the 180-day measurement interval with beta-blockers post-discharge for ami,Pt presc 135 day trmt
G9804,0010,3,Patient was not prescribed at least a 135 day treatment within the 180-day measurement interval with beta-blockers post-discharge for ami,Pt not presc 135 day trmt
G9805,0010,3,Patients who use hospice services any time during the measurement period,Pt w/hosp anytime msmt per
G9806,0010,3,Patients who received cervical cytology or an hpv test,Pt recd cerv cyto/hpv
G9807,0010,3,Patients who did not receive cervical cytology or an hpv test,Pt no recd cerv cyto/hpv
G9808,0010,3,Any patients who had no asthma controller medications dispensed during the measurement year,Pt no asthm cont med mst per
G9809,0010,3,Patients who use hospice services any time during the measurement period,Pt w/hosp anytime msmt per
G9810,0010,3,Patient achieved a pdc of at least 75% for their asthma controller medication,Pdc 75% w/asth cont med
G9811,0010,3,Patient did not achieve a pdc of at least 75% for their asthma controller medication,No pdc 75% w/asth cont med
G9812,0010,3,"Patient died including all deaths occurring during the hospitalization in which the operation was performed, even if after 30 days, and those deaths occurring after discharge from the hospital, but within 30 days of the procedure",Pt died during inpt/30d aft
G9813,0010,3,Patient did not die within 30 days of the procedure or during the index hospitalization,Pt not died w/in 30d of proc
G9814,0010,3,Death occurring during the index acute care hospitalization,Death during index hosp
G9815,0010,3,Death did not occur during the index acute care hospitalization,Death not during index hosp
G9816,0010,3,Death occurring after discharge from the hospital but within 30 days post procedure,Death <30 day post discharge
G9817,0010,3,Death did not occur after discharge from the hospital within 30 days post procedure,No death 30-days post-disch
G9818,0010,3,Documentation of sexual activity,Doc sex activity
G9819,0010,3,Patients who use hospice services any time during the measurement period,Pt w/hosp anytime msmt per
G9820,0010,3,Documentation of a chlamydia screening test with proper follow-up,Doc chlam scr test w/follow
G9821,0010,3,No documentation of a chlamydia screening test with proper follow-up,No doc chlam scr ts w/follow
G9822,0010,3,Patients who had an endometrial ablation procedure during the 12 months prior to the index date (exclusive of the index date),Endo abl proc yr prev ind dt
G9823,0010,3,Endometrial sampling or hysteroscopy with biopsy and results documented during the 12 months prior to the index date (exclusive of the index date) of the endometrial ablation,Endo smpl/hyst bx res doc
G9824,0010,3,Endometrial sampling or hysteroscopy with biopsy and results not documented during the 12 months prior to the index date (exclusive of the index date) of the endometrial ablation,Endo smpl/hyst bx res no doc
G9825,0010,3,Her-2/neu negative or undocumented/unknown,"Her-2 neg,undoc/unkn"
G9826,0010,3,Patient transferred to practice after initiation of chemotherapy,Transf pract aft init chemo
G9827,0010,3,Her2-targeted therapies not administered during the initial course of treatment,Her-2 targ ther no init tx
G9828,0010,3,Her2-targeted therapies administered during the initial course of treatment,Her-2 targ ther dur init tx
G9829,0010,3,Breast adjuvant chemotherapy administered,Breast adj chemo admin
G9830,0010,3,Her-2/neu positive,Her-2 pos
G9831,0010,3,Ajcc stage at breast cancer diagnosis = ii or iii,Ajcc stg brt ca dx ii or iii
G9832,0010,3,"Ajcc stage at breast cancer diagnosis = i (ia or ib) and t-stage at breast cancer diagnosis does not equal = t1, t1a, t1b","Brt ca dx i, no t1/t1a/t1b"
G9833,0010,3,Patient transfer to practice after initiation of chemotherapy,Transf pract aft init chemo
G9834,0010,3,Patient has metastatic disease at diagnosis,Pt met dis at dx
G9835,0010,3,Trastuzumab administered within 12 months of diagnosis,Trastuz given w/in 12 mos dx
G9836,0010,3,"Reason for not administering trastuzumab documented (e.g. patient declined, patient died, patient transferred, contraindication or other clinical exclusion, neoadjuvant chemotherapy or radiation not complete)",Rsn no trast given doc
G9837,0010,3,Trastuzumab not administered within 12 months of diagnosis,Trastuz not in 12 mos dx
G9838,0010,3,Patient has metastatic disease at diagnosis,Pt met dis at dx
G9839,0010,3,Anti-egfr monoclonal antibody therapy,Anti-egfr mon anti ther
G9840,0010,3,Ras (kras and nras) gene mutation testing performed before initiation of anti-egfr moab,Gene testing performed
G9841,0010,3,Ras (kras and nras) gene mutation testing not performed before initiation of anti-egfr moab,Gene testing not performed
G9842,0010,3,Patient has metastatic disease at diagnosis,Pt met dis at dx
G9843,0010,3,Ras (kras or nras) gene mutation,Kras or nras gene mutation
G9844,0010,3,Patient did not receive anti-egfr monoclonal antibody therapy,Pt no recd anti-egfr ther
G9845,0010,3,Patient received anti-egfr monoclonal antibody therapy,Pt recd anti-egfr ther
G9846,0010,3,Patients who died from cancer,Pt died from cancer
G9847,0010,3,Patient received chemotherapy in the last 14 days of life,Pt recd chemo last 14d life
G9848,0010,3,Patient did not receive chemotherapy in the last 14 days of life,Pt no chemo last 14d life
G9849,0010,3,Patients who died from cancer,Pt died from cancer
G9850,0010,3,Patient had more than one emergency department visit in the last 30 days of life,1/more ed last 30d life
G9851,0010,3,Patient had one or less emergency department visits in the last 30 days of life,1/no ed visit last 30d life
G9852,0010,3,Patients who died from cancer,Pt died from cancer
G9853,0010,3,Patient admitted to the icu in the last 30 days of life,Icu stay last 30d life
G9854,0010,3,Patient was not admitted to the icu in the last 30 days of life,No icu stay last 30d life
G9855,0010,3,Patients who died from cancer,Pt died from cancer
G9856,0010,3,Patient was not admitted to hospice,Pt no hospice
G9857,0010,3,Patient admitted to hospice,Pt admit hospice
G9858,0010,3,Patient enrolled in hospice,Pt enroll hospice
G9859,0010,3,Patients who died from cancer,Pt died from cancer
G9860,0010,3,Patient spent less than three days in hospice care,Pt less 3d hospice
G9861,0010,3,Patient spent greater than or equal to three days in hospice care,Pt more than 3d hospice
G9862,0010,3,"Documentation of medical reason(s) for not recommending at least a 10 year follow-up interval (e.g., inadequate prep, familial or personal history of colonic polyps, patient had no adenoma and age is = 66 years old, or life expectancy < 10 years old, other medical reasons)",Doc rsn no 10 yr follow
G9868,0010,3,"Receipt and analysis of remote, asynchronous images for dermatologic and/or ophthalmologic evaluation, for use only in a medicare-approved cmmi model, less than 10 minutes",Cmmi asyntelehealth <10min
G9869,0010,3,"Receipt and analysis of remote, asynchronous images for dermatologic and/or ophthalmologic evaluation, for use only in a medicare-approved cmmi model, 10-20 minutes",Cmmi asyntelehealth 10-20min
G9870,0010,3,"Receipt and analysis of remote, asynchronous images for dermatologic and/or ophthalmologic evaluation, for use only in a medicare-approved cmmi model, more than 20 minutes",Cmmi asyntelehealth >20min
G9873,0010,3,First medicare diabetes prevention program (mdpp) core session was attended by an mdpp beneficiary under the mdpp expanded model (em).  a core session is an mdpp service that: (1)  is furnished by an mdpp supplier during months 1 through 6 of the mdpp services period; (2)  is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for core sessions,1 em core session
G9874,0010,3,Four total medicare diabetes prevention program (mdpp) core sessions were attended by an mdpp beneficiary under the mdpp expanded model (em).  a core session is an mdpp service that: (1)  is furnished by an mdpp supplier during months 1 through 6 of the mdpp services period; (2)  is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for core sessions,4 em core sessions
G9875,0010,3,Nine total medicare diabetes prevention program (mdpp) core sessions were attended by an mdpp beneficiary under the mdpp expanded model (em).  a core session is an mdpp service that: (1)  is furnished by an mdpp supplier during months 1 through 6 of the mdpp services period; (2)  is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for core sessions,9 em core sessions
G9876,0010,3,"Two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 7-9 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 7 through 12 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.  the beneficiary did not achieve at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at a core maintenance session in months 7-9",2 em core ms mo 7-9 no wl
G9877,0010,3,"Two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 10-12 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 7 through 12 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.  the beneficiary did not achieve at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at a core maintenance session in months 10-12",2 em core ms mo 10-12 no wl
G9878,0010,3,"Two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 7-9 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 7 through 12 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.the beneficiary achieved at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at a core maintenance session in months 7-9",2 em core ms mo 7-9 wl
G9879,0010,3,"Two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 10-12 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 7 through 12 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions. the beneficiary achieved at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at a core maintenance session in months 10-12",2 em core ms mo 10-12 wl
G9880,0010,3,The mdpp beneficiary achieved at least 5% weight loss (wl) from his/her baseline weight in months 1-12 of the mdpp services period under the mdpp expanded model (em).  this is a one-time payment available when a beneficiary first achieves at least 5% weight loss from baseline as measured by an in-person weight measurement at a core session or core maintenance session,Em 5 percent wl
G9881,0010,3,"The mdpp beneficiary achieved at least 9% weight loss (wl) from his/her baseline weight in months 1-24 under the mdpp expanded model (em).  this is a one-time payment available when a beneficiary first achieves at least 9% weight loss from baseline as measured by an in-person weight measurement at a core session, core maintenance session, or ongoing maintenance session",Em 9 percent wl
G9882,0010,3,"Two medicare diabetes prevention program (mdpp) ongoing maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 13-15 under the mdpp expanded model (em).  an ongoing maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 13 through 24 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions. the beneficiary maintained at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at an ongoing maintenance session in months 13-15",2 em ongoing ms mo 13-15 wl
G9883,0010,3,"Two medicare diabetes prevention program (mdpp) ongoing maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 16-18 under the mdpp expanded model (em).  an ongoing maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 13 through 24 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.  the beneficiary maintained at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at an ongoing maintenance session in months 16-18",2 em ongoing ms mo 16-18 wl
G9884,0010,3,"Two medicare diabetes prevention program (mdpp) ongoing maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 19-21 under the mdpp expanded model (em).  an ongoing maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 13 through 24 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions. the beneficiary maintained at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at an ongoing maintenance session in months 19-21",2 em ongoing ms mo 19-21 wl
G9885,0010,3,"Two medicare diabetes prevention program (mdpp) ongoing maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 22-24 under the mdpp expanded model (em).  an ongoing maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 13 through 24 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.  the beneficiary maintained at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at an ongoing maintenance session in months 22-24",2 em ongoing ms mo 22-24 wl
G9890,0010,3,"Bridge payment: a one-time payment for the first medicare diabetes prevention program (mdpp) core session, core maintenance session, or ongoing maintenance session furnished by an mdpp supplier to an mdpp beneficiary during months 1-24 of the mdpp expanded model (em) who has previously received mdpp services from a different mdpp supplier under the mdpp expanded model.  a supplier may only receive one bridge payment per mdpp beneficiary",Em bridge payment
G9891,0010,3,Mdpp session reported as a line-item on a claim for a payable mdpp expanded model (em)  hcpcs code for a session furnished by the billing supplier under the mdpp expanded model and counting toward achievement of the attendance performance goal for the payable mdpp expanded model hcpcs code (this code is for reporting purposes only),Em session reporting
G9892,0010,3,Documentation of patient reason(s) for not performing a dilated macular examination,Doc pt rsn no dil mac exam
G9893,0010,3,"Dilated macular exam was not performed, reason not otherwise specified",No mac exam
G9894,0010,3,Androgen deprivation therapy prescribed/administered in combination with external beam radiotherapy to the prostate,Adr dep thrpy prescribed
G9895,0010,3,"Documentation of medical reason(s) for not prescribing/administering androgen deprivation therapy in combination with external beam radiotherapy to the prostate (e.g., salvage therapy)",Doc med rsn no adr dep thrpy
G9896,0010,3,Documentation of patient reason(s) for not prescribing/administering androgen deprivation therapy in combination with external beam radiotherapy to the prostate,Doc pt rsn no adr dep thrpy
G9897,0010,3,"Patients who were not prescribed/administered androgen deprivation therapy in combination with external beam radiotherapy to the prostate, reason not given",Pt nt prsc adr dep thrpy rng
G9898,0010,3,"Patients age 66 or older in institutional special needs plans (snp) or residing in long-term care with pos code 32, 33, 34, 54, or 56 for more than 90 consecutive days during the measurement period",Pt 66+ snp or ltc pos > 90d
G9899,0010,3,"Screening, diagnostic, film, digital or digital breast tomosynthesis (3d) mammography results documented and reviewed",Scrn mam perf rslts doc
G9900,0010,3,"Screening, diagnostic, film, digital or digital breast tomosynthesis (3d) mammography results were not documented and reviewed, reason not otherwise specified",Scrn mam perf rslts not doc
G9901,0010,3,"Patient age 66 or older in institutional special needs plans (snp) or residing in long-term care with pos code 32, 33, 34, 54, or 56 for more than 90 consecutive days during the measurement period",Pt 66+ snp or ltc pos > 90d
G9902,0010,3,Patient screened for tobacco use and identified as a tobacco user,Pt scrn tbco and id as user
G9903,0010,3,Patient screened for tobacco use and identified as a tobacco non-user,Pt scrn tbco id as non user
G9904,0010,3,"Documentation of medical reason(s) for not screening for tobacco use (e.g., limited life expectancy, other medical reason)",Doc med rsn no tbco scrn
G9905,0010,3,"Patient not screened for tobacco use, reason not given",No pt tbco scrn rng
G9906,0010,3,Patient identified as a tobacco user received tobacco cessation intervention on the date of the encounter or within the previous 12 months (counseling and/or pharmacotherapy),Pt recv tbco cess interv
G9907,0010,3,"Documentation of medical reason(s) for not providing tobacco cessation intervention on the date of the encounter or within the previous 12 months (e.g., limited life expectancy, other medical reason)",Doc med rsn no tbco interv
G9908,0010,3,"Patient identified as tobacco user did not receive tobacco cessation intervention on the date of the encounter or within the previous 12 months (counseling and/or pharmacotherapy), reason not given",No pt tbco cess interv rng
G9909,0010,3,"Documentation of medical reason(s) for not  providing tobacco cessation intervention on the date of the encounter or within the previous 12 months if identified as a tobacco user (e.g., limited life expectancy, other medical reason)",Doc med rsn no tbco interv
G9910,0010,3,"Patients age 66 or older in institutional special needs plans (snp) or residing in long-term care with pos code 32, 33, 34, 54 or 56 for more than 90 consecutive days during the measurement period",Pt 66+ snp or ltc pos > 90d
G9911,0010,3,Clinically node negative (t1n0m0 or t2n0m0) invasive breast cancer before or after neoadjuvant  systemic therapy,Node neg pre/post syst ther
G9912,0010,3,Hepatitis b virus (hbv) status assessed and results interpreted prior to initiating anti-tnf (tumor necrosis factor) therapy,Hbv status assesed and int
G9913,0010,3,"Hepatitis b virus (hbv) status not assessed and results interpreted prior to initiating anti-tnf (tumor necrosis factor) therapy, reason not given",No hbv status assesd and int
G9914,0010,3,Patient receiving an anti-tnf agent,Pt receiving anti-tnf agent
G9915,0010,3,No record of hbv results documented,No documntd hbv results rcd
G9916,0010,3,Functional status  performed once in the last 12 months,Funct status past 12 months
G9917,0010,3,Documentation of advanced stage dementia and caregiver knowledge is limited,Adv dem crgvr limited
G9918,0010,3,"Functional status not performed, reason not otherwise specified","No funct stat perf, rsn nos"
G9919,0010,3,Screening performed and positive and provision of recommendations,Scrn nd pos nd prov of rec
G9920,0010,3,Screening performed and negative,Scrning perf and negative
G9921,0010,3,"No screening performed, partial screening performed or positive screen without recommendations and reason is not given or otherwise specified",No or part scrn nd rng or os
G9922,0010,3,Safety concerns screen provided and if positive then documented mitigation recommendations,Sfty cncrns scrn nd mit recs
G9923,0010,3,Safety concerns screen provided and negative,Safty cncrns scrn and neg
G9924,0010,3,"Documentation of medical reason(s) for not providing safety concerns screen or for not providing recommendations, orders or referrals for positive screen (e.g., patient in palliative care, other medical reason)",Doc med rsn no scrn or recs
G9925,0010,3,"Safety concerns screening not provided, reason not otherwise specified",No scrn prov rsn nos
