"icd_9_pcs","long_description","short_description"
5641,Partial ureterectomy,Partial ureterectomy
5642,Total ureterectomy,Total ureterectomy
5651,Formation of cutaneous uretero-ileostomy,Form cutan ileoureterost
5652,Revision of cutaneous uretero-ileostomy,Revis cutan ileoureteros
5661,Formation of other cutaneous ureterostomy,Form cutan ureterostomy
5662,Revision of other cutaneous ureterostomy,Revis cutan ureteros NEC
5671,Urinary diversion to intestine,Urin diversion to bowel
5672,Revision of ureterointestinal anastomosis,Revis ureteroenterostomy
5673,"Nephrocystanastomosis, not otherwise specified",Nephrocystanastomosi NOS
5674,Ureteroneocystostomy,Ureteroneocystostomy
5675,Transureteroureterostomy,Transureteroureterostomy
5679,Other anastomosis or bypass of ureter,Ureteral anastomosis NEC
5681,Lysis of intraluminal adhesions of ureter,Intralum urete adhesioly
5682,Suture of laceration of ureter,Suture ureteral lacerat
5683,Closure of ureterostomy,Ureterostomy closure
5684,Closure of other fistula of ureter,Close ureter fistula NEC
5685,Ureteropexy,Ureteropexy
5686,Removal of ligature from ureter,Remove ureteral ligature
5689,Other repair of ureter,Repair of ureter NEC
5691,Dilation of ureteral meatus,Ureteral meatus dilation
5692,Implantation of electronic ureteral stimulator,Implant ureteral stimul
5693,Replacement of electronic ureteral stimulator,Replace ureteral stimul
5694,Removal of electronic ureteral stimulator,Remove ureteral stimulat
5695,Ligation of ureter,Ligation of ureter
5699,Other operations on ureter,Ureteral operation NEC
570,Transurethral clearance of bladder,Tu bladder clearance
5711,Percutaneous aspiration of bladder,Percutan bladder aspirat
5712,Lysis of intraluminal adhesions with incision into bladder,Cystotomy & adhesiolysis
5717,Percutaneous cystostomy,Percutaneous cystostomy
5718,Other suprapubic cystostomy,Other suprapu cystostomy
5719,Other cystotomy,Cystotomy NEC
5721,Vesicostomy,Vesicostomy
5722,Revision or closure of vesicostomy,Revise clo vesicostomy
5731,Cystoscopy through artificial stoma,Cystoscopy thru stoma
5732,Other cystoscopy,Cystoscopy NEC
5733,Closed [transurethral] biopsy of bladder,Clos transureth bladd bx
5734,Open biopsy of bladder,Open bladder biopsy
5739,Other diagnostic procedures on bladder,Bladder diagnos proc NEC
5741,Transurethral lysis of intraluminal adhesions,Tu adhesiolysis bladder
5749,Other transurethral excision or destruction of lesion or tissue of bladder,Tu destruc bladd les NEC
5751,Excision of urachus,Excision of urachus
5759,Open excision or destruction of other lesion or tissue of bladder,Bladder les destruct NEC
576,Partial cystectomy,Partial cystectomy
5771,Radical cystectomy,Radical cystectomy
5779,Other total cystectomy,Total cystectomy NEC
5781,Suture of laceration of bladder,Suture bladder lacerat
5782,Closure of cystostomy,Cystostomy closure
5783,Repair of fistula involving bladder and intestine,Enterovesico fist repair
5784,Repair of other fistula of bladder,Vesic fistula repair NEC
5785,Cystourethroplasty and plastic repair of bladder neck,Cystourethroplasty
5786,Repair of bladder exstrophy,Bladder exstrophy repair
5787,Reconstruction of urinary bladder,Bladder reconstruction
5788,Other anastomosis of bladder,Bladder anastomosis NEC
5789,Other repair of bladder,Bladder repair NEC
5791,Sphincterotomy of bladder,Bladder sphincterotomy
5792,Dilation of bladder neck,Bladder neck dilation
5793,Control of (postoperative) hemorrhage of bladder,Control bladd hemorrhage
5794,Insertion of indwelling urinary catheter,Insert indwelling cath
5795,Replacement of indwelling urinary catheter,Replace indwelling cath
5796,Implantation of electronic bladder stimulator,Implant bladder stimulat
5797,Replacement of electronic bladder stimulator,Replace bladder stimulat
5798,Removal of electronic bladder stimulator,Remove bladder stimulat
5799,Other operations on bladder,Bladder operation NEC
580,Urethrotomy,Urethrotomy
581,Urethral meatotomy,Urethral meatotomy
5821,Perineal urethroscopy,Perineal urethroscopy
5822,Other urethroscopy,Urethroscopy NEC
5823,Biopsy of urethra,Urethral biopsy
5824,Biopsy of periurethral tissue,Periurethral biopsy
5829,Other diagnostic procedures on urethra and periurethral tissue,Urethral dx proc NEC
5831,Endoscopic excision or destruction of lesion or tissue of urethra,Endosc destr urethra les
5839,Other local excision or destruction of lesion or tissue of urethra,Other destru urethra les
5841,Suture of laceration of urethra,Suture urethral lacerat
5842,Closure of urethrostomy,Urethrostomy closure
5843,Closure of other fistula of urethra,Close ureth fistula NEC
5844,Reanastomosis of urethra,Urethral reanastomosis
5845,Repair of hypospadias or epispadias,Hypo-epispadius repair
5846,Other reconstruction of urethra,Ureth reconstruction NEC
5847,Urethral meatoplasty,Urethral meatoplasty
5849,Other repair of urethra,Urethral repair NEC
585,Release of urethral stricture,Ureth stricture release
586,Dilation of urethra,Urethral dilation
5891,Incision of periurethral tissue,Periurethral incision
5892,Excision of periurethral tissue,Periurethral excision
5893,Implantation of artificial urinary sphincter [AUS],Implt artf urin sphinct
5899,Other operations on urethra and periurethral tissue,Ureth/periureth op NEC
5900,"Retroperitoneal dissection, not otherwise specified",Retroperit dissect NOS
5902,Other lysis of perirenal or periureteral adhesions,Periren adhesiolys NEC
5903,Laparoscopic lysis of perirenal or periureteral adhesions,Lap lys periren/uret adh
5909,Other incision of perirenal or periureteral tissue,Periren/ureter incis NEC
5911,Other lysis of perivesical adhesions,Oth lys perives adhesio
5912,Laparoscopic lysis of perivesical adhesions,Lap lys perivesureth adh
5919,Other incision of perivesical tissue,Perivesical incision NEC
5921,Biopsy of perirenal or perivesical tissue,Periren/ureteral biopsy
5929,"Other diagnostic procedures on perirenal tissue, perivesical tissue, and retroperitoneum",Periren/uret dx proc NEC
593,Plication of urethrovesical junction,Urethroves junct plicat
594,Suprapubic sling operation,Suprapubic sling op
595,Retropubic urethral suspension,Retropubic ureth suspens
596,Paraurethral suspension,Paraurethral suspension
5971,Levator muscle operation for urethrovesical suspension,Levator musc suspension
5972,Injection of implant into urethra and/or bladder neck,Inject implant urethra
5979,Other repair of urinary stress incontinence,Urin incontin repair NEC
598,Ureteral catheterization,Ureteral catheterization
5991,Excision of perirenal or perivesical tissue,Periren/vesicle excision
5992,Other operations on perirenal or perivesical tissue,Periren/vesicle op NEC
5993,Replacement of ureterostomy tube,Replace ureterost tube
5994,Replacement of cystostomy tube,Replace cystostomy tube
5995,Ultrasonic fragmentation of urinary stones,Ultrason fragment-stone
5999,Other operations on urinary system,Urinary system op NEC
600,Incision of prostate,Incision of prostate
6011,Closed [percutaneous] [needle] biopsy of prostate,Closed prostatic biopsy
6012,Open biopsy of prostate,Open prostatic biopsy
6013,Closed [percutaneous] biopsy of seminal vesicles,Clos seminal vesicles bx
6014,Open biopsy of seminal vesicles,Open seminal vesicles bx
6015,Biopsy of periprostatic tissue,Periprostatic biopsy
6018,Other diagnostic procedures on prostate and periprostatic tissue,Prostatic dx proced NEC
6019,Other diagnostic procedures on seminal vesicles,Semin ves dx proced NEC
6021,Transurethral (ultrasound) guided laser induced prostatectomy (TULIP),Transureth prostatectomy
6029,Other transurethral prostatectomy,Oth transureth prostatec
603,Suprapubic prostatectomy,Suprapubic prostatectomy
604,Retropubic prostatectomy,Retropubic prostatectomy
605,Radical prostatectomy,Radical prostatectomy
6061,Local excision of lesion of prostate,Los excis prostatic les
6062,Perineal prostatectomy,Perineal prostatectomy
6069,Other prostatectomy,Prostatectomy NEC
6071,Percutaneous aspiration of seminal vesicle,Percut semin ves aspirat
6072,Incision of seminal vesicle,Seminal vesicle incision
6073,Excision of seminal vesicle,Seminal vesicle excision
6079,Other operations on seminal vesicles,Seminal vesicle op NEC
6081,Incision of periprostatic tissue,Periprostatic incision
6082,Excision of periprostatic tissue,Periprostatic excision
6091,Percutaneous aspiration of prostate,Percut prostatic aspirat
6092,Injection into prostate,Injection into prostate
6093,Repair of prostate,Repair of prostate
6094,Control of (postoperative) hemorrhage of prostate,Control prostate hemorr
6095,Transurethral balloon dilation of the prostatic urethra,Trans bal dil pros ureth
6096,Transurethral destruction of prostate tissue by microwave thermotherapy,Tu destr prostate by mt
6097,Other transurethral destruction of prostate tissue by other thermotherapy,Oth tu destr pros - rt
6099,Other operations on prostate,Prostatic operation NEC
610,Incision and drainage of scrotum and tunica vaginalis,Scrotum & tunica i & d
6111,Biopsy of scrotum or tunica vaginalis,Scrotum & tunica biopsy
6119,Other diagnostic procedures on scrotum and tunica vaginalis,Scrot/tunica dx proc NEC
612,Excision of hydrocele (of tunica vaginalis),Excision of hydrocele
613,Excision or destruction of lesion or tissue of scrotum,Scrotal les destruction
6141,Suture of laceration of scrotum and tunica vaginalis,Suture scrotal lacerat
6142,Repair of scrotal fistula,Scrotal fistula repair
6149,Other repair of scrotum and tunica vaginalis,Scrotum/tunic repair NEC
6191,Percutaneous aspiration of tunica vaginalis,Percut tunica aspiration
6192,Excision of lesion of tunica vaginalis other than hydrocele,Excision tunica les NEC
6199,Other operations on scrotum and tunica vaginalis,Scrotum & tunica op NEC
620,Incision of testis,Incision of testes
6211,Closed [percutaneous] [needle] biopsy of testis,Closed testicular biopsy
6212,Open biopsy of testis,Open testicular biopsy
6219,Other diagnostic procedures on testes,Testes dx procedure NEC
622,Excision or destruction of testicular lesion,Testicular les destruct
623,Unilateral orchiectomy,Unilateral orchiectomy
6241,Removal of both testes at same operative episode,Remove both testes
6242,Removal of remaining testis,Remove solitary testis
625,Orchiopexy,Orchiopexy
6261,Suture of laceration of testis,Suture testicular lacer
6269,Other repair of testis,Testicular repair NEC
627,Insertion of testicular prosthesis,Insert testicular prosth
6291,Aspiration of testis,Aspiration of testes
6292,Injection of therapeutic substance into testis,Injection into testes
6299,Other operations on testes,Testicular operation NEC
6301,"Biopsy of spermatic cord, epididymis, or vas deferens",Spermatic cord/vas biops
6309,"Other diagnostic procedures on spermatic cord, epididymis, and vas deferens",Spermat cord/vas dx NEC
631,Excision of varicocele and hydrocele of spermatic cord,Exc spermatic varicocele
632,Excision of cyst of epididymis,Excise epididymis cyst
633,Excision of other lesion or tissue of spermatic cord and epididymis,Excise cord/epid les NEC
634,Epididymectomy,Epididymectomy
6351,Suture of laceration of spermatic cord and epididymis,Suture cord & epid lacer
6352,Reduction of torsion of testis or spermatic cord,Reduction torsion testes
6353,Transplantation of spermatic cord,Transplant spermat cord
6359,Other repair of spermatic cord and epididymis,Cord & epidid repair NEC
636,Vasotomy,Vasotomy
6370,"Male sterilization procedure, not otherwise specified",Male sterilization NOS
6371,Ligation of vas deferens,Ligation of vas deferens
6372,Ligation of spermatic cord,Spermatic cord ligation
6373,Vasectomy,Vasectomy
6381,Suture of laceration of vas deferens and epididymis,Suture vas & epidid lac
6382,Reconstruction of surgically divided vas deferens,Postop vas reconstruct
6383,Epididymovasostomy,Epididymovasostomy
6384,Removal of ligature from vas deferens,Removal vas ligature
6385,Removal of valve from vas deferens,Remov vas deferens valve
6389,Other repair of vas deferens and epididymis,Vas & epididy repair NEC
6391,Aspiration of spermatocele,Spermatocele aspiration
6392,Epididymotomy,Epididymotomy
6393,Incision of spermatic cord,Spermatic cord incision
6394,Lysis of adhesions of spermatic cord,Sperm cord adhesiolysis
6395,Insertion of valve in vas deferens,Insert valve in vas def
6399,"Other operations on spermatic card, epididymis, and vas deferens",Cord/epid/vas ops NEC
640,Circumcision,Circumcision
6411,Biopsy of penis,Penile biopsy
6419,Other diagnostic procedures on penis,Penile diagnost proc NEC
642,Local excision or destruction of lesion of penis,Local excis penile les
643,Amputation of penis,Amputation of penis
6441,Suture of laceration of penis,Suture penile laceration
6442,Release of chordee,Release of chordee
6443,Construction of penis,Construction of penis
6444,Reconstruction of penis,Reconstruction of penis
6445,Replantation of penis,Replantation of penis
6449,Other repair of penis,Penile repair NEC
645,"Operations for sex transformation, not elsewhere classified",Sex transformat op NEC
6491,Dorsal or lateral slit of prepuce,Dorsal/lat slit prepuce
6492,Incision of penis,Incision of penis
6493,Division of penile adhesions,Division of penile adhes
6494,Fitting of external prosthesis of penis,Fit ext penile prosthes
6495,Insertion or replacement of non-inflatable penile prosthesis,Ins noninfl penis prosth
6496,Removal of internal prosthesis of penis,Remove int penile prosth
6497,Insertion or replacement of inflatable penile prosthesis,Ins inflate penis prosth
6498,Other operations on penis,Penile operation NEC
6499,Other operations on male genital organs,Male genital op NEC
6501,Laparoscopic oophorotomy,Laparoscopic oophorotomy
6509,Other oophorotomy,Other oophorotomy
6511,Aspiration biopsy of ovary,Ovarian aspirat biopsy
6512,Other biopsy of ovary,Ovarian biopsy NEC
6513,Laparoscopic biopsy of ovary,Lap biopsy of ovary
6514,Other laparoscopic diagnostic procedures on ovaries,Oth lap dx proc ovaries
6519,Other diagnostic procedures on ovaries,Ovarian dx procedure NEC
6521,Marsupialization of ovarian cyst,Ovarian cyst marsupializ
6522,Wedge resection of ovary,Ovarian wedge resection
6523,Laparoscopic marsupialization of ovarian cyst,Lap marsup ovarian cyst
6524,Laparoscopic wedge resection of ovary,Lap wedge resect ovary
6525,Other laparoscopic local excision or destruction of ovary,Oth lap loc exc dest ova
6529,Other local excision or destruction of ovary,Local destr ova les NEC
6531,Laparoscopic unilateral oophorectomy,Lap unilat oophorectomy
6539,Other unilateral oophorectomy,Oth unilat oophorectomy
6541,Laparoscopic unilateral salpingo-oophorectomy,Lap uni salpingo-oophor
6549,Other unilateral salpingo-oophorectomy,Oth uni salpingo-oophor
6551,Other removal of both ovaries at same operative episode,Oth remove both ovaries
6552,Other removal of remaining ovary,Oth remove remain ovary
6553,Laparoscopic removal of both ovaries at same operative episode,Lap remove both ovaries
6554,Laparoscopic removal of remaining ovary,Lap remove remain ovary
6561,Other removal of both ovaries and tubes at same operative episode,Oth remove ovaries/tubes
6562,Other removal of remaining ovary and tube,Oth remove rem ova/tube
6563,Laparoscopic removal of both ovaries and tubes at same operative episode,Lap remove ovaries/tubes
6564,Laparoscopic removal of remaining ovary and tube,Lap remove rem ova/tube
6571,Other simple suture of ovary,Oth simple suture ovary
6572,Other reimplantation of ovary,Oth reimplant of ovary
6573,Other salpingo-oophoroplasty,Oth salpingo-oophoroplas
6574,Laparoscopic simple suture of ovary,Lap simple suture ovary
6575,Laparoscopic reimplantation of ovary,Lap reimplant of ovary
6576,Laparoscopic salpingo-oophoroplasty,Lap salpingo-oophoroplas
6579,Other repair of ovary,Repair of ovary NEC
6581,Laparoscopic lysis of adhesions of ovary and fallopian tube,Lap adhesiolys ova/tube
6589,Other lysis of adhesions of ovary and fallopian tube,Adhesiolysis ovary/tube
6591,Aspiration of ovary,Aspiration of ovary
6592,Transplantation of ovary,Transplantation of ovary
6593,Manual rupture of ovarian cyst,Manual rupt ovarian cyst
6594,Ovarian denervation,Ovarian denervation
6595,Release of torsion of ovary,Ovarian torsion release
6599,Other operations on ovary,Ovarian operation NEC
6601,Salpingotomy,Salpingotomy
6602,Salpingostomy,Salpingostomy
6611,Biopsy of fallopian tube,Fallopian tube biopsy
6619,Other diagnostic procedures on fallopian tubes,Fallop tube dx proc NEC
6621,Bilateral endoscopic ligation and crushing of fallopian tubes,Bilat endosc crush tube
6622,Bilateral endoscopic ligation and division of fallopian tubes,Bilat endosc divis tube
6629,Other bilateral endoscopic destruction or occlusion of fallopian tubes,Bilat endos occ tube NEC
6631,Other bilateral ligation and crushing of fallopian tubes,Bilat tubal crushing NEC
6632,Other bilateral ligation and division of fallopian tubes,Bilat tubal division NEC
6639,Other bilateral destruction or occlusion of fallopian tubes,Bilat tubal destruct NEC
664,Total unilateral salpingectomy,Total unilat salpingect
6651,Removal of both fallopian tubes at same operative episode,Remove both fallop tubes
6652,Removal of remaining fallopian tube,Remove solitary fal tube
6661,Excision or destruction of lesion of fallopian tube,Destroy fallop tube les
6662,Salpingectomy with removal of tubal pregnancy,Remov tube & ectop preg
6663,"Bilateral partial salpingectomy, not otherwise specified",Bilat part salpingec NOS
6669,Other partial salpingectomy,Partial salpingectom NEC
6671,Simple suture of fallopian tube,Simpl suture fallop tube
6672,Salpingo-oophorostomy,Salpingo-oophorostomy
6673,Salpingo-salpingostomy,Salpingo-salpingostomy
6674,Salpingo-uterostomy,Salpingo-uterostomy
6679,Other repair of fallopian tube,Fallop tube repair NEC
668,Insufflation of fallopian tube,Fallopian tube insufflat
6691,Aspiration of fallopian tube,Fallopian tube aspirat
6692,Unilateral destruction or occlusion of fallopian tube,Unilat fallop tube destr
6693,Implantation or replacement of prosthesis of fallopian tube,Impl fallop tube prosth
6694,Removal of prosthesis of fallopian tube,Remov fallop tube prosth
6695,Insufflation of therapeutic agent into fallopian tubes,Blow therapeut into tube
6696,Dilation of fallopian tube,Fallopian tube dilation
6697,Burying of fimbriae in uterine wall,Bury fimbriae in uterus
6699,Other operations on fallopian tubes,Fallopian tube op NEC
670,Dilation of cervical canal,Cervical canal dilation
6711,Endocervical biopsy,Endocervical biopsy
6712,Other cervical biopsy,Cervical biopsy NEC
6719,Other diagnostic procedures on cervix,Cervical dx procedur NEC
672,Conization of cervix,Conization of cervix
6731,Marsupialization of cervical cyst,Cervical cyst marsupial
6732,Destruction of lesion of cervix by cauterization,Cervical les cauterizat
6733,Destruction of lesion of cervix by cryosurgery,Cervical les cryotherapy
6739,Other excision or destruction of lesion or tissue of cervix,Cervical les destruc NEC
674,Amputation of cervix,Amputation of cervix
6751,Transabdominal cerclage of cervix,Transab cerclage cervix
6759,Other repair of internal cervical os,Oth rep int cervical os
6761,Suture of laceration of cervix,Suture cervical lacerat
6762,Repair of fistula of cervix,Cervical fistula repair
6769,Other repair of cervix,Cervical repair NEC
680,Hysterotomy,Hysterotomy
6811,Digital examination of uterus,Digital exam of uterus
6812,Hysteroscopy,Hysteroscopy
6813,Open biopsy of uterus,Open uterine biopsy
6814,Open biopsy of uterine ligaments,Open uterine ligament bx
6815,Closed biopsy of uterine ligaments,Clos uterine ligament bx
6816,Closed biopsy of uterus,Closed uterine biopsy
6819,Other diagnostic procedures on uterus and supporting structures,Uterus/adnex dx proc NEC
6821,Division of endometrial synechiae,Endomet synechiae divis
6822,Incision or excision of congenital septum of uterus,Incision uterine septum
6823,Endometrial ablation,Endometrial ablation
6824,Uterine artery embolization [UAE] with coils,Uterine art emb w coils
6825,Uterine artery embolization [UAE] without coils,Uterine art emb w/o coil
6829,Other excision or destruction of lesion of uterus,Uterine les destruct NEC
6831,Laparoscopic supracervical hysterectomy [LSH],Lap scervic hysterectomy
6839,Other and unspecified subtotal abdominal hysterectomy,Subtotl abd hyst NEC/NOS
6841,Laparoscopic total abdominal hysterectomy,Lap total abdominal hyst
6849,Other and unspecified total abdominal hysterectomy,Total abd hyst NEC/NOS
6851,Laparoscopically assisted vaginal hysterectomy (LAVH),Lap ast vag hysterectomy
6859,Other and unspecified vaginal hysterectomy,Vag hysterectomy NEC/NOS
6861,Laparoscopic radical abdominal hysterectomy,Lap radical abdomnl hyst
6869,Other and unspecified radical abdominal hysterectomy,Radical abd hyst NEC/NOS
6871,Laparoscopic radical vaginal hysterectomy [LRVH],Lap radical vaginal hyst
6879,Other and unspecified radical vaginal hysterectomy,Radical vag hyst NEC/NOS
688,Pelvic evisceration,Pelvic evisceration
689,Other and unspecified hysterectomy,Hysterectomy NEC/NOS
6901,Dilation and curettage for termination of pregnancy,D & C for preg terminat
6902,Dilation and curettage following delivery or abortion,D & C post delivery
6909,Other dilation and curettage,D & C NEC
6919,Other excision or destruction of uterus and supporting structures,Destruc uter support NEC
6921,Interposition operation,Interposit op uterin lig
6922,Other uterine suspension,Uterine suspension NEC
6923,Vaginal repair of chronic inversion of uterus,Vag repair invers uterus
6929,Other repair of uterus and supporting structures,Uterus/adnexa repair NEC
693,Paracervical uterine denervation,Paracerv uterine denerv
6941,Suture of laceration of uterus,Suture uterine lacerat
6942,Closure of fistula of uterus,Closure uterine fistula
6949,Other repair of uterus,Uterine repair NEC
6951,Aspiration curettage of uterus for termination of pregnancy,Aspirat curet-preg termi
6952,Aspiration curettage following delivery or abortion,Aspirat curet-post deliv
6959,Other aspiration curettage of uterus,Aspir curett uterus NEC
696,Menstrual extraction or regulation,Menstrual extraction
697,Insertion of intrauterine contraceptive device,Insertion of iud
6991,Insertion of therapeutic device into uterus,Insert uterine device
6992,Artificial insemination,Artificial insemination
6993,Insertion of laminaria,Insertion of laminaria
6994,Manual replacement of inverted uterus,Man replace invert uter
6995,Incision of cervix,Incision of cervix
6996,Removal of cerclage material from cervix,Remove cervical cerclage
6997,Removal of other penetrating foreign body from cervix,Remove penetrat cerv FB
6998,Other operations on supporting structures of uterus,Uterine support op NEC
6999,Other operations on cervix and uterus,Uterine operation NEC
700,Culdocentesis,Culdocentesis
7011,Hymenotomy,Hymenotomy
7012,Culdotomy,Culdotomy
7013,Lysis of intraluminal adhesions of vagina,Intralum vag adhesiolys
7014,Other vaginotomy,Vaginotomy NEC
7021,Vaginoscopy,Vaginoscopy
7022,Culdoscopy,Culdoscopy
7023,Biopsy of cul-de-sac,Cul-de-sac biopsy
7024,Vaginal biopsy,Vaginal biopsy
7029,Other diagnostic procedures on vagina and cul-de-sac,Vagin/cul-de-sac dx NEC
7031,Hymenectomy,Hymenectomy
7032,Excision or destruction of lesion of cul-de-sac,Excis cul-de-sac lesion
7033,Excision or destruction of lesion of vagina,Excision vaginal lesion
704,Obliteration and total excision of vagina,Vaginal obliteration
7050,Repair of cystocele and rectocele,Cystocel/rectocel repair
7051,Repair of cystocele,Cystocele repair
7052,Repair of rectocele,Rectocele repair
7053,Repair of cystocele and rectocele with graft or prosthesis,Cysto & recto w grf/pros
7054,Repair of cystocele with graft or prosthesis,Rep cystocel w grft/pros
7055,Repair of rectocele with graft or prosthesis,Rep rectocele w grf/pros
7061,Vaginal construction,Vaginal construction
7062,Vaginal reconstruction,Vaginal reconstruction
7063,Vaginal construction with graft or prosthesis,Vaginal const w grf/pros
7064,Vaginal reconstruction with graft or prosthesis,Vag reconst w grft/pros
7071,Suture of laceration of vagina,Suture vagina laceration
7072,Repair of colovaginal fistula,Repair colovagin fistula
7073,Repair of rectovaginal fistula,Repair rectovag fistula
7074,Repair of other vaginoenteric fistula,Rep vaginoent fistul NEC
7075,Repair of other fistula of vagina,Repair vag fistula NEC
7076,Hymenorrhaphy,Hymenorrhaphy
7077,Vaginal suspension and fixation,Vaginal suspens & fixat
7078,Vaginal suspension and fixation with graft or prosthesis,Vag susp/fix w grft/pros
7079,Other repair of vagina,Vaginal repair NEC
708,Obliteration of vaginal vault,Vaginal vault obliterat
7091,Other operations on vagina,Vaginal operation NEC
7092,Other operations on cul-de-sac,Cul-de-sac operation NEC
7093,Other operations on cul-de-sac with graft or prosthesis,Cul-de-sac grf/pros NEC
7094,Insertion of biological graft,Insert biological graft
7095,Insertion of synthetic graft or prosthesis,Insert synth graft/prost
7101,Lysis of vulvar adhesions,Vulvar adhesiolysis
7109,Other incision of vulva and perineum,Incis vulva/perineum NEC
7111,Biopsy of vulva,Vulvar biopsy
7119,Other diagnostic procedures on vulva,Vulvar diagnos proc NEC
7121,Percutaneous aspiration of Bartholin's gland (cyst),Percutan bartholin aspir
7122,Incision of Bartholin's gland (cyst),Incise bartholin's gland
7123,Marsupialization of Bartholin's gland (cyst),Bartholin gland marsup
7124,Excision or other destruction of Bartholin's gland (cyst),Destruc bartholin gland
7129,Other operations on Bartholin's gland,Bartholin's gland op NEC
713,Other local excision or destruction of vulva and perineum,Local vulvar excis NEC
714,Operations on clitoris,Operations on clitoris
715,Radical vulvectomy,Radical vulvectomy
7161,Unilateral vulvectomy,Unilateral vulvectomy
7162,Bilateral vulvectomy,Bilateral vulvectomy
7171,Suture of laceration of vulva or perineum,Suture vulvar laceration
7172,Repair of fistula of vulva or perineum,Repair vulvar fistula
7179,Other repair of vulva and perineum,Vulvar/perin repair NEC
718,Other operations on vulva,Other vulvar operations
719,Other operations on female genital organs,Other female genital ops
720,Low forceps operation,Low forceps operation
721,Low forceps operation with episiotomy,Low forceps w episiotomy
7221,Mid forceps operation with episiotomy,Mid forceps w episiotomy
7229,Other mid forceps operation,Mid forceps op NEC
7231,High forceps operation with episiotomy,High forceps w episiot
7239,Other high forceps operation,High forceps op NEC
724,Forceps rotation of fetal head,Forceps rotat fetal head
7251,Partial breech extraction with forceps to aftercoming head,Part brch extrac w forcp
7252,Other partial breech extraction,Part breech extract NEC
7253,Total breech extraction with forceps to aftercoming head,Tot brch extrac w forcep
7254,Other total breech extraction,Tot breech extrac NEC
726,Forceps application to aftercoming head,Forceps-aftercoming head
7271,Vacuum extraction with episiotomy,Vacuum ext del w episiot
7279,Other vacuum extraction,Vacuum extract del NEC
728,Other specified instrumental delivery,Instrument delivery NEC
729,Unspecified instrumental delivery,Instrument delivery NOS
7301,Induction of labor by artificial rupture of membranes,Induct labor-rupt memb
7309,Other artificial rupture of membranes,Artif rupt membranes NEC
731,Other surgical induction of labor,Surg induct labor NEC
7321,Internal and combined version without extraction,Int/comb version no extr
7322,Internal and combined version with extraction,Int/comb version w extr
733,Failed forceps,Failed forceps
734,Medical induction of labor,Medical induction labor
7351,Manual rotation of fetal head,Manual rotat fetal head
7359,Other manually assisted delivery,Manual assist deliv NEC
736,Episiotomy,Episiotomy
738,Operations on fetus to facilitate delivery,Fetal ops-facilitate del
7391,External version assisting delivery,Ext version-assist deliv
7392,Replacement of prolapsed umbilical cord,Replace prolapsed cord
7393,Incision of cervix to assist delivery,Incis cx to assist deliv
7394,Pubiotomy to assist delivery,Pubiotomy to assist del
7399,Other operations assisting delivery,Ops assisting deliv NEC
740,Classical cesarean section,Classical c-section
741,Low cervical cesarean section,Low cervical c-section
742,Extraperitoneal cesarean section,Extraperitoneal c-sect
743,Removal of extratubal ectopic pregnancy,Rem extratub ectop preg
744,Cesarean section of other specified type,Cesarean section NEC
7491,Hysterotomy to terminate pregnancy,Hysterotomy to termin pg
7499,Other cesarean section of unspecified type,Cesarean section NOS
750,Intra-amniotic injection for abortion,Intra-amnion inj for ab
751,Diagnostic amniocentesis,Diagnostic amniocentesis
752,Intrauterine transfusion,Intrauterine transfusion
7531,Amnioscopy,Amnioscopy
7532,Fetal EKG (scalp),Fetal ekg
7533,Fetal blood sampling and biopsy,Fetal blood sample/bx
7534,Other fetal monitoring,Other fetal monitoring
7535,Other diagnostic procedures on fetus and amnion,Dx proc fetus/amnion NEC
7536,Correction of fetal defect,Correction fetal defect
7537,Amnioinfusion,Amnioinfusion
7538,Fetal pulse oximetry,Fetal pulse oximetry
754,Manual removal of retained placenta,Manual removal-placenta
7550,"Repair of current obstetric laceration of uterus, not otherwise specified",Repair ob lac uterus NOS
7551,Repair of current obstetric laceration of cervix,Repair ob lacerat cervix
7552,Repair of current obstetric laceration of corpus uteri,Repair ob lac corp uteri
7561,Repair of current obstetric laceration of bladder and urethra,Repair ob lac blad/ureth
7562,Repair of current obstetric laceration of rectum and sphincter ani,Repair ob lac rect/anus
7569,Repair of other current obstetric laceration,Repair ob laceration NEC
757,"Manual exploration of uterine cavity, postpartum",Manual explor uterus p/p
758,Obstetric tamponade of uterus or vagina,Ob tamponade uterus/vag
7591,Evacuation of obstetrical incisional hematoma of perineum,Evac ob inc hemat perin
7592,Evacuation of other hematoma of vulva or vagina,Evac ob hemat vulva/vag
7593,Surgical correction of inverted uterus,Surg corr invert uterus
7594,Immediate postpartum manual replacement of inverted uterus,Man replac invert uterus
7599,Other obstetric operations,Obstetric operation NEC
7601,Sequestrectomy of facial bone,Facial bone sequestrect
7609,Other incision of facial bone,Facial bone incision NEC
7611,Biopsy of facial bone,Facial bone biopsy
7619,Other diagnostic procedures on facial bones and joints,Facial bone dx proc NEC
762,Local excision or destruction of lesion of facial bone,Destruct facial bone les
7631,Partial mandibulectomy,Partial mandibulectomy
7639,Partial ostectomy of other facial bone,Part facial ostectom NEC
7641,Total mandibulectomy with synchronous reconstruction,Tot mandibulec w reconst
7642,Other total mandibulectomy,Total mandibulectomy NEC
7643,Other reconstruction of mandible,Mandibular reconst NEC
7644,Total ostectomy of other facial bone with synchronous reconstruction,Tot face ostect w recons
7645,Other total ostectomy of other facial bone,Tot face bone ostect NEC
