HCPCS,HCPCS_DESCRIPTION
15121,Skn splt a-grft f/n/hf/g add
15130,Derm autograft trnk/arm/leg
15131,Derm autograft t/a/l add-on
15135,Derm autograft face/nck/hf/g
15136,Derm autograft f/n/hf/g add
15150,Cult skin grft t/arm/leg
15151,Cult skin grft t/a/l addl
15152,Cult skin graft t/a/l +%
15155,Cult skin graft f/n/hf/g
15156,Cult skin grft f/n/hfg add
15157,Cult epiderm grft f/n/hfg +%
15200,Fth grf fr trnk 20 sq cm/<
15201,Fth grf fr trnk each addl
15220,Fth grf fr s/a/l 20 sq cm/<
15221,Fth grf fr s/a/l each addl
15240,Fth gr fr f/c/c/m/n/ax/g/h/f
15241,Fth gr f/c/c/m/n/ax/g/h/f ea
15260,Fth grf fr n/e/e/l 20 sqcm/<
15261,Fth grf fr n/e/e/l each addl
15271,Skin sub graft trnk/arm/leg
15272,Skin sub graft t/a/l add-on
15273,Skin sub grft t/arm/lg child
15274,Skn sub grft t/a/l child add
15275,Skin sub graft face/nk/hf/g
15276,Skin sub graft f/n/hf/g addl
15277,Skn sub grft f/n/hf/g child
15278,Skn sub grft f/n/hf/g ch add
15570,Skin pedicle flap trunk
15572,Skin pedicle flap arms/legs
15574,Pedcle fh/ch/ch/m/n/ax/g/h/f
15576,Pedicle e/n/e/l/ntroral
15600,Delay flap trunk
15610,Delay flap arms/legs
15620,Delay flap f/c/c/n/ax/g/h/f
15630,Delay flap eye/nos/ear/lip
15650,Transfer skin pedicle flap
15730,Mdfc flap w/prsrv vasc pedcl
15731,Forehead flap w/vasc pedicle
15733,Musc myoq/fscq flp h&n pedcl
15734,Muscle-skin graft trunk
15736,Muscle-skin graft arm
15738,Muscle-skin graft leg
15740,Island pedicle flap graft
15750,Neurovascular pedicle flap
15756,Free myo/skin flap microvasc
15757,Free skin flap microvasc
15758,Free fascial flap microvasc
15760,Composite skin graft
15769,Grfg autol soft tiss dir exc
15770,Derma-fat-fascia graft
15771,Grfg autol fat lipo 50 cc/<
15772,Grfg autol fat lipo ea addl
15773,Grfg autol fat lipo 25 cc/<
15774,Gfrg autol fat lipo ea addl
15775,Hair trnspl 1-15 punch grfts
15776,Hair trnspl >15 punch grafts
15777,Acellular derm matrix implt
15778,Impl absrb msh/prsth dly cls
15780,Dermabrasion total face
15781,Dermabrasion segmental face
15782,Dermabrasion other than face
15783,Dermabrasion suprfl any site
15786,Abrasion lesion single
15787,Abrasion lesions add-on
15788,Chemical peel face epiderm
15789,Chemical peel face dermal
15792,Chemical peel nonfacial
15793,Chemical peel nonfacial
15819,Plastic surgery neck
15820,Revision of lower eyelid
15821,Revision of lower eyelid
15822,Revision of upper eyelid
15823,Revision of upper eyelid
15824,Removal of forehead wrinkles
15825,Removal of neck wrinkles
15826,Removal of brow wrinkles
15828,Removal of face wrinkles
15829,Removal of skin wrinkles
15830,Exc skin abd
15832,Excise excessive skin thigh
15833,Excise excessive skin leg
15834,Excise excessive skin hip
15835,Excise excessive skin buttck
15836,Excise excessive skin arm
15837,Excise excess skin arm/hand
15838,Excise excess skin fat pad
15839,Excise excess skin & tissue
15840,Nerve palsy fascial graft
15841,Nerve palsy muscle graft
15842,Nerve palsy microsurg graft
15845,Skin and muscle repair face
15847,Exc skin abd add-on
15851,Removal sutr/staple req anes
15852,Dressing change not for burn
15853,Removal sutr/stapl xreq anes
15854,Removal sutr&stapl xreq anes
15860,Test for blood flow in graft
15876,Suction lipectomy head&neck
15877,Suction lipectomy trunk
15878,Suction lipectomy upr extrem
15879,Suction lipectomy lwr extrem
15920,Removal of tail bone ulcer
15922,Removal of tail bone ulcer
15931,Remove sacrum pressure sore
15933,Remove sacrum pressure sore
15934,Remove sacrum pressure sore
15935,Remove sacrum pressure sore
15936,Remove sacrum pressure sore
15937,Remove sacrum pressure sore
15940,Remove hip pressure sore
15941,Remove hip pressure sore
15944,Remove hip pressure sore
15945,Remove hip pressure sore
15946,Remove hip pressure sore
15950,Remove thigh pressure sore
15951,Remove thigh pressure sore
15952,Remove thigh pressure sore
15953,Remove thigh pressure sore
15956,Remove thigh pressure sore
15958,Remove thigh pressure sore
15999,Unlisted px exc pressure ulc
16000,Initial treatment of burn(s)
16020,Dress/debrid p-thick burn s
16025,Dress/debrid p-thick burn m
16030,Dress/debrid p-thick burn l
16035,Incision of burn scab initi
16036,Escharotomy addl incision
17000,Destruct premalg lesion
17003,Destruct premalg les 2-14
17004,Destroy premal lesions 15/>
17106,Destruction of skin lesions
17107,Destruction of skin lesions
17108,Destruction of skin lesions
17110,Destruct b9 lesion 1-14
17111,Destruct lesion 15 or more
17250,Chem caut of granltj tissue
17260,Dstrj mal les t/a/l 0.5 cm/<
17261,Dstrj mal les t/a/l .6-1.0cm
17262,Dstrj mal les t/a/l 1.1-2.0
17263,Dstrj mal les t/a/l 2.1-3.0
17264,Dstrj mal les t/a/l 3.1-4.0
17266,Dstrj mal les t/a/l >4.0 cm
17270,Dstr mal les s/n/h/f/g .5 /<
17271,Dstr mal les s/n/h/f/g 0.6-1
17272,Dstr mal les s/n/h/f/g 1.1-2
17273,Dstr mal les s/n/h/f/g 2.1-3
17274,Dstr mal les s/n/h/f/g 3.1-4
17276,Dstr mal les s/n/h/f/g >4.0
17280,Dstr mal ls f/e/e/n/l/m .5/<
17281,Dstr mal ls f/e/e/n/l/m .6-1
17282,Dstr mal ls f/e/e/n/l/m1.1-2
17283,Dstr mal ls f/e/e/n/l/m2.1-3
17284,Dstr mal ls f/e/e/n/l/m3.1-4
17286,Dstr mal ls f/e/e/n/l/m>4.0
17311,Mohs 1 stage h/n/hf/g
17312,Mohs addl stage
17313,Mohs 1 stage t/a/l
17314,Mohs addl stage t/a/l
17315,Mohs surg addl block
17340,Cryotherapy of skin
17360,Skin peel therapy
17380,Hair removal by electrolysis
17999,Unlistd px skn muc memb subq
19000,Puncture aspir cyst breast
19001,Puncture aspir cyst brst ea
19020,Mastotomy expl drg absc dp
19030,Njx px only mam ducto/glcto
19081,Bx breast 1st lesion strtctc
19082,Bx breast add lesion strtctc
19083,Bx breast 1st lesion us imag
19084,Bx breast add lesion us imag
19085,Bx breast 1st lesion mr imag
19086,Bx breast add lesion mr imag
19100,Bx breast percut w/o image
19101,Biopsy of breast open
19105,Cryosurg ablate fa each
19110,Nipple exploration
19112,Excise breast duct fistula
19120,Removal of breast lesion
19125,Excision breast lesion
19126,Excision addl breast lesion
19281,Perq device breast 1st imag
19282,Perq device breast ea imag
19283,Perq dev breast 1st strtctc
19284,Perq dev breast add strtctc
19285,Perq dev breast 1st us imag
19286,Perq dev breast add us imag
19287,Perq dev breast 1st mr guide
19288,Perq dev breast add mr guide
19294,Prepj tum cav iort prtl mast
19296,Place po breast cath for rad
19297,Place breast cath for rad
19298,Place breast rad tube/caths
19300,Removal of breast tissue
19301,Partial mastectomy
19302,P-mastectomy w/ln removal
19303,Mast simple complete
19305,Mast radical
19306,Mast rad urban type
19307,Mast mod rad
19316,Suspension of breast
19318,Breast reduction
19325,Breast augmentation w/implt
19328,Rmvl intact breast implant
19330,Rmvl ruptured breast implant
19340,Insj breast implt sm d mast
19342,Insj/rplcmt brst implt sep d
19350,Breast reconstruction
19355,Correct inverted nipple(s)
19357,Tiss xpndr plmt brst rcnstj
19361,Brst rcnstj latsms drsi flap
19364,Brst rcnstj free flap
19367,Brst rcnstj 1 pdcl tram flap
19368,Brst rcnstj 1pdcl tram anast
19369,Brst rcnstj 2 pdcl tram flap
19370,Revj peri-implt capsule brst
19371,Peri-implt capslc brst compl
19380,Revj reconstructed breast
19396,Design custom breast implant
19499,Unlisted procedure breast
2000F,Blood pressure measure
2001F,Weight record
2002F,Clin sign vol ovrld assess
2004F,Initial exam involved joints
2010F,Vital signs recorded
20100,Explore wound neck
20101,Explore wound chest
20102,Explore wound abdomen
20103,Explore wound extremity
2014F,Mental status assess
2015F,Asthma impairment assessed
20150,Excise epiphyseal bar
2016F,Asthma risk assessed
2018F,Hydration status assess
2019F,Dilated macul exam done
2020F,Dilated fundus eval done
20200,Muscle biopsy superficial
20205,Deep muscle biopsy
20206,Biopsy muscle perq needle
2021F,Dilat macular exam done
2022F,Dilat rta xm evc rtnopthy
20220,Bone biopsy trocar/ndl supfc
20225,Bone biopsy trocar/ndl deep
2023F,Dilat rta xm w/o rtnopthy
2024F,7 fld rta photo evc rtnopthy
20240,Bone biopsy open superficial
20245,Bone biopsy open deep
2025F,7 fld rta photo w/o rtnopthy
20250,Biopsy vrt bdy open thoracic
20251,Biopsy vrt bdy open lmbr/crv
2026F,Eye img valid evc rtnopthy
2027F,Optic nerve head eval done
2028F,Foot exam performed
2029F,Complete phys skin exam done
2030F,H2o stat docd normal
2031F,H2o stat docd dehydrated
2033F,Eye img valid w/o rtnopthy
2035F,Tymp memb motion examd
2040F,Bk pn xm on init visit date
2044F,Doc mntl tst b/4 bk trxmnt
2050F,Wound char size etc docd
20500,Injection of sinus tract
20501,Inject sinus tract for x-ray
20520,Removal of foreign body
20525,Removal of foreign body
20526,Ther injection carp tunnel
20527,Inj dupuytren cord w/enzyme
20550,Inj tendon sheath/ligament
20551,Inj tendon origin/insertion
20552,Inj trigger point 1/2 muscl
20553,Inject trigger points 3/>
20555,Place ndl musc/tis for rt
20560,Ndl insj w/o njx 1 or 2 musc
20561,Ndl insj w/o njx 3+ musc
2060F,Pt talk eval hlthwkr re mdd
20600,Drain/inj joint/bursa w/o us
20604,Drain/inj joint/bursa w/us
20605,Drain/inj joint/bursa w/o us
20606,Drain/inj joint/bursa w/us
20610,Drain/inj joint/bursa w/o us
20611,Drain/inj joint/bursa w/us
20612,Aspirate/inj ganglion cyst
20615,Treatment of bone cyst
20650,Insert and remove bone pin
20660,Apply rem fixation device
20661,Application halo cranial
20662,Application halo pelvic
20663,Application halo femoral
20664,Appl halo cranial 6+pins
20665,Rmvl tongs/halo anthr indiv
20670,Removal implant superficial
20680,Removal of implant deep
20690,Appl unipln uni ext fixj sys
20692,Appl mltpln uni ext fixj sys
20693,Adjmt/revj ext fixj sys anes
20694,Rmvl ext fixj sys under anes
20696,App mltpln uni xtrnl fix 1st
20697,App mltpln uni xtrnl fix xch
20700,Mnl prep&insj dp rx dlvr dev
20701,Rmvl deep rx delivery device
20702,Mnl prep&insj imed rx dev
20703,Rmvl imed rx delivery device
20704,Mnl prep&insj i-artic rx dev
20705,Rmvl i-artic rx delivery dev
20802,Replantation arm complete
20805,Replant forearm complete
20808,Replantation hand complete
20816,Replantation digit complete
20822,Replantation digit complete
20824,Replantation thumb complete
20827,Replantation thumb complete
20838,Replantation foot complete
20900,Removal of bone for graft
20902,Removal of bone for graft
20910,Remove cartilage for graft
20912,Remove cartilage for graft
20920,Removal of fascia for graft
20922,Removal of fascia for graft
20924,Removal of tendon for graft
20930,Sp bone algrft morsel add-on
20931,Sp bone algrft struct add-on
20932,Osteoart algrft w/surf & b1
20933,Hemicrt intrclry algrft prtl
20934,Intercalary algrft compl
20936,Sp bone agrft local add-on
20937,Sp bone agrft morsel add-on
20938,Sp bone agrft struct add-on
20939,Bone marrow aspir bone grfg
20950,Fluid pressure muscle
20955,Fibula bone graft microvasc
20956,Iliac bone graft microvasc
20957,Mt bone graft microvasc
20962,Other bone graft microvasc
20969,Bone/skin graft microvasc
20970,Bone/skin graft iliac crest
20972,Bone/skin graft metatarsal
20973,Bone/skin graft great toe
20974,Electrical bone stimulation
20975,Electrical bone stimulation
20979,Us bone stimulation
20982,Ablate bone tumor(s) perq
20983,Ablate bone tumor(s) perq
20985,Cptr-asst dir ms px
20999,Unlisted px muscskel general
21010,Incision of jaw joint
21011,Exc face les sc <2 cm
21012,Exc face les sbq 2 cm/>
21013,Exc face tum deep < 2 cm
21014,Exc face tum deep 2 cm/>
21015,Resect face/scalp tum < 2 cm
21016,Resect face/scalp tum 2 cm/>
21025,Excision of bone lower jaw
21026,Excision of facial bone(s)
21029,Contour of face bone lesion
21030,Excise max/zygoma b9 tumor
21031,Remove exostosis mandible
21032,Remove exostosis maxilla
21034,Excise max/zygoma mal tumor
21040,Excise mandible lesion
21044,Removal of jaw bone lesion
21045,Extensive jaw surgery
21046,Remove mandible cyst complex
21047,Excise lwr jaw cyst w/repair
21048,Remove maxilla cyst complex
21049,Excis uppr jaw cyst w/repair
21050,Removal of jaw joint
21060,Remove jaw joint cartilage
21070,Remove coronoid process
21073,Mnpj of tmj w/anesth
21076,Prepare face/oral prosthesis
21077,Prepare face/oral prosthesis
21079,Prepare face/oral prosthesis
21080,Prepare face/oral prosthesis
21081,Prepare face/oral prosthesis
21082,Prepare face/oral prosthesis
21083,Prepare face/oral prosthesis
21084,Prepare face/oral prosthesis
21085,Prepare face/oral prosthesis
21086,Prepare face/oral prosthesis
21087,Prepare face/oral prosthesis
21088,Prepare face/oral prosthesis
21089,Unlisted maxlfcl prosth px
21100,Maxillofacial fixation
21110,Interdental fixation
21116,Injection jaw joint x-ray
21120,Reconstruction of chin
21121,Reconstruction of chin
21122,Reconstruction of chin
21123,Reconstruction of chin
21125,Augmentation lower jaw bone
21127,Augmentation lower jaw bone
21137,Reduction of forehead
21138,Reduction of forehead
21139,Reduction of forehead
21141,Lefort i-1 piece w/o graft
21142,Lefort i-2 piece w/o graft
21143,Lefort i-3/> piece w/o graft
21145,Lefort i-1 piece w/ graft
21146,Lefort i-2 piece w/ graft
21147,Lefort i-3/> piece w/ graft
21150,Lefort ii anterior intrusion
21151,Lefort ii w/bone grafts
21154,Lefort iii w/o lefort i
21155,Lefort iii w/ lefort i
21159,Lefort iii w/fhdw/o lefort i
21160,Lefort iii w/fhd w/ lefort i
21172,Reconstruct orbit/forehead
21175,Reconstruct orbit/forehead
21179,Reconstruct entire forehead
21180,Reconstruct entire forehead
21181,Contour cranial bone lesion
21182,Reconstruct cranial bone
21183,Reconstruct cranial bone
21184,Reconstruct cranial bone
21188,Reconstruction of midface
21193,Reconst lwr jaw w/o graft
21194,Reconst lwr jaw w/graft
21195,Reconst lwr jaw w/o fixation
21196,Reconst lwr jaw w/fixation
21198,Reconstr lwr jaw segment
21199,Reconstr lwr jaw w/advance
21206,Reconstruct upper jaw bone
21208,Augmentation of facial bones
21209,Reduction of facial bones
21210,Face bone graft
21215,Lower jaw bone graft
21230,Rib cartilage graft
21235,Ear cartilage graft
21240,Reconstruction of jaw joint
21242,Reconstruction of jaw joint
21243,Reconstruction of jaw joint
21244,Reconstruction of lower jaw
21245,Reconstruction of jaw
21246,Reconstruction of jaw
21247,Reconstruct lower jaw bone
21248,Reconstruction of jaw
21249,Reconstruction of jaw
21255,Reconstruct lower jaw bone
21256,Reconstruction of orbit
21260,Revise eye sockets
21261,Revise eye sockets
21263,Revise eye sockets
21267,Revise eye sockets
21268,Revise eye sockets
21270,Augmentation cheek bone
21275,Revision orbitofacial bones
21280,Revision of eyelid
21282,Revision of eyelid
21295,Revision of jaw muscle/bone
21296,Revision of jaw muscle/bone
21299,Unlisted cranfcl&maxlfcl px
21315,Clsd tx nsl fx mnpj wo stblj
21320,Clsd tx nsl fx w/mnpj&stablj
21325,Open tx nose fx uncomplicatd
21330,Open tx nose fx w/skele fixj
21335,Open tx nose & septal fx
21336,Open tx septal fx w/wo stabj
21337,Closed tx septal&nose fx
21338,Open nasoethmoid fx w/o fixj
21339,Open nasoethmoid fx w/ fixj
21340,Perq tx nasoethmoid fx
21343,Open tx dprsd front sinus fx
21344,Open tx compl front sinus fx
21345,Closed tx nose/jaw fx
21346,Opn tx nasomax fx w/fixj
21347,Opn tx nasomax fx multple
21348,Opn tx nasomax fx w/graft
21355,Perq tx malar fracture
21356,Opn tx dprsd zygomatic arch
21360,Opn tx dprsd malar fracture
21365,Opn tx complx malar fx
21366,Opn tx complx malar w/grft
21385,Opn tx orbit fx transantral
21386,Opn tx orbit fx periorbital
21387,Opn tx orbit fx combined
21390,Opn tx orbit periorbtl implt
21395,Opn tx orbit periorbt w/grft
21400,Closed tx orbit w/o manipulj
21401,Closed tx orbit w/manipulj
21406,Opn tx orbit fx w/o implant
21407,Opn tx orbit fx w/implant
21408,Opn tx orbit fx w/bone grft
21421,Treat mouth roof fracture
21422,Treat mouth roof fracture
21423,Treat mouth roof fracture
21431,Treat craniofacial fracture
21432,Treat craniofacial fracture
21433,Treat craniofacial fracture
21435,Treat craniofacial fracture
21436,Treat craniofacial fracture
21440,Treat dental ridge fracture
21445,Treat dental ridge fracture
21450,Treat lower jaw fracture
21451,Treat lower jaw fracture
21452,Treat lower jaw fracture
21453,Treat lower jaw fracture
21454,Treat lower jaw fracture
21461,Treat lower jaw fracture
21462,Treat lower jaw fracture
21465,Treat lower jaw fracture
21470,Treat lower jaw fracture
21480,Reset dislocated jaw
21485,Reset dislocated jaw
21490,Repair dislocated jaw
21497,Interdental wiring
21499,Unlisted muscskel px head
21501,Drain neck/chest lesion
21502,Drain chest lesion
21510,Drainage of bone lesion
21550,Biopsy of neck/chest
21552,Exc neck les sc 3 cm/>
21554,Exc neck tum deep 5 cm/>
21555,Exc neck les sc < 3 cm
21556,Exc neck tum deep < 5 cm
21557,Resect neck thorax tumor<5cm
21558,Resect neck tumor 5 cm/>
21600,Partial removal of rib
21601,Exc chest wall tumor w/ribs
21602,Exc ch wal tum w/o lymphadec
21603,Exc ch wal tum w/lymphadec
21610,Partial removal of rib
21615,Removal of rib
21616,Removal of rib and nerves
21620,Partial removal of sternum
21627,Sternal debridement
21630,Extensive sternum surgery
21632,Extensive sternum surgery
21685,Hyoid myotomy & suspension
21700,Revision of neck muscle
21705,Revision of neck muscle/rib
21720,Revision of neck muscle
21725,Revision of neck muscle
21740,Reconstruction of sternum
21742,Repair stern/nuss w/o scope
21743,Repair sternum/nuss w/scope
21750,Repair of sternum separation
21811,Optx of rib fx w/fixj scope
21812,Treatment of rib fracture
21813,Treatment of rib fracture
21820,Treat sternum fracture
21825,Treat sternum fracture
21899,Unlisted px neck/thorax
21920,Biopsy soft tissue of back
21925,Biopsy soft tissue of back
21930,Exc back les sc < 3 cm
21931,Exc back les sc 3 cm/>
21932,Exc back tum deep < 5 cm
21933,Exc back tum deep 5 cm/>
21935,Resect back tum < 5 cm
21936,Resect back tum 5 cm/>
22010,I&d p-spine c/t/cerv-thor
22015,I&d abscess p-spine l/s/ls
22100,Remove part of neck vertebra
22101,Remove part thorax vertebra
22102,Remove part lumbar vertebra
22103,Remove extra spine segment
22110,Remove part of neck vertebra
22112,Remove part thorax vertebra
22114,Remove part lumbar vertebra
22116,Remove extra spine segment
22206,Incis spine 3 column thorac
22207,Incis spine 3 column lumbar
22208,Incis spine 3 column adl seg
22210,Incis 1 vertebral seg cerv
22212,Incis 1 vertebral seg thorac
22214,Incis 1 vertebral seg lumbar
22216,Incis addl spine segment
22220,Osteot dsc ant 1 vrt sgm crv
22222,Osteot dsc ant 1vrt sgm thrc
22224,Osteot dsc ant 1vrt sgm lmbr
22226,Osteot dsc ant 1vrt sgm ea
22310,Closed tx vert fx w/o manj
22315,Closed tx vert fx w/manj
22318,Treat odontoid fx w/o graft
22319,Treat odontoid fx w/graft
22325,Treat spine fracture
22326,Treat neck spine fracture
22327,Treat thorax spine fracture
22328,Treat each add spine fx
22505,Manipulation of spine
22510,Perq cervicothoracic inject
22511,Perq lumbosacral injection
22512,Vertebroplasty addl inject
22513,Perq vertebral augmentation
22514,Perq vertebral augmentation
22515,Perq vertebral augmentation
22526,Idet single level
22527,Idet 1 or more levels
22532,Arthrd lat xtrcvtry tq thrc
22533,Arthrd lat xtrcvtry tq lmbr
22534,Arthrd lat xtrcvtry tq ea ad
22548,Arthrd ant toral/xoral c1-c2
22551,Arthrd ant ntrbdy cervical
22552,Arthrd ant ntrbd cervical ea
22554,Arthrd ant ntrbd min dsc crv
22556,Arthrd ant ntrbd min dsc thc
22558,Arthrd ant ntrbd min dsc lum
22585,Arthrd ant ntrbd min dsc ea
22586,Arthrd pre-sac ntrbdy l5-s1
22590,Arthrd pst tq craniocervical
22595,Arthrd pst tq atlas-axis
22600,Arthrd pst tq 1ntrspc crv
22610,Arthrd pst tq 1ntrspc thrc
22612,Arthrd pst tq 1ntrspc lumbar
22614,Arthrd pst tq 1ntrspc ea add
22630,Arthrd pst tq 1ntrspc lum
22632,Arthrd pst tq 1ntrspc lm ea
22633,Arthrd cmbn 1ntrspc lumbar
22634,Arthrd cmbn 1ntrspc ea addl
22800,Arthrd pst dfrm<6 vrt sgm
22802,Arthrd pst dfrm 7-12 vrt sgm
22804,Arthrd pst dfrm 13+ vrt sgm
22808,Arthrd ant dfrm 2-3 vrt sgm
22810,Arthrd ant dfrm 4-7 vrt sgm
22812,Arthrd ant dfrm 8+ vrt sgm
22818,Kyphectomy 1-2 segments
22819,Kyphectomy 3 or more
22830,Exploration of spinal fusion
22836,Ant thrc vrt body tethrg <7
22837,Ant thrc vrt body tethrg 8+
22838,Rev rplc/rmv thrc vrt tethrg
22840,Insert spine fixation device
22841,Insert spine fixation device
22842,Insert spine fixation device
22843,Insert spine fixation device
22844,Insert spine fixation device
22845,Insert spine fixation device
22846,Insert spine fixation device
22847,Insert spine fixation device
22848,Insert pelv fixation device
22849,Reinsert spinal fixation
22850,Remove spine fixation device
22852,Remove spine fixation device
22853,Insj biomechanical device
22854,Insj biomechanical device
22855,Removal anterior instrmj
22856,Tot disc arthrp 1ntrspc crv
22857,Tot disc arthrp 1ntrspc lmbr
22858,Tot disc arthrp 2nd lvl crv
22859,Insj biomechanical device
22860,Tot disc arthrp 2ntrspc lmbr
22861,Rev rplcm arthrp 1ntrspc crv
22862,Rev rplcm rthrp 1ntrspc lmbr
22864,Rmvl tot arthrp 1ntrspc crv
22865,Rmvl tot arthrp 1ntrspc lmbr
22867,Insj stablj dev w/dcmprn
22868,Insj stablj dev w/dcmprn
22869,Insj stablj dev w/o dcmprn
22870,Insj stablj dev w/o dcmprn
22899,Unlisted procedure spine
22900,Exc abdl tum deep < 5 cm
22901,Exc abdl tum deep 5 cm/>
22902,Exc abd les sc < 3 cm
22903,Exc abd les sc 3 cm/>
22904,Radical resect abd tumor<5cm
22905,Rad resect abd tumor 5 cm/>
22999,Unlisted px abdomen muscskel
23000,Removal of calcium deposits
23020,Release shoulder joint
23030,Drain shoulder lesion
23031,Drain shoulder bursa
23035,Drain shoulder bone lesion
23040,Exploratory shoulder surgery
23044,Exploratory shoulder surgery
23065,Biopsy shoulder tissues
23066,Biopsy shoulder tissues
23071,Exc shoulder les sc 3 cm/>
23073,Exc shoulder tum deep 5 cm/>
23075,Exc shoulder les sc < 3 cm
23076,Exc shoulder tum deep < 5 cm
23077,Resect shoulder tumor < 5 cm
23078,Resect shoulder tumor 5 cm/>
23100,Biopsy of shoulder joint
23101,Shoulder joint surgery
23105,Remove shoulder joint lining
23106,Incision of collarbone joint
23107,Explore treat shoulder joint
23120,Partial removal collar bone
23125,Removal of collar bone
23130,Remove shoulder bone part
23140,Removal of bone lesion
23145,Removal of bone lesion
23146,Removal of bone lesion
23150,Removal of humerus lesion
23155,Removal of humerus lesion
23156,Removal of humerus lesion
23170,Remove collar bone lesion
23172,Remove shoulder blade lesion
23174,Remove humerus lesion
23180,Remove collar bone lesion
23182,Remove shoulder blade lesion
23184,Remove humerus lesion
23190,Partial removal of scapula
23195,Removal of head of humerus
23200,Resect clavicle tumor
23210,Resect scapula tumor
23220,Resect prox humerus tumor
23330,Remove shoulder foreign body
23333,Remove shoulder fb deep
23334,Shoulder prosthesis removal
23335,Shoulder prosthesis removal
23350,Injection for shoulder x-ray
23395,Muscle transfer shoulder/arm
23397,Muscle transfers
23400,Fixation of shoulder blade
23405,Incision of tendon & muscle
23406,Incise tendon(s) & muscle(s)
23410,Repair rotator cuff acute
23412,Repair rotator cuff chronic
23415,Release of shoulder ligament
23420,Repair of shoulder
23430,Repair biceps tendon
23440,Remove/transplant tendon
23450,Repair shoulder capsule
23455,Repair shoulder capsule
23460,Repair shoulder capsule
23462,Repair shoulder capsule
23465,Repair shoulder capsule
23466,Repair shoulder capsule
23470,Reconstruct shoulder joint
23472,Reconstruct shoulder joint
23473,Revis reconst shoulder joint
23474,Revis reconst shoulder joint
23480,Revision of collar bone
23485,Revision of collar bone
23490,Reinforce clavicle
23491,Reinforce shoulder bones
23500,Cltx clavicular fx w/o mnpj
23505,Cltx clavicular fx w/mnpj
23515,Optx clavicular fx w/int fix
23520,Cltx strnclav dislc w/o mnpj
23525,Cltx strnclav dislc w/mnpj
23530,Optx strnclav dislc aqt/chrn
23532,Optx strclv dslc aq/chrn grf
23540,Cltx acromclav dislc wo mnpj
23545,Cltx acromclav dislc w/mnpj
23550,Optx acromclv dislc aqt/chrn
23552,Optx acrclv dslc aq/chrn grf
23570,Cltx scapular fx w/o mnpj
23575,Cltx scap fx w/mnpj +-tractj
23585,Optx scapular fx w/int fixj
23600,Cltx prox humrl fx w/o mnpj
23605,Cltx prx hmrl fx mnpj+-tract
23615,Optx prox humrl fx w/int fix
23616,Optx prx hmrl fx fix rpr rpl
23620,Cltx gr hmrl tbrs fx wo mnpj
23625,Cltx gr hmrl tbrs fx w/mnpj
23630,Optx gr hmrl tbrs fx int fix
23650,Cltx sho dslc w/mnpj wo anes
23655,Cltx sho dslc w/mnpj w/anes
23660,Optx acute shoulder dislc
23665,Cltx sho dslc fx gr hmrl tbr
23670,Optx sho dislc fx
23675,Cltx sho dislc neck fx mnpj
23680,Optx sho dislc neck fx fixj
23700,Mnpj anes sho jt fixj aprats
23800,Arthrodesis glenohumeral jt
23802,Arthrd glenohumeral jt w/grf
23900,Interthoracoscplr amputation
23920,Disarticulation shoulder
23921,Disarticulation sho sec clsr
23929,Unlisted procedure shoulder
23930,I&d upr a/e dp absc/hmtma
23931,I&d upr a/e bursa
23935,Inc dp opn b1 crtx hum/elbw
24000,Arthrt elbw expl drg/rmvl fb
24006,Arthrt elbw capsl exc rls
24065,Biopsy arm/elbow soft tissue
24066,Biopsy arm/elbow soft tissue
24071,Exc arm/elbow les sc 3 cm/>
24073,Ex arm/elbow tum deep 5 cm/>
24075,Exc arm/elbow les sc < 3 cm
24076,Ex arm/elbow tum deep < 5 cm
24077,Rad rescj tum tiss a/e <5cm
24079,Rad rescj tum tiss a/e 5 cm+
24100,Arthrt elbw synovial bx only
24101,Arthrt elbw jt expl bx rmvl
24102,Arthrt elbow w/synovectomy
24105,Excision olecranon bursa
24110,Exc/curtg b1 cst/b9 tum hum
24115,Exc/crtg b1 cst/tum hum agrf
24116,Exc/crtg b1 cst/tum hum algr
24120,Exc/crtg b1 cst/b9 tum rds
24125,Exc/crtg b1 cst/tum rds agrf
24126,Exc/crtg b1 cst/tum rds algr
24130,Excision radial head
24134,Sequestrectomy shft/dstl hum
24136,Sequestrectomy radial h/n
24138,Sequestrectomy olecrn proces
24140,Partial exc bone humerus
24145,Prtl exc bone radial h/n
24147,Prtl exc bone olecrn process
24149,Radical resection of elbow
24150,Rad rescj tum dstl/shft hum
24152,Rad resection tum radial h/n
24155,Resection of elbow joint
24160,Rmvl prosthhumrl&ulnar cmpnt
24164,Removal prosth radial head
24200,Rmvl fb upper arm/elbw subq
24201,Rmvl fb upper arm/elbw deep
24220,Injection px for elbow arthg
24300,Mnpj elbow under anes
24301,Musc/tdn transfer upr a/e 1
24305,Tendon lngth upr a/e ea tdn
24310,Tnot opn elbw to sho ea tdn
24320,Tenoplasty elbow to sho 1
24330,Flexor-plasty elbow
24331,Flexor-plasty elbw w/advmnt
24332,Tenolysis triceps
24340,Tenodesis biceps tdn at elbw
24341,Rpr tdn/musc upr a/e each
24342,Repair of ruptured tendon
24343,Repr elbow lat ligmnt w/tiss
24344,Reconstruct elbow lat ligmnt
24345,Repr elbw med ligmnt w/tissu
24346,Reconstruct elbow med ligmnt
24357,Repair elbow perc
24358,Repair elbow w/deb open
24359,Repair elbow deb/attch open
