"icd_10_pcs","description","ccs_code_and_description","specialty_cohort"
"0T9470Z","Drainage of Left Kidney Pelvis with Drainage Device, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T947ZZ","Drainage of Left Kidney Pelvis, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T9480Z","Drainage of Left Kidney Pelvis with Drainage Device, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T948ZZ","Drainage of Left Kidney Pelvis, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T960ZZ","Drainage of Right Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T964ZZ","Drainage of Right Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T967ZZ","Drainage of Right Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T968ZZ","Drainage of Right Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T970ZZ","Drainage of Left Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T974ZZ","Drainage of Left Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T977ZZ","Drainage of Left Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T978ZZ","Drainage of Left Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T980ZZ","Drainage of Bilateral Ureters, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T984ZZ","Drainage of Bilateral Ureters, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T987ZZ","Drainage of Bilateral Ureters, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T988ZZ","Drainage of Bilateral Ureters, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T9B00Z","Drainage of Bladder with Drainage Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T9B0ZZ","Drainage of Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T9C00Z","Drainage of Bladder Neck with Drainage Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T9C0ZZ","Drainage of Bladder Neck, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TB60ZZ","Excision of Right Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TB63ZZ","Excision of Right Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TB64ZZ","Excision of Right Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TB67ZZ","Excision of Right Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TB68ZZ","Excision of Right Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TB70ZZ","Excision of Left Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TB73ZZ","Excision of Left Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TB74ZZ","Excision of Left Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TB77ZZ","Excision of Left Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TB78ZZ","Excision of Left Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TBB0ZZ","Excision of Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TBB3ZZ","Excision of Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TBC0ZZ","Excision of Bladder Neck, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TBC3ZZ","Excision of Bladder Neck, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TC60ZZ","Extirpation of Matter from Right Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TC63ZZ","Extirpation of Matter from Right Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TC64ZZ","Extirpation of Matter from Right Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TC70ZZ","Extirpation of Matter from Left Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TC73ZZ","Extirpation of Matter from Left Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TC74ZZ","Extirpation of Matter from Left Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TCB0ZZ","Extirpation of Matter from Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TCB3ZZ","Extirpation of Matter from Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TCB4ZZ","Extirpation of Matter from Bladder, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TCC0ZZ","Extirpation of Matter from Bladder Neck, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TCC3ZZ","Extirpation of Matter from Bladder Neck, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TCC4ZZ","Extirpation of Matter from Bladder Neck, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TD00ZZ","Extraction of Right Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TD03ZZ","Extraction of Right Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TD04ZZ","Extraction of Right Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TD10ZZ","Extraction of Left Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TD13ZZ","Extraction of Left Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TD14ZZ","Extraction of Left Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TH50YZ","Insertion of Other Device into Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TH58YZ","Insertion of Other Device into Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TH90MZ","Insertion of Stimulator Lead into Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TH90YZ","Insertion of Other Device into Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TH93MZ","Insertion of Stimulator Lead into Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TH94MZ","Insertion of Stimulator Lead into Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TH97MZ","Insertion of Stimulator Lead into Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TH98MZ","Insertion of Stimulator Lead into Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TH98YZ","Insertion of Other Device into Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THB0LZ","Insertion of Artificial Sphincter into Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THB0MZ","Insertion of Stimulator Lead into Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THB0YZ","Insertion of Other Device into Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THB3LZ","Insertion of Artificial Sphincter into Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THB3MZ","Insertion of Stimulator Lead into Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THB4LZ","Insertion of Artificial Sphincter into Bladder, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THB4MZ","Insertion of Stimulator Lead into Bladder, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THB7LZ","Insertion of Artificial Sphincter into Bladder, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THB7MZ","Insertion of Stimulator Lead into Bladder, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THB8LZ","Insertion of Artificial Sphincter into Bladder, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THB8MZ","Insertion of Stimulator Lead into Bladder, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THB8YZ","Insertion of Other Device into Bladder, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THC0LZ","Insertion of Artificial Sphincter into Bladder Neck, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THC3LZ","Insertion of Artificial Sphincter into Bladder Neck, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THC4LZ","Insertion of Artificial Sphincter into Bladder Neck, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THC7LZ","Insertion of Artificial Sphincter into Bladder Neck, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THC8LZ","Insertion of Artificial Sphincter into Bladder Neck, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0THD0YZ","Insertion of Other Device into Urethra, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL30CZ","Occlusion of Right Kidney Pelvis with Extraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL30DZ","Occlusion of Right Kidney Pelvis with Intraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL30ZZ","Occlusion of Right Kidney Pelvis, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL33CZ","Occlusion of Right Kidney Pelvis with Extraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL33DZ","Occlusion of Right Kidney Pelvis with Intraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL33ZZ","Occlusion of Right Kidney Pelvis, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL34CZ","Occlusion of Right Kidney Pelvis with Extraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL34DZ","Occlusion of Right Kidney Pelvis with Intraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL34ZZ","Occlusion of Right Kidney Pelvis, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL37DZ","Occlusion of Right Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL37ZZ","Occlusion of Right Kidney Pelvis, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL38DZ","Occlusion of Right Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL38ZZ","Occlusion of Right Kidney Pelvis, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL40CZ","Occlusion of Left Kidney Pelvis with Extraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL40DZ","Occlusion of Left Kidney Pelvis with Intraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL40ZZ","Occlusion of Left Kidney Pelvis, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL43CZ","Occlusion of Left Kidney Pelvis with Extraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL43DZ","Occlusion of Left Kidney Pelvis with Intraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL43ZZ","Occlusion of Left Kidney Pelvis, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL44CZ","Occlusion of Left Kidney Pelvis with Extraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL44DZ","Occlusion of Left Kidney Pelvis with Intraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL44ZZ","Occlusion of Left Kidney Pelvis, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL47DZ","Occlusion of Left Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL47ZZ","Occlusion of Left Kidney Pelvis, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL48DZ","Occlusion of Left Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL48ZZ","Occlusion of Left Kidney Pelvis, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL60CZ","Occlusion of Right Ureter with Extraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL60DZ","Occlusion of Right Ureter with Intraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL60ZZ","Occlusion of Right Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL63CZ","Occlusion of Right Ureter with Extraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL63DZ","Occlusion of Right Ureter with Intraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL63ZZ","Occlusion of Right Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL64CZ","Occlusion of Right Ureter with Extraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL64DZ","Occlusion of Right Ureter with Intraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL64ZZ","Occlusion of Right Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL67DZ","Occlusion of Right Ureter with Intraluminal Device, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL67ZZ","Occlusion of Right Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL68DZ","Occlusion of Right Ureter with Intraluminal Device, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL68ZZ","Occlusion of Right Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL70CZ","Occlusion of Left Ureter with Extraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL70DZ","Occlusion of Left Ureter with Intraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL70ZZ","Occlusion of Left Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL73CZ","Occlusion of Left Ureter with Extraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL73DZ","Occlusion of Left Ureter with Intraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL73ZZ","Occlusion of Left Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL74CZ","Occlusion of Left Ureter with Extraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL74DZ","Occlusion of Left Ureter with Intraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL74ZZ","Occlusion of Left Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL77DZ","Occlusion of Left Ureter with Intraluminal Device, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL77ZZ","Occlusion of Left Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL78DZ","Occlusion of Left Ureter with Intraluminal Device, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TL78ZZ","Occlusion of Left Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLB0CZ","Occlusion of Bladder with Extraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLB0DZ","Occlusion of Bladder with Intraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLB0ZZ","Occlusion of Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLB3CZ","Occlusion of Bladder with Extraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLB3DZ","Occlusion of Bladder with Intraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLB3ZZ","Occlusion of Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLB4CZ","Occlusion of Bladder with Extraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLB4DZ","Occlusion of Bladder with Intraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLB4ZZ","Occlusion of Bladder, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLB7DZ","Occlusion of Bladder with Intraluminal Device, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLB7ZZ","Occlusion of Bladder, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLB8DZ","Occlusion of Bladder with Intraluminal Device, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLB8ZZ","Occlusion of Bladder, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLC0CZ","Occlusion of Bladder Neck with Extraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLC0DZ","Occlusion of Bladder Neck with Intraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLC0ZZ","Occlusion of Bladder Neck, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLC3CZ","Occlusion of Bladder Neck with Extraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLC3DZ","Occlusion of Bladder Neck with Intraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLC3ZZ","Occlusion of Bladder Neck, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLC4CZ","Occlusion of Bladder Neck with Extraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLC4DZ","Occlusion of Bladder Neck with Intraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLC4ZZ","Occlusion of Bladder Neck, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLC7DZ","Occlusion of Bladder Neck with Intraluminal Device, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLC7ZZ","Occlusion of Bladder Neck, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLC8DZ","Occlusion of Bladder Neck with Intraluminal Device, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TLC8ZZ","Occlusion of Bladder Neck, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM00ZZ","Reattachment of Right Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM04ZZ","Reattachment of Right Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM10ZZ","Reattachment of Left Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM14ZZ","Reattachment of Left Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM20ZZ","Reattachment of Bilateral Kidneys, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM24ZZ","Reattachment of Bilateral Kidneys, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM30ZZ","Reattachment of Right Kidney Pelvis, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM34ZZ","Reattachment of Right Kidney Pelvis, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM40ZZ","Reattachment of Left Kidney Pelvis, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM44ZZ","Reattachment of Left Kidney Pelvis, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM60ZZ","Reattachment of Right Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM64ZZ","Reattachment of Right Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM70ZZ","Reattachment of Left Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM74ZZ","Reattachment of Left Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM80ZZ","Reattachment of Bilateral Ureters, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TM84ZZ","Reattachment of Bilateral Ureters, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TMB0ZZ","Reattachment of Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TMB4ZZ","Reattachment of Bladder, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TMC0ZZ","Reattachment of Bladder Neck, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TMC4ZZ","Reattachment of Bladder Neck, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TNB0ZZ","Release Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TNB3ZZ","Release Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TNB4ZZ","Release Bladder, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TNC0ZZ","Release Bladder Neck, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TNC3ZZ","Release Bladder Neck, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TNC4ZZ","Release Bladder Neck, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
